id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,set_filter_02,fade,characters/2/hide_char_id
event_unbreakablesphere2_03_s_1,40076,event_unbreakablesphere2_03_s,Speech,jien_op,jien_op,Locale_MainScenario:event_unbreakablesphere2_03_s_1,True,jien_op,OP_leftup,surprise,mihara_b,1,idle,BriefingRoom,10,100,1.0,event_bgm_ubsphere_jien,,,,,,,,
event_unbreakablesphere2_03_s_2,40076,event_unbreakablesphere2_03_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_03_s_2,True,,OP_leftup,surprise,,1,idle,,100,100,1.0,,,,,,,,,
event_unbreakablesphere2_03_s_3,40076,event_unbreakablesphere2_03_s,Speech,jien_op,jien_op,Locale_MainScenario:event_unbreakablesphere2_03_s_3,True,,OP_leftup,idle,,1,idle,,100,100,1.0,,,,,,,,,
event_unbreakablesphere2_03_s_4,40076,event_unbreakablesphere2_03_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_03_s_4,True,,OP_leftup,idle,,1,idle,,100,100,1.0,,,,,,,,,
event_unbreakablesphere2_03_s_5,40076,event_unbreakablesphere2_03_s,Speech,jien_op,jien_op,Locale_MainScenario:event_unbreakablesphere2_03_s_5,False,,OP_leftup,idle,,1,idle,,100,100,1.0,,,,,,,,,
event_unbreakablesphere2_03_s_6,40076,event_unbreakablesphere2_03_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_03_s_6,False,,OP_leftup,idle,,1,idle,,100,100,1.0,,,,,,,,,
event_unbreakablesphere2_03_s_7,40076,event_unbreakablesphere2_03_s,Speech,jien_op,jien_op,Locale_MainScenario:event_unbreakablesphere2_03_s_7,True,,OP_leftup,surprise,,1,idle,,100,10,1.0,,,,,,,,,
event_unbreakablesphere2_03_s_8,40076,event_unbreakablesphere2_03_s,Speech,jien_op,jien_op,Locale_MainScenario:event_unbreakablesphere2_03_s_8,True,,OP_leftup,surprise,,1,idle,,10,10,1.0,,,,,,,,,
event_unbreakablesphere2_03_s_9,40076,event_unbreakablesphere2_03_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_03_s_9,True,,OP_leftup,surprise,,1,idle,,10,10,1.0,,,,,,,,,
event_unbreakablesphere2_03_s_10,40076,event_unbreakablesphere2_03_s,Speech,jien_op,jien_op,Locale_MainScenario:event_unbreakablesphere2_03_s_10,True,,OP_leftup,surprise,,1,idle,,10,10,1.0,,,,,,,,,
event_unbreakablesphere2_03_s_11,40076,event_unbreakablesphere2_03_s,Speech,jien_op,jien_op,Locale_MainScenario:event_unbreakablesphere2_03_s_11,True,,OP_leftup,surprise,,1,idle,,10,10,1.0,,,,,,,,,
event_unbreakablesphere2_03_s_12,40076,event_unbreakablesphere2_03_s,Speech,jien_op,jien_op,Locale_MainScenario:event_unbreakablesphere2_03_s_12,True,,OP_leftup,surprise,,1,idle,,10,10,1.0,,,,,,,,,
event_unbreakablesphere2_03_s_13,40076,event_unbreakablesphere2_03_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_03_s_13,True,,OP_leftup,surprise,,1,idle,,10,10,1.0,,,,,,,,,
