id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,set_filter_02,highlight,characters/1/hide_char_id
event_wisdomspring_04_e_1,40068,event_wisdomspring_04_e,Narration,Locale_SubScenario:event_wisdomspring_04_e_1,False,Laboratory,black,black,1.0,sfx_scn_underwater,bgm_recognition_underworld,,,,,,,,,,,
event_wisdomspring_04_e_2,40068,event_wisdomspring_04_e,Monologue,Locale_SubScenario:event_wisdomspring_04_e_2,False,,black,black,1.0,,,,,,,,,,,,,
event_wisdomspring_04_e_3,40068,event_wisdomspring_04_e,Monologue,Locale_SubScenario:event_wisdomspring_04_e_3,False,,black,black,1.0,,,,,,,,,,,,,
event_wisdomspring_04_e_4,40068,event_wisdomspring_04_e,Monologue,Locale_SubScenario:event_wisdomspring_04_e_4,False,,black,black,1.0,,,,,,,,,,,,,
event_wisdomspring_04_e_5,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_5,False,,black,black,1.0,,,familiarvoice,,,,,,,,,,
event_wisdomspring_04_e_6,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_6,False,,black,black,1.0,,,familiarvoice,,,,,,,,,,
event_wisdomspring_04_e_7,40068,event_wisdomspring_04_e,Monologue,Locale_SubScenario:event_wisdomspring_04_e_7,False,,black,black,1.0,,,,,,,,,,,,,
event_wisdomspring_04_e_8,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_8,False,,black,black,1.0,,,anothervoice,,,,,,,,,,
event_wisdomspring_04_e_9,40068,event_wisdomspring_04_e,Monologue,Locale_SubScenario:event_wisdomspring_04_e_9,False,,black,black,1.0,,,,,,,,,,,,,
event_wisdomspring_04_e_10,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_10,False,,black,black,1.0,,,familiarvoice,,,,,,,,,,
event_wisdomspring_04_e_11,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_11,False,,black,black,1.0,,,anothervoice,,,,,,,,,,
event_wisdomspring_04_e_12,40068,event_wisdomspring_04_e,Monologue,Locale_SubScenario:event_wisdomspring_04_e_12,False,,black,black,1.0,,,,mana,2,idle,ether,12,idle,Blur_Low,Grey,,
event_wisdomspring_04_e_13,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_13,True,,1,1,1.0,,,mana,,2,idle,,12,idle,Blur_Low,Grey,mana,
event_wisdomspring_04_e_14,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_14,True,,1,1,1.0,,,mana,,2,idle,,12,idle,Blur_Low,Grey,mana,
event_wisdomspring_04_e_15,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_15,True,,1,1,1.0,,,ether,,2,idle,,12,idle,Blur_Low,Grey,ether,
event_wisdomspring_04_e_16,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_16,True,,1,1,1.0,,,ether,,2,idle,,12,idle,Blur_Low,Grey,ether,
event_wisdomspring_04_e_17,40068,event_wisdomspring_04_e,Monologue,Locale_SubScenario:event_wisdomspring_04_e_17,False,,1,1,1.0,,,,,2,idle,,12,idle,Blur_Low,Grey,mana,
event_wisdomspring_04_e_18,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_18,True,,1,1,1.0,,,mana,,2,idle,,12,idle,Blur_Low,Grey,mana,
event_wisdomspring_04_e_19,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_19,True,,1,XS_120,1.5,,,ether,,2,idle,,12,delight,Blur_Low,Grey,ether,
event_wisdomspring_04_e_20,40068,event_wisdomspring_04_e,Monologue,Locale_SubScenario:event_wisdomspring_04_e_20,False,,XS_120,XS_120,1.0,,,,,2,idle,,12,delight,Blur_Low,Grey,ether,
event_wisdomspring_04_e_21,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_21,False,,XS_120,XS_120,1.0,,,ether,,2,idle,,12,idle,Blur_Low,Grey,ether,
event_wisdomspring_04_e_22,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_22,True,,XS_120,XS_120,1.0,,,ether,,2,idle,,12,idle,Blur_Low,Grey,ether,
event_wisdomspring_04_e_23,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_23,True,,XS_120,XS_120,1.0,,,ether,,2,idle,,12,idle,Blur_Low,Grey,ether,
event_wisdomspring_04_e_24,40068,event_wisdomspring_04_e,Narration,Locale_SubScenario:event_wisdomspring_04_e_24,False,,XS_120,XS_120,1.0,sfx_scn_underwater,,,,2,idle,,12,idle,Blur_Low,Grey,ether,
event_wisdomspring_04_e_25,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_25,True,,XS_120,1,1.5,,,mana,,2,idle,,12,idle,Blur_Low,Grey,mana,
event_wisdomspring_04_e_26,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_26,True,,1,1,1.0,,,ether,,2,idle,,12,idle,Blur_Low,Grey,ether,
event_wisdomspring_04_e_27,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_27,True,,1,1,1.0,,,mana,,2,idle,,12,idle,Blur_Low,Grey,mana,
event_wisdomspring_04_e_28,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_28,True,,1,1,1.0,,,ether,,2,idle,,12,delight,Blur_Low,Grey,ether,
event_wisdomspring_04_e_29,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_29,True,,1,1,1.0,,,ether,,2,idle,,12,delight,Blur_Low,Grey,ether,
event_wisdomspring_04_e_30,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_30,False,,1,1,1.0,,,mana,,2,idle,,12,delight,Blur_Low,Grey,mana,
event_wisdomspring_04_e_31,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_31,True,,1,1,1.0,,,ether,,2,idle,,12,delight,Blur_Low,Grey,ether,
event_wisdomspring_04_e_32,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_32,True,,1,1,1.0,,,ether,,2,idle,,12,delight,Blur_Low,Grey,ether,
event_wisdomspring_04_e_33,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_33,True,,1,1,1.0,,,ether,,2,idle,,12,delight,Blur_Low,Grey,ether,
event_wisdomspring_04_e_34,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_34,True,,1,1,1.0,,,mana,,2,idle,,12,delight,Blur_Low,Grey,mana,
event_wisdomspring_04_e_35,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_35,True,,1,1,1.0,,,mana,,2,idle,,12,delight,Blur_Low,Grey,mana,
event_wisdomspring_04_e_36,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_36,True,,1,1,1.0,,,ether,,2,idle,,12,idle,Blur_Low,Grey,ether,
event_wisdomspring_04_e_37,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_37,True,,1,1,1.0,,,ether,,2,idle,,12,idle,Blur_Low,Grey,ether,
event_wisdomspring_04_e_38,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_38,True,,1,1,1.0,,,ether,,2,idle,,12,idle,Blur_Low,Grey,ether,
event_wisdomspring_04_e_39,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_39,True,,1,20,1.5,,,mana,,2,idle,,12,idle,Blur_Low,Grey,mana,
event_wisdomspring_04_e_40,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_40,False,,20,20,1.0,,,mana,,2,idle,,12,idle,Blur_Low,Grey,mana,
event_wisdomspring_04_e_41,40068,event_wisdomspring_04_e,Monologue,Locale_SubScenario:event_wisdomspring_04_e_41,False,,20,20,1.0,,,,,2,idle,,12,idle,Blur_Low,Grey,mana,
event_wisdomspring_04_e_42,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_42,True,,20,200,1.5,,,mana,,2,idle,,12,idle,Blur_Low,Grey,mana,
event_wisdomspring_04_e_43,40068,event_wisdomspring_04_e,Speech,Locale_SubScenario:event_wisdomspring_04_e_43,True,,black,black,1.0,,none,mana,,2,idle,,12,idle,,,mana,ether
event_wisdomspring_04_e_44,40068,event_wisdomspring_04_e,Self,Locale_SubScenario:event_wisdomspring_04_e_44,False,,200,20,1.0,,,,,2,idle,,,,,,mana,
event_wisdomspring_04_e_45,40068,event_wisdomspring_04_e,Self,Locale_SubScenario:event_wisdomspring_04_e_45,False,,20,20,1.0,,,,,2,idle,,,,,,mana,
