id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_freezeacpu_05_s_1,40030,event_freezeacpu_05_s,Narration,Locale_SubScenario:event_freezeacpu_05_s_1,False,Park_n,black,black,1.0,none,,,,poli,1,idle,anis,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_2,40030,event_freezeacpu_05_s,Narration,Locale_SubScenario:event_freezeacpu_05_s_2,False,,black,black,1.0,,,,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_3,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_3,True,,113,113,1.0,bgm_inark,poli,poli,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_4,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_4,True,,113,113,1.0,,anis,anis,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_5,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_5,True,,113,113,1.0,,anis,anis,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_6,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_6,True,,113,113,1.0,,poli,poli,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_7,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_7,True,,113,1517,2.0,,littlegirl,littlegirl,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_8,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_8,True,,1517,1517,1.0,,littleboy,littleboy,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_9,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_9,True,,1517,1517,1.0,,littleboy,littleboy,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_10,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_10,True,,1517,1517,1.0,,littlegirl,littlegirl,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_11,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_11,True,,1517,113,2.0,,poli,poli,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_12,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_12,True,,113,113,1.0,,poli,poli,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_13,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_13,True,,113,113,1.0,,anis,anis,,,1,idle,,13,idle,,,,,,,,,,,
event_freezeacpu_05_s_14,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_14,True,,113,113,1.0,,fancywoman02,fancywoman02,,,1,idle,,13,idle,fancywoman02,3,idle,staff,5,idle,,,,,
event_freezeacpu_05_s_15,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_15,True,,113,113,1.0,,fancywoman02,fancywoman02,,,1,idle,,13,idle,,3,idle,,5,idle,,,,,
event_freezeacpu_05_s_16,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_16,True,,113,130,1.0,,anis,anis,,,1,idle,,13,void,,3,idle,,5,idle,,,,,
event_freezeacpu_05_s_17,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_17,True,,130,130,1.0,,anis,anis,,,1,idle,,13,void,,3,idle,,5,idle,,,,,
event_freezeacpu_05_s_18,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_18,True,,130,XS_10,1.0,,poli,poli,,,1,idle,,13,void,,3,idle,,5,idle,,,,,
event_freezeacpu_05_s_19,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_19,True,,XS_10,XS_10,1.0,,poli,poli,,,1,idle,,13,void,,3,idle,,5,idle,,,,,
event_freezeacpu_05_s_20,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_20,True,,XS_10,XS_10,1.0,,anis,anis,,,1,idle,,13,idle,,3,idle,,5,idle,,,,,
event_freezeacpu_05_s_21,40030,event_freezeacpu_05_s,Speech,Locale_SubScenario:event_freezeacpu_05_s_21,True,,XS_10,53,2.0,,staff,staff,,,1,idle,,13,idle,,3,idle,,5,idle,,,,,
