id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,speaker,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_schooloflock_05_e_1,40028,event_schooloflock_05_e,Monologue,Locale_SubScenario:event_schooloflock_05_e_1,False,ElevatorOut,1,10,0.6,none,,,,,,,tercera,1,idle,,marciana,13,rage,,,,,
event_schooloflock_05_e_2,40028,event_schooloflock_05_e,Narration,Locale_SubScenario:event_schooloflock_05_e_2,False,,10,10,1.0,,sfx_scn_spark,Low_2,,,,,,1,idle,,,13,rage,,,,,
event_schooloflock_05_e_3,40028,event_schooloflock_05_e,Speech,Locale_SubScenario:event_schooloflock_05_e_3,True,,10,10,1.0,,,,tercera,tercera,,,,1,idle,,,13,rage,,,,,
event_schooloflock_05_e_4,40028,event_schooloflock_05_e,Monologue,Locale_SubScenario:event_schooloflock_05_e_4,False,,10,1,1.0,,,,,,,,,1,idle,,,13,rage,,,,,
event_schooloflock_05_e_5,40028,event_schooloflock_05_e,Speech,Locale_SubScenario:event_schooloflock_05_e_5,True,,1,12,1.0,,,,tercera,tercera,,,,1,idle,,,13,rage,,,,,
event_schooloflock_05_e_6,40028,event_schooloflock_05_e,Speech,Locale_SubScenario:event_schooloflock_05_e_6,True,,12,12,1.0,bgm_story_impression,,,marciana,marciana,,,,1,idle,,,13,idle,,,,,
event_schooloflock_05_e_7,40028,event_schooloflock_05_e,Speech,Locale_SubScenario:event_schooloflock_05_e_7,True,,12,12,1.0,,,,marciana,marciana,,,,1,idle,,,13,idle,,,,,
event_schooloflock_05_e_8,40028,event_schooloflock_05_e,Speech,Locale_SubScenario:event_schooloflock_05_e_8,True,,12,130,1.0,,,,marciana,marciana,,,,1,idle,,,13,idle,,,,,
event_schooloflock_05_e_9,40028,event_schooloflock_05_e,Speech,Locale_SubScenario:event_schooloflock_05_e_9,True,,130,130,1.0,,,,marciana,marciana,,,,1,idle,,,13,idle,,,,,
event_schooloflock_05_e_10,40028,event_schooloflock_05_e,Narration,Locale_SubScenario:event_schooloflock_05_e_10,False,,130,130,1.0,,sfx_scn_aim,,,,,,,1,idle,,,13,idle,,,,,
