id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_ce003_1_06_e_1,40041,event_ce003_1_06_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_06_e_1,True,neon,7,idle,anis,5,idle,rapi,3,idle,ce_003_02,1,worry,ade,13,idle,CommanderRoom,10,10,1.0,none,,,,,,,,,,,,,,
event_ce003_1_06_e_2,40041,event_ce003_1_06_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_06_e_2,True,,7,idle,,5,idle,,3,idle,,1,angry,,13,idle,,10,10,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_3,40041,event_ce003_1_06_e,Monologue,ce_003_02,,Locale_SubScenario:event_ce003_1_06_e_3,False,,7,idle,,5,idle,,3,idle,,1,angry,,13,idle,,10,100,1.0,,sfx_scn_putdown,,,,,,,,,,,,,
event_ce003_1_06_e_4,40041,event_ce003_1_06_e,Monologue,ce_003_02,,Locale_SubScenario:event_ce003_1_06_e_4,False,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,100,100,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_5,40041,event_ce003_1_06_e,Self,ce_003_02,,Locale_SubScenario:event_ce003_1_06_e_5,False,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,100,100,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_6,40041,event_ce003_1_06_e,Speech,anis,anis,Locale_SubScenario:event_ce003_1_06_e_6,True,,7,idle,,5,void,,3,idle,,1,worry,,13,idle,,50,50,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_7,40041,event_ce003_1_06_e,Speech,neon,neon,Locale_SubScenario:event_ce003_1_06_e_7,True,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,50,S_70,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_8,40041,event_ce003_1_06_e,Monologue,neon,,Locale_SubScenario:event_ce003_1_06_e_8,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,S_70,S_70,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_9,40041,event_ce003_1_06_e,Self,neon,,Locale_SubScenario:event_ce003_1_06_e_9,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,S_70,S_70,1.0,event_bgm_ce003_main,,,,,,,,,,,,,,
event_ce003_1_06_e_10,40041,event_ce003_1_06_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_06_e_10,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,10,10,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_11,40041,event_ce003_1_06_e,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_06_e_11,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,10,30,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_12,40041,event_ce003_1_06_e,Self,rapi,,Locale_SubScenario:event_ce003_1_06_e_12,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_13,40041,event_ce003_1_06_e,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_06_e_13,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_14,40041,event_ce003_1_06_e,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_06_e_14,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_15,40041,event_ce003_1_06_e,Speech,anis,anis,Locale_SubScenario:event_ce003_1_06_e_15,True,,7,idle,,5,delight,,3,worry,,1,idle,,13,idle,,30,4,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_16,40041,event_ce003_1_06_e,Speech,neon,neon,Locale_SubScenario:event_ce003_1_06_e_16,True,,7,delight,,5,delight,,3,worry,,1,idle,,13,idle,,4,6,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_17,40041,event_ce003_1_06_e,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_06_e_17,True,,7,delight,,5,delight,,3,think,,1,idle,,13,idle,,30,30,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_18,40041,event_ce003_1_06_e,Self,rapi,,Locale_SubScenario:event_ce003_1_06_e_18,False,,7,delight,,5,delight,,3,think,,1,idle,,13,idle,EventScene_ce_03_03,black,black,1.0,,,neon,anis,rapi,ce_003_02,ade,,,,,,,,
event_ce003_1_06_e_19,40041,event_ce003_1_06_e,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_06_e_19,True,,,,,,,,,,,,,,,,,ce_003_03_02,ce_003_03_01,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_20,40041,event_ce003_1_06_e,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_06_e_20,True,,,,,,,,,,,,,,,,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_21,40041,event_ce003_1_06_e,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_06_e_21,True,,,,,,,,,,,,,,,,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_22,40041,event_ce003_1_06_e,Monologue,ce_003_01,,Locale_SubScenario:event_ce003_1_06_e_22,False,,,,,,,,,,,,,,,,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_23,40041,event_ce003_1_06_e,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_1_06_e_23,True,,,,,,,,,,,,,,,,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_24,40041,event_ce003_1_06_e,Monologue,ce_003_03,,Locale_SubScenario:event_ce003_1_06_e_24,False,,,,,,,,,,,,,,,,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_25,40041,event_ce003_1_06_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_06_e_25,True,,,,,,,,,,,,,,,,,ce_003_03_01,ce_003_03_02,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_26,40041,event_ce003_1_06_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_06_e_26,True,,,,,,,,,,,,,,,,,ce_003_03_02,ce_003_03_02,1.0,,,,,,,,,,,,,,,
event_ce003_1_06_e_27,40041,event_ce003_1_06_e,Monologue,ce_003_02,,Locale_SubScenario:event_ce003_1_06_e_27,False,cocoa,7,idle,soda,5,idle,ade,3,idle,ce_003_02,1,idle,ce_003_01,13,idle,CommanderRoom,black,black,1.0,,,,,,,,ce_003_03,15,idle,,,,,
event_ce003_1_06_e_28,40041,event_ce003_1_06_e,Speech,ade,ade,Locale_SubScenario:event_ce003_1_06_e_28,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,4,4,1.0,event_bgm_ce003_story_1,,,,,,,,15,idle,black,,,,
event_ce003_1_06_e_29,40041,event_ce003_1_06_e,Speech,soda,soda,Locale_SubScenario:event_ce003_1_06_e_29,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,4,4,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_30,40041,event_ce003_1_06_e,Speech,ade,ade,Locale_SubScenario:event_ce003_1_06_e_30,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,4,30,2.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_31,40041,event_ce003_1_06_e,Speech,ade,ade,Locale_SubScenario:event_ce003_1_06_e_31,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_32,40041,event_ce003_1_06_e,Speech,ade,ade,Locale_SubScenario:event_ce003_1_06_e_32,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_33,40041,event_ce003_1_06_e,Speech,ade,ade,Locale_SubScenario:event_ce003_1_06_e_33,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_34,40041,event_ce003_1_06_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_06_e_34,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,30,10,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_35,40041,event_ce003_1_06_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_06_e_35,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,10,10,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_36,40041,event_ce003_1_06_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_06_e_36,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,10,10,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_37,40041,event_ce003_1_06_e,Speech,ade,ade,Locale_SubScenario:event_ce003_1_06_e_37,True,,7,idle,,5,idle,,3,shy,,1,idle,,13,idle,,10,10,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_38,40041,event_ce003_1_06_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_06_e_38,True,,7,idle,,5,idle,,3,shy,,1,worry,,13,idle,,10,2,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_39,40041,event_ce003_1_06_e,Speech,ade,ade,Locale_SubScenario:event_ce003_1_06_e_39,True,,7,idle,,5,idle,,3,delight,,1,idle,,13,idle,,2,2,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_40,40041,event_ce003_1_06_e,Speech,ade,ade,Locale_SubScenario:event_ce003_1_06_e_40,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_41,40041,event_ce003_1_06_e,Speech,ade,ade,Locale_SubScenario:event_ce003_1_06_e_41,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_42,40041,event_ce003_1_06_e,Speech,ade,ade,Locale_SubScenario:event_ce003_1_06_e_42,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_43,40041,event_ce003_1_06_e,Speech,ade,ade,Locale_SubScenario:event_ce003_1_06_e_43,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,,,,,,15,idle,,,,,
event_ce003_1_06_e_44,40041,event_ce003_1_06_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_06_e_44,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,2,2,1.0,,,,,,,,,15,idle,,,,,
