id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
event_seayouagain1_03_s_1,40024,event_seayouagain1_03_s,Speech,neon,neon,Locale_MainScenario:event_seayouagain1_03_s_1,True,CityForest_03_d,8,8,1.0,bgm_story_languor,,,neon,9,idle,,anis,7,idle,,frima,5,sleep_01,,pepper,3,idle,,mary,1,idle,,helm,19,idle,,,,,,,,,
event_seayouagain1_03_s_2,40024,event_seayouagain1_03_s,Speech,neon,neon,Locale_MainScenario:event_seayouagain1_03_s_2,True,,8,8,1.0,,,,,9,idle,,,7,idle,,,5,sleep_01,,,3,idle,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_3,40024,event_seayouagain1_03_s,Speech,neon,neon,Locale_MainScenario:event_seayouagain1_03_s_3,True,,8,8,1.0,,,,,9,idle,,,7,idle,,,5,sleep_01,,,3,idle,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_4,40024,event_seayouagain1_03_s,Speech,anis,anis,Locale_MainScenario:event_seayouagain1_03_s_4,True,,8,8,1.0,,,,,9,idle,,,7,idle,,,5,sleep_01,,,3,idle,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_5,40024,event_seayouagain1_03_s,Speech,anis,anis,Locale_MainScenario:event_seayouagain1_03_s_5,True,,8,8,1.0,,,,,9,idle,,,7,sad,,,5,sleep_01,,,3,idle,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_6,40024,event_seayouagain1_03_s,Speech,neon,neon,Locale_MainScenario:event_seayouagain1_03_s_6,True,,8,8,1.0,,,,,9,surprise,,,7,sad,,,5,sleep_01,,,3,idle,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_7,40024,event_seayouagain1_03_s,Speech,frima,frima,Locale_MainScenario:event_seayouagain1_03_s_7,True,,8,6,1.0,,,,,9,surprise,,,7,sad,,,5,sleep_01,,,3,idle,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_8,40024,event_seayouagain1_03_s,Speech,anis,anis,Locale_MainScenario:event_seayouagain1_03_s_8,True,,6,6,1.0,,,,,9,surprise,,,7,void,,,5,sleep_01,,,3,idle,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_9,40024,event_seayouagain1_03_s,Speech,pepper,pepper,Locale_MainScenario:event_seayouagain1_03_s_9,True,,6,4,1.0,,,,,9,surprise,,,7,void,,,5,sleep_01,,,3,surprise,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_10,40024,event_seayouagain1_03_s,Speech,neon,neon,Locale_MainScenario:event_seayouagain1_03_s_10,True,,S_90,S_90,1.0,,,,,9,surprise,,,7,void,,,5,sleep_01,,,3,surprise,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_11,40024,event_seayouagain1_03_s,Speech,mary,mary,Locale_MainScenario:event_seayouagain1_03_s_11,True,,XS_10,XS_10,1.0,,,,,9,surprise,,,7,void,,,5,sleep_01,,,3,surprise,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_12,40024,event_seayouagain1_03_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_03_s_12,True,,XS_10,19,1.0,,,,,9,surprise,,,7,void,,,5,sleep_01,,,3,surprise,,,1,idle,,,19,no,,,,,,,,,
event_seayouagain1_03_s_13,40024,event_seayouagain1_03_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_03_s_13,True,,19,19,1.0,,,,,9,surprise,,,7,void,,,5,sleep_01,,,3,surprise,,,1,idle,,,19,no,,,,,,,,,
event_seayouagain1_03_s_14,40024,event_seayouagain1_03_s,Self,,,Locale_MainScenario:event_seayouagain1_03_s_14,False,,19,19,1.0,,,,,9,idle,,,7,void,,,5,sleep_01,,,3,surprise,,,1,idle,,,19,no,,,,,,,,,
event_seayouagain1_03_s_15,40024,event_seayouagain1_03_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_03_s_15,True,,19,190,1.0,,,,,9,idle,,,7,void,,,5,sleep_01,,,3,surprise,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_16,40024,event_seayouagain1_03_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_03_s_16,True,,190,190,1.0,,,,,9,idle,,,7,void,,,5,sleep_01,,,3,surprise,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_17,40024,event_seayouagain1_03_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_03_s_17,True,,190,190,1.0,,,,,9,idle,,,7,void,,,5,sleep_01,,,3,surprise,,,1,idle,,,19,idle,,,,,,,,,
event_seayouagain1_03_s_18,40024,event_seayouagain1_03_s,Self,,,Locale_MainScenario:event_seayouagain1_03_s_18,False,,190,190,1.0,,,,,9,idle,,,7,void,,,5,sleep_01,frima,,3,surprise,pepper,,1,idle,mary,,19,idle,,,,,,,,,
event_seayouagain1_03_s_19,40024,event_seayouagain1_03_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_03_s_19,True,,190,190,1.0,,,,,9,idle,,,7,void,,,,,,,,,,,,,,,19,no,,,,,,,,,
event_seayouagain1_03_s_20,40024,event_seayouagain1_03_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_03_s_20,True,,190,190,1.0,,,,,9,idle,,,7,void,,,,,,,,,,,,,,,19,no,,,,,,,,,
event_seayouagain1_03_s_21,40024,event_seayouagain1_03_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_03_s_21,True,,190,190,1.0,,,,,9,idle,,,7,void,,,,,,,,,,,,,,,19,no,,,,,,,,,
event_seayouagain1_03_s_22,40024,event_seayouagain1_03_s,Speech,anis,anis,Locale_MainScenario:event_seayouagain1_03_s_22,True,,190,18,1.0,,,,,15,idle,,,17,idle,,,,,,,,,,,,,,,19,no,,,,,,,,,
event_seayouagain1_03_s_23,40024,event_seayouagain1_03_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_03_s_23,True,,18,18,1.0,,,,,15,idle,,,17,idle,,,,,,,,,,,,,,,19,angry,,,,,,,,,
event_seayouagain1_03_s_24,40024,event_seayouagain1_03_s,Speech,anis,anis,Locale_MainScenario:event_seayouagain1_03_s_24,True,,18,18,1.0,,,,,15,idle,,,17,worry,,,,,,,,,,,,,,,19,angry,,,,,,,,,
event_seayouagain1_03_s_25,40024,event_seayouagain1_03_s,Speech,anis,anis,Locale_MainScenario:event_seayouagain1_03_s_25,True,,18,18,1.0,,,,,15,idle,,,17,worry,,,,,,,,,,,,,,,19,angry,,,,,,,,,
event_seayouagain1_03_s_26,40024,event_seayouagain1_03_s,Speech,anis,anis,Locale_MainScenario:event_seayouagain1_03_s_26,True,,18,170,1.0,,,,,15,idle,,,17,worry,,,,,,,,,,,,,,,19,angry,,,,,,,,,
event_seayouagain1_03_s_27,40024,event_seayouagain1_03_s,Self,,,Locale_MainScenario:event_seayouagain1_03_s_27,False,,170,170,1.0,,,,,15,idle,,,17,worry,,,,,,,,,,,,,,,19,angry,,,,,,,,,
event_seayouagain1_03_s_28,40024,event_seayouagain1_03_s,Speech,anis,anis,Locale_MainScenario:event_seayouagain1_03_s_28,True,,170,170,1.0,,,,,15,idle,,,17,idle,,,,,,,,,,,,,,,19,angry,,,,,,,,,
event_seayouagain1_03_s_29,40024,event_seayouagain1_03_s,Speech,anis,anis,Locale_MainScenario:event_seayouagain1_03_s_29,True,,170,170,1.0,,,,,15,idle,,,17,idle,,,,,,,,,,,,,,,19,angry,,,,,,,,,
