id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
snowfall_speech_emma_35_1,80903,snowfall_speech_emma_35,Monologue,emma,Locale_SubScenario:snowfall_speech_emma_35_1,False,WaterFall_n,1,1,1.0,amb_so_waterfall_3,event_bgm_neverland_snowflakes_night,,,,,emma,1,idle
snowfall_speech_emma_35_2,80903,snowfall_speech_emma_35,Monologue,emma,Locale_SubScenario:snowfall_speech_emma_35_2,False,,1,1,1.0,,,,,,,,1,idle
snowfall_speech_emma_35_3,80903,snowfall_speech_emma_35,Monologue,emma,Locale_SubScenario:snowfall_speech_emma_35_3,False,,1,1,1.0,,,,,,,,1,idle
snowfall_speech_emma_35_4,80903,snowfall_speech_emma_35,Choice,emma,Locale_SubScenario:snowfall_speech_emma_35_4,False,,1,1,1.0,,,snowfall_speech_emma_35_7,,,,,1,idle
snowfall_speech_emma_35_5,80903,snowfall_speech_emma_35,Choice,emma,Locale_SubScenario:snowfall_speech_emma_35_5,False,,1,1,1.0,,,snowfall_speech_emma_35_6,,,,,1,idle
snowfall_speech_emma_35_6,80903,snowfall_speech_emma_35,Monologue,emma,Locale_SubScenario:snowfall_speech_emma_35_6,False,,black,black,1.0,,,,True,,,,1,idle
snowfall_speech_emma_35_7,80903,snowfall_speech_emma_35,Narration,emma,Locale_SubScenario:snowfall_speech_emma_35_7,False,,1,10,1.0,,,,,sfx_scn_waterfall,,,1,idle
snowfall_speech_emma_35_8,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_8,True,,10,10,1.0,,,,,,emma,,1,idle
snowfall_speech_emma_35_9,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_9,True,,10,10,1.0,,,,,,emma,,1,idle
snowfall_speech_emma_35_10,80903,snowfall_speech_emma_35,Self,emma,Locale_SubScenario:snowfall_speech_emma_35_10,False,,10,10,1.0,,,,,,,,1,idle
snowfall_speech_emma_35_11,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_11,True,,10,10,1.0,,,,,,emma,,1,delight
snowfall_speech_emma_35_12,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_12,True,,10,10,1.0,,,,,,emma,,1,idle
snowfall_speech_emma_35_13,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_13,True,,10,10,1.0,,,,,,emma,,1,idle
snowfall_speech_emma_35_14,80903,snowfall_speech_emma_35,Choice,emma,Locale_SubScenario:snowfall_speech_emma_35_14,False,,10,10,1.0,,,snowfall_speech_emma_35_16,,,,,1,idle
snowfall_speech_emma_35_15,80903,snowfall_speech_emma_35,Choice,emma,Locale_SubScenario:snowfall_speech_emma_35_15,False,,10,10,1.0,,,snowfall_speech_emma_35_19,,,,,1,idle
snowfall_speech_emma_35_16,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_16,True,,10,10,1.0,,,,,,emma,,1,delight
snowfall_speech_emma_35_17,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_17,True,,10,10,1.0,,,,,,emma,,1,idle
snowfall_speech_emma_35_18,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_18,True,,10,10,1.0,,,snowfall_speech_emma_35_22,,,emma,,1,idle
snowfall_speech_emma_35_19,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_19,True,,10,10,1.0,,,,,,emma,,1,idle
snowfall_speech_emma_35_20,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_20,True,,10,10,1.0,,,,,,emma,,1,idle
snowfall_speech_emma_35_21,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_21,True,,10,10,1.0,,,snowfall_speech_emma_35_22,,,emma,,1,idle
snowfall_speech_emma_35_22,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_22,True,,10,10,1.0,,,,,,emma,,1,idle
snowfall_speech_emma_35_23,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_23,True,,10,10,1.0,,,,,,emma,,1,idle
snowfall_speech_emma_35_24,80903,snowfall_speech_emma_35,Narration,emma,Locale_SubScenario:snowfall_speech_emma_35_24,False,,10,10,1.0,,,,,sfx_scn_waterfall,,,1,idle
snowfall_speech_emma_35_25,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_25,True,,10,10,1.0,,,,,,emma,,1,idle
snowfall_speech_emma_35_26,80903,snowfall_speech_emma_35,Speech,emma,Locale_SubScenario:snowfall_speech_emma_35_26,True,,10,10,1.0,,,,,,emma,,1,idle
snowfall_speech_emma_35_27,80903,snowfall_speech_emma_35,Self,emma,Locale_SubScenario:snowfall_speech_emma_35_27,False,,10,10,1.0,,,,,,,,1,idle
snowfall_speech_emma_35_28,80903,snowfall_speech_emma_35,Narration,emma,Locale_SubScenario:snowfall_speech_emma_35_28,False,,black,black,1.0,,,,,,,,1,idle
