id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_lastkingdom2_b03_s_1,40046,event_lastkingdom2_b03_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b03_s_1,True,CrownCastleGate_d,130,130,1.0,event_bgm_lastkingdom_machines,marian_q,1,void,chime,3,smile,crown,13,idle
event_lastkingdom2_b03_s_2,40046,event_lastkingdom2_b03_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_b03_s_2,True,,130,10,1.0,,,1,void,,3,smile,,13,idle
event_lastkingdom2_b03_s_3,40046,event_lastkingdom2_b03_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom2_b03_s_3,True,,10,XXS_30,1.0,,,1,void,,3,smile,,13,idle
event_lastkingdom2_b03_s_4,40046,event_lastkingdom2_b03_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b03_s_4,True,,130,130,1.0,,,1,void,,3,smile,,13,idle
event_lastkingdom2_b03_s_5,40046,event_lastkingdom2_b03_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b03_s_5,False,,130,130,1.0,,,1,void,,3,smile,,13,idle
event_lastkingdom2_b03_s_6,40046,event_lastkingdom2_b03_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b03_s_6,True,,130,13,1.0,,,1,void,,3,smile,,13,shy
event_lastkingdom2_b03_s_7,40046,event_lastkingdom2_b03_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b03_s_7,True,,13,13,1.0,,,1,void,,3,idle,,13,idle
event_lastkingdom2_b03_s_8,40046,event_lastkingdom2_b03_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b03_s_8,True,,13,13,1.0,,,1,void,,3,idle,,13,idle
event_lastkingdom2_b03_s_9,40046,event_lastkingdom2_b03_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_b03_s_9,True,,13,113,1.0,,,1,void,,3,idle,,13,idle
event_lastkingdom2_b03_s_10,40046,event_lastkingdom2_b03_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b03_s_10,True,,113,113,1.0,,,1,void,,3,idle,,13,idle
event_lastkingdom2_b03_s_11,40046,event_lastkingdom2_b03_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b03_s_11,True,,113,113,1.0,,,1,void,,3,idle,,13,idle
event_lastkingdom2_b03_s_12,40046,event_lastkingdom2_b03_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b03_s_12,True,,113,113,1.0,,,1,void,,3,idle,,13,idle
event_lastkingdom2_b03_s_13,40046,event_lastkingdom2_b03_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_b03_s_13,False,,113,113,1.0,,,1,void,,3,idle,,13,idle
event_lastkingdom2_b03_s_14,40046,event_lastkingdom2_b03_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b03_s_14,True,,113,113,1.0,,,1,void,,3,idle,,13,idle
