id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound
d_ex_redash_02_2_1,80800,d_ex_redash_02_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_2_1,False,liliweiss,3,idle,snowwhite_o,5,sad,ArkRuinIndoor,black,black,1.0,none,,,,,,,,,,,,
d_ex_redash_02_2_2,80800,d_ex_redash_02_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_02_2_2,True,,3,void,,5,sad,,3,30,1.0,bgm_story_fairytalesend_if,liliweiss,,,,,,,,,,,
d_ex_redash_02_2_3,80800,d_ex_redash_02_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_02_2_3,True,,3,void,,5,sad,,30,30,1.0,,liliweiss,,,,,,,,,,,
d_ex_redash_02_2_4,80800,d_ex_redash_02_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_02_2_4,True,,3,void,,5,sad,,30,30,1.0,,liliweiss,,,,,,,,,,,
d_ex_redash_02_2_5,80800,d_ex_redash_02_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_2_5,False,,3,void,,5,sad,,30,13,0.7,,,,,,,,,,,,,
d_ex_redash_02_2_6,80800,d_ex_redash_02_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_2_6,False,,3,void,,5,sad,,13,13,1.0,,,,,,,,,,,,,
d_ex_redash_02_2_7,80800,d_ex_redash_02_2,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_2_7,True,,3,void,,5,sad,,S_50,S_50,1.0,,snowwhite_o,,,,,,,,,,,
d_ex_redash_02_2_8,80800,d_ex_redash_02_2,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_2_8,True,,3,void,,5,sad,,S_50,S_50,1.0,,snowwhite_o,,,,,,,,,,,
d_ex_redash_02_2_9,80800,d_ex_redash_02_2,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_2_9,True,,3,void,,5,sad,,S_50,S_50,1.0,,snowwhite_o,,,,,,,,,,,
d_ex_redash_02_2_10,80800,d_ex_redash_02_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_02_2_10,True,,3,surprise,,5,sad,,S_50,4,1.0,,liliweiss,,,,,,,,,,,
d_ex_redash_02_2_11,80800,d_ex_redash_02_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_02_2_11,True,,3,surprise,,5,sad,,4,4,1.0,,liliweiss,,,,,,,,,,,
d_ex_redash_02_2_12,80800,d_ex_redash_02_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_02_2_12,True,,3,void,,5,sad,,4,4,1.0,,liliweiss,,,,,,,,,,,
d_ex_redash_02_2_13,80800,d_ex_redash_02_2,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_2_13,False,,3,void,,5,no,,4,4,1.0,,snowwhite_o,dorothy,9,think,,,,,,,,
d_ex_redash_02_2_14,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_14,True,,3,void,,5,no,Grassland,9,9,1.0,,dorothy,,9,think,liliweiss,snowwhite_o,black,,,,,
d_ex_redash_02_2_15,80800,d_ex_redash_02_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_2_15,False,,,,,,,,17,170,0.5,,,,9,think,,,,,,,,
d_ex_redash_02_2_16,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_16,True,,,,,,,,9,9,1.0,,dorothy,,9,think,,,,,,,,
