id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,fade,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/0/hide_char_id
event_overzone2_05_e_1,80304,event_overzone2_05_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_05_e_1,True,dorothy,3,think,pinne,1,angry,hongryeon,13,no,rapunzel,15,sad,snowwhite,5,idle,Desert_05,14,14,1.0,event_bgm_satellitespiano,,,,,,
event_overzone2_05_e_2,80304,event_overzone2_05_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_05_e_2,True,,3,think,,1,angry,,13,no,,15,sad,,5,idle,,14,14,1.0,,,,,,,
event_overzone2_05_e_3,80304,event_overzone2_05_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_05_e_3,True,,3,think,,1,angry,,13,no,,15,sad,,5,idle,,4,4,1.0,,,,,,,
event_overzone2_05_e_4,80304,event_overzone2_05_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_e_4,True,,3,think,,1,angry,,13,no,,15,sad,,5,idle,,4,4,1.0,,,,,,,
event_overzone2_05_e_5,80304,event_overzone2_05_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_05_e_5,False,,3,think,,1,angry,,13,sad,,15,sad,,5,idle,,150,150,1.0,,,,,,,
event_overzone2_05_e_6,80304,event_overzone2_05_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_05_e_6,False,,3,think,,1,angry,,13,sad,,15,sad,,5,idle,,130,130,1.0,,,,,,,
event_overzone2_05_e_7,80304,event_overzone2_05_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_05_e_7,False,,3,think,,1,angry,,13,sad,,15,sad,,5,idle,,L_50,L_50,1.0,,,,,,,
event_overzone2_05_e_8,80304,event_overzone2_05_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_e_8,False,,3,think,,1,angry,,13,sad,,15,sad,,5,idle,,30,30,1.0,,,,,,,
event_overzone2_05_e_9,80304,event_overzone2_05_e,Narration,,,Locale_MainScenario:event_overzone2_05_e_9,False,,3,think,,1,angry,,13,sad,,15,sad,,5,idle,,30,9,1.0,,,,,,,
event_overzone2_05_e_10,80304,event_overzone2_05_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_05_e_10,True,,3,think,,1,angry,,13,no,,15,sad,,5,idle,,130,130,1.0,,,,,,,
event_overzone2_05_e_11,80304,event_overzone2_05_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_05_e_11,True,,3,think,,1,angry,,13,no,,15,sad,,5,idle,,L_50,L_50,1.0,,,,,,,
event_overzone2_05_e_12,80304,event_overzone2_05_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_05_e_12,True,,3,think,,1,angry,,13,no,,15,sad,,5,idle,,150,150,1.0,,,,,,,
