id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id,characters/0/hide_char_id,characters/1/hide_char_id
event_BunnyX777_03_s_1,40014,event_BunnyX777_03_s,Narration,Locale_SubScenario:event_BunnyX777_03_s_1,False,CoinRushIndoor,1,1,1.0,none,,,,,,,,,,,,,,,
event_BunnyX777_03_s_2,40014,event_BunnyX777_03_s,Narration,Locale_SubScenario:event_BunnyX777_03_s_2,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_BunnyX777_03_s_3,40014,event_BunnyX777_03_s,Speech,Locale_SubScenario:event_BunnyX777_03_s_3,True,,1,5,1.0,event_bgm_bunny777,staff,staff,,,,,,,,,,,,,
event_BunnyX777_03_s_4,40014,event_BunnyX777_03_s,Speech,Locale_SubScenario:event_BunnyX777_03_s_4,True,,5,5,1.0,,staff,staff,,,,,,,,,,,,,
event_BunnyX777_03_s_5,40014,event_BunnyX777_03_s,Speech,Locale_SubScenario:event_BunnyX777_03_s_5,True,,5,5,1.0,,staff,staff,,,,,,,,,,,,,
event_BunnyX777_03_s_6,40014,event_BunnyX777_03_s,Monologue,Locale_SubScenario:event_BunnyX777_03_s_6,False,,5,50,1.0,,,,,,,,,,,,,,,,
event_BunnyX777_03_s_7,40014,event_BunnyX777_03_s,Monologue,Locale_SubScenario:event_BunnyX777_03_s_7,False,,50,50,1.0,,,,,,,,,,,,,,,,
event_BunnyX777_03_s_8,40014,event_BunnyX777_03_s,Monologue,Locale_SubScenario:event_BunnyX777_03_s_8,False,,50,50,1.0,,,,,,,,,,,,,,,,
event_BunnyX777_03_s_9,40014,event_BunnyX777_03_s,Speech,Locale_SubScenario:event_BunnyX777_03_s_9,True,,50,70,1.0,,maam,maam,,,,,,,,,,,,,
event_BunnyX777_03_s_10,40014,event_BunnyX777_03_s,Speech,Locale_SubScenario:event_BunnyX777_03_s_10,True,,70,70,1.0,,maam,maam,,,,,,,,,,,,,
event_BunnyX777_03_s_11,40014,event_BunnyX777_03_s,Speech,Locale_SubScenario:event_BunnyX777_03_s_11,True,,70,30,1.0,,drunkman,drunkman,,,,,,,,,,,,,
event_BunnyX777_03_s_12,40014,event_BunnyX777_03_s,Speech,Locale_SubScenario:event_BunnyX777_03_s_12,True,,30,30,1.0,,fancywoman,fancywoman,,,,,,,,,,,,,
event_BunnyX777_03_s_13,40014,event_BunnyX777_03_s,Self,Locale_SubScenario:event_BunnyX777_03_s_13,False,,30,30,1.0,,,,,,,,,,,,,,,,
