id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,set_camera_shake
event_ce02_1_05_e_1,40026,event_ce02_1_05_e,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_e_1,True,notmassproduction,9,idle,rapi,3,idle,anis,7,worry,neon,1,idle,c1002_02,13,idle,6000d_02,15,idle,b0006_02,17,idle,TechIndoor,70,70,1.0,event_bgm_ce002_story_1,,,
event_ce02_1_05_e_2,40026,event_ce02_1_05_e,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_05_e_2,True,,9,idle,,3,idle,,7,worry,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,
event_ce02_1_05_e_3,40026,event_ce02_1_05_e,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_05_e_3,True,,9,idle,,3,idle,,7,worry,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,
event_ce02_1_05_e_4,40026,event_ce02_1_05_e,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_e_4,True,,9,idle,,3,idle,,7,idle,,1,idle,,13,idle,,15,idle,,17,idle,,70,70,1.0,,,,
event_ce02_1_05_e_5,40026,event_ce02_1_05_e,Monologue,,,Locale_SubScenario:event_ce02_1_05_e_5,False,,9,idle,,3,idle,,7,idle,,1,idle,,13,idle,,15,idle,,17,idle,,70,700,1.0,,,,
event_ce02_1_05_e_6,40026,event_ce02_1_05_e,Narration,,,Locale_SubScenario:event_ce02_1_05_e_6,False,,9,idle,,3,idle,,7,idle,,1,idle,,13,idle,,15,idle,,17,idle,,700,700,1.0,none,,,
event_ce02_1_05_e_7,40026,event_ce02_1_05_e,Monologue,,,Locale_SubScenario:event_ce02_1_05_e_7,False,,9,idle,,3,idle,,7,idle,,1,idle,,13,idle,,15,idle,,17,idle,,700,700,1.0,,,,
event_ce02_1_05_e_8,40026,event_ce02_1_05_e,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_e_8,True,,9,idle,,3,idle,,7,void,,1,idle,,13,idle,,15,idle,,17,idle,,700,70,1.0,,,,
event_ce02_1_05_e_9,40026,event_ce02_1_05_e,Self,,,Locale_SubScenario:event_ce02_1_05_e_9,False,,9,idle,,3,idle,,7,void,,1,idle,,13,idle,,15,idle,,17,idle,,70,70,1.0,,,,
event_ce02_1_05_e_10,40026,event_ce02_1_05_e,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_05_e_10,True,,9,idle,,3,idle,,7,void,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,
