id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,set_filter_01,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_02,play_sound,characters/0/hide_char_id
snowfall_episode_ludmilla_04_1,80903,snowfall_episode_ludmilla_04,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_04_1,False,HotSpringInnIn_d,15,150,0.3,amb_so_inn_in_1,event_bgm_neverland_hugme_day,Blur_Low,,,,,,,
snowfall_episode_ludmilla_04_2,80903,snowfall_episode_ludmilla_04,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_04_6,False,,15,15,1.0,,,Blur_Middle,,,,,,,
snowfall_episode_ludmilla_04_3,80903,snowfall_episode_ludmilla_04,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_04_7,False,,15,15,1.0,,,Blur_Middle,,,,,,,
snowfall_episode_ludmilla_04_4,80903,snowfall_episode_ludmilla_04,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_04_8,False,,15,3,1.0,,,Blur_Low,,,,,,,
snowfall_episode_ludmilla_04_5,80903,snowfall_episode_ludmilla_04,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_04_9,False,,3,3,1.0,,,Blur_Low,,,,,,,
snowfall_episode_ludmilla_04_6,80903,snowfall_episode_ludmilla_04,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_04_10,False,,3,3,1.0,,,Blur_Low,,,,,,,
snowfall_episode_ludmilla_04_7,80903,snowfall_episode_ludmilla_04,Speech,unknown,Locale_SubScenario:snowfall_episode_ludmilla_04_11,True,,3,3,1.0,,,Blur_Low,unknown,,,,,,
snowfall_episode_ludmilla_04_8,80903,snowfall_episode_ludmilla_04,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_04_12,False,,3,15,1.0,,,Blur_Low,,,,,,,
snowfall_episode_ludmilla_04_9,80903,snowfall_episode_ludmilla_04,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_04_13,False,,15,15,1.0,,,Blur_Low,,,,,,,
snowfall_episode_ludmilla_04_10,80903,snowfall_episode_ludmilla_04,Speech,unknown,Locale_SubScenario:snowfall_episode_ludmilla_04_14,False,,15,15,1.0,,,Blur_Low,unknown,,,,,,
snowfall_episode_ludmilla_04_11,80903,snowfall_episode_ludmilla_04,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_04_15,False,,15,15,1.0,,,Blur_Low,,,,,,,
snowfall_episode_ludmilla_04_12,80903,snowfall_episode_ludmilla_04,Speech,unknown,Locale_SubScenario:snowfall_episode_ludmilla_04_16,False,,15,15,1.0,,,Blur_Low,unknown,,,,,,
snowfall_episode_ludmilla_04_13,80903,snowfall_episode_ludmilla_04,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_04_17,False,,black,black,1.0,,,Blur_Low,,,,,,,
snowfall_episode_ludmilla_04_14,80903,snowfall_episode_ludmilla_04,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_04_18,False,,3,3,1.0,,,,,,,,,,
snowfall_episode_ludmilla_04_15,80903,snowfall_episode_ludmilla_04,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_04_19,False,,3,3,1.0,,,,ludmilla_w,ludmilla_w,3,think,,,
snowfall_episode_ludmilla_04_16,80903,snowfall_episode_ludmilla_04,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_04_20,False,,3,3,1.0,,,,,,3,think,,,
snowfall_episode_ludmilla_04_17,80903,snowfall_episode_ludmilla_04,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_04_21,False,,3,3,1.0,,,,,,3,think,,,
snowfall_episode_ludmilla_04_18,80903,snowfall_episode_ludmilla_04,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_04_22,True,,3,3,1.0,,,,ludmilla_w,,3,think,,,
snowfall_episode_ludmilla_04_19,80903,snowfall_episode_ludmilla_04,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_04_23,False,,3,3,1.0,,,,,,3,think,,,
snowfall_episode_ludmilla_04_20,80903,snowfall_episode_ludmilla_04,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_04_24,True,,3,3,1.0,,,,ludmilla_w,,3,smile,,,
snowfall_episode_ludmilla_04_21,80903,snowfall_episode_ludmilla_04,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_04_25,True,,3,3,1.0,,,,ludmilla_w,,3,smile,,,
snowfall_episode_ludmilla_04_22,80903,snowfall_episode_ludmilla_04,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_04_26,True,,3,3,1.0,,,,ludmilla_w,,3,idle,,,
snowfall_episode_ludmilla_04_23,80903,snowfall_episode_ludmilla_04,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_04_27,False,,3,30,1.0,,,,,,3,idle,,,
snowfall_episode_ludmilla_04_24,80903,snowfall_episode_ludmilla_04,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_04_28,False,,30,30,1.0,,,,,,3,idle,,,
