id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_boomtheghost2_03_s_1,40085,event_boomtheghost2_03_s,Monologue,Locale_MainScenario:event_boomtheghost2_03_s_1,False,safeghost,1,angry,tove_s,3,idle,pepper_s,5,idle,CruiseShipPool_n,black,black,1.0,bgm_story_cottoncandy,,,,,,,,,,,,,
event_boomtheghost2_03_s_2,40085,event_boomtheghost2_03_s,Monologue,Locale_MainScenario:event_boomtheghost2_03_s_2,False,,1,angry,,3,idle,,5,idle,,black,black,1.0,,,,,,,,,,,,,,
event_boomtheghost2_03_s_3,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_3,True,,1,angry,,3,idle,,5,idle,,S_100,S_100,1.0,,safeghost,safeghost,,,,,,,,,,,
event_boomtheghost2_03_s_4,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_4,True,,1,angry,,3,idle,,5,idle,,S_100,S_100,1.0,,safeghost,safeghost,,,,,,,,,,,
event_boomtheghost2_03_s_5,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_5,True,,1,angry,,3,idle,,5,idle,,S_100,S_10,1.0,,safeghost,safeghost,,,,,,,,,,,
event_boomtheghost2_03_s_6,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_6,True,,1,angry,,3,delight,,5,idle,,S_10,31,1.0,,tove_s,tove_s,,,,,,,,,,,
event_boomtheghost2_03_s_7,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_7,False,,1,idle,,3,delight,,5,idle,,31,31,1.0,,safeghost,safeghost,,,,,,,,,,,
event_boomtheghost2_03_s_8,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_8,True,,1,idle,,3,delight,,5,idle,,31,31,1.0,,tove_s,tove_s,,,,,,,,,,,
event_boomtheghost2_03_s_9,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_9,True,,1,idle,,3,delight,,5,idle,,31,31,1.0,,tove_s,tove_s,,,,,,,,,,,
event_boomtheghost2_03_s_10,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_10,True,,1,idle,,3,delight,,5,surprise,,31,53,1.5,,pepper_s,pepper_s,,,,,,,,,,,
event_boomtheghost2_03_s_11,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_11,True,,1,idle,,3,idle,,5,surprise,,53,53,1.0,,tove_s,tove_s,,,,,,,,,,,
event_boomtheghost2_03_s_12,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_12,True,,1,idle,,3,idle,,5,surprise,,53,53,1.0,,pepper_s,pepper_s,,,,,,,,,,,
event_boomtheghost2_03_s_13,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_13,True,,1,idle,,3,surprise,,5,surprise,,53,53,1.0,,tove_s,tove_s,,,,,,,,,,,
event_boomtheghost2_03_s_14,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_14,True,,1,idle,,3,surprise,,5,surprise,,53,53,1.0,,pepper_s,pepper_s,,,,,,,,,,,
event_boomtheghost2_03_s_15,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_15,True,,1,idle,,3,surprise,,5,surprise,,53,53,1.0,,tove_s,tove_s,,,,,,,,,,,
event_boomtheghost2_03_s_16,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_16,True,,1,idle,,3,surprise,,5,surprise,,53,53,1.0,,pepper_s,pepper_s,,,,,,,,,,,
event_boomtheghost2_03_s_17,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_17,True,,1,idle,,3,surprise,,5,surprise,,53,53,1.0,,tove_s,tove_s,,,,,,,,,,,
event_boomtheghost2_03_s_18,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_18,True,,1,idle,,3,idle,,5,surprise,,53,53,1.0,,tove_s,tove_s,,,,,,,,,,,
event_boomtheghost2_03_s_19,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_19,False,,1,idle,,3,idle,,5,surprise,,53,31,1.0,,safeghost,safeghost,,,,,,,,,,,
event_boomtheghost2_03_s_20,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_20,True,,1,idle,,3,idle,,5,surprise,,31,31,1.0,,safeghost,safeghost,,,,,,,,,,,
event_boomtheghost2_03_s_21,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_21,True,,1,idle,,3,delight,,5,surprise,,31,31,1.0,,tove_s,tove_s,,,,,,,,,,,
event_boomtheghost2_03_s_22,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_22,True,,1,idle,,3,delight,,5,surprise,,31,53,1.0,,pepper_s,pepper_s,,,,,,,,,,,
event_boomtheghost2_03_s_23,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_23,True,,1,idle,,3,delight,,5,surprise,,53,53,1.0,,tove_s,tove_s,,,,,,,,,,,
event_boomtheghost2_03_s_24,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_24,True,,1,idle,,3,delight,,5,surprise,,53,53,1.0,,pepper_s,pepper_s,,,,,,,,,,,
event_boomtheghost2_03_s_25,40085,event_boomtheghost2_03_s,Speech,Locale_MainScenario:event_boomtheghost2_03_s_25,True,,1,idle,,3,idle,,5,surprise,,53,53,1.0,,tove_s,tove_s,,,,,,,,,,,
