id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_ce004_3_02_e_1,40057,event_ce004_3_02_e,Monologue,marciana,Locale_SubScenario:event_ce004_3_02_e_1,False,SchoolCorridor,black,black,1.0,bgm_enemyclose,,,,,marciana,1,special,
event_ce004_3_02_e_2,40057,event_ce004_3_02_e,Monologue,marciana,Locale_SubScenario:event_ce004_3_02_e_2,False,,black,black,1.0,,,,,,,1,special,
event_ce004_3_02_e_3,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_3,True,,10,10,1.0,,marciana,,,,,1,special,
event_ce004_3_02_e_4,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_4,False,,10,10,1.0,,,,,,,1,special,
event_ce004_3_02_e_5,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_5,True,,10,10,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_6,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_6,False,,10,10,1.0,,,,,,,1,idle,
event_ce004_3_02_e_7,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_7,True,,10,10,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_8,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_8,False,,10,10,1.0,,,,,,,1,idle,
event_ce004_3_02_e_9,40057,event_ce004_3_02_e,Monologue,marciana,Locale_SubScenario:event_ce004_3_02_e_9,False,MaidCafe,black,black,1.0,,,,,,,1,idle,marciana
event_ce004_3_02_e_10,40057,event_ce004_3_02_e,Monologue,marciana,Locale_SubScenario:event_ce004_3_02_e_10,False,,1,1,1.0,,,,,,,,,
event_ce004_3_02_e_11,40057,event_ce004_3_02_e,Monologue,marciana,Locale_SubScenario:event_ce004_3_02_e_11,False,Theater,1,1,1.0,,,,,,,,,
event_ce004_3_02_e_12,40057,event_ce004_3_02_e,Monologue,marciana,Locale_SubScenario:event_ce004_3_02_e_12,False,City_d,1,1,1.0,,,,,,,,,
event_ce004_3_02_e_13,40057,event_ce004_3_02_e,Monologue,marciana,Locale_SubScenario:event_ce004_3_02_e_13,False,Library,1,1,1.0,,,,,,,,,
event_ce004_3_02_e_14,40057,event_ce004_3_02_e,Monologue,marciana,Locale_SubScenario:event_ce004_3_02_e_14,False,Park,black,black,1.0,,,,,,marciana,1,idle,
