id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,speaker,fade,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_ce006_3_02_e_1,40080,event_ce006_3_02_e,Narration,bunkerchild,Locale_MainScenario:event_ce006_3_02_e_1,False,com,1,idle,artcity_d,black,black,1.0,sfx_scn_memorynoise,none,Grey,,,,,,,,,,,,,,,,,,
event_ce006_3_02_e_2,40080,event_ce006_3_02_e,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_02_e_2,True,,1,idle,,1,1,1.0,,bgm_story_sceneofmemory,Grey,bunkerchild,,,,,,,,,,,,,,,,,
event_ce006_3_02_e_3,40080,event_ce006_3_02_e,Speech,com,Locale_MainScenario:event_ce006_3_02_e_3,False,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_02_e_4,40080,event_ce006_3_02_e,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_02_e_4,True,,1,idle,,1,1,1.0,,,Grey,bunkerchild,,,,,,,,,,,,,,,,,
event_ce006_3_02_e_5,40080,event_ce006_3_02_e,Speech,com,Locale_MainScenario:event_ce006_3_02_e_5,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_02_e_6,40080,event_ce006_3_02_e,Speech,com,Locale_MainScenario:event_ce006_3_02_e_6,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_02_e_7,40080,event_ce006_3_02_e,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_02_e_7,True,,1,idle,,1,1,1.0,,,Grey,bunkerchild,,,,,,,,,,,,,,,,,
event_ce006_3_02_e_8,40080,event_ce006_3_02_e,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_02_e_8,True,,1,idle,,1,1,1.0,,,Grey,bunkerchild,,,,,,,,,,,,,,,,,
event_ce006_3_02_e_9,40080,event_ce006_3_02_e,Speech,com,Locale_MainScenario:event_ce006_3_02_e_9,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_02_e_10,40080,event_ce006_3_02_e,Speech,com,Locale_MainScenario:event_ce006_3_02_e_10,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_02_e_11,40080,event_ce006_3_02_e,Speech,com,Locale_MainScenario:event_ce006_3_02_e_11,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
