id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
event_overzone2_05_s_1,80304,event_overzone2_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_05_s_1,True,dorothy,3,pain,snowwhite,1,idle,hongryeon,13,no,rapunzel,15,sad,RuinIndoor,L_10,L_10,1.0,bgm_story_fall,,,,
event_overzone2_05_s_2,80304,event_overzone2_05_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_05_s_2,True,,3,pain,,1,idle,,13,no,,15,sad,,L_10,130,1.0,,,,,
event_overzone2_05_s_3,80304,event_overzone2_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_05_s_3,True,,3,pain,,1,idle,,13,no,,15,sad,,130,150,1.0,,,,,
event_overzone2_05_s_4,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_4,True,,3,pain,,1,idle,,13,no,,15,sad,,3,3,1.0,,,,,
event_overzone2_05_s_5,80304,event_overzone2_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_05_s_5,True,,3,pain,,1,idle,,13,no,,15,sad,,14,14,1.0,,,,,
event_overzone2_05_s_6,80304,event_overzone2_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_05_s_6,True,,3,pain,,1,idle,,13,no,,15,sad,,14,14,1.0,,,,,
event_overzone2_05_s_7,80304,event_overzone2_05_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_05_s_7,True,,3,pain,,1,idle,,13,sad,,15,sad,,14,14,1.0,,,,,
event_overzone2_05_s_8,80304,event_overzone2_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_05_s_8,True,,3,pain,,1,idle,,13,sad,,15,sad,,14,2,1.0,,,,,
event_overzone2_05_s_9,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_9,True,,3,pain,,1,idle,,13,no,,15,sad,,2,2,1.0,,,,,
event_overzone2_05_s_10,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_10,True,,3,pain,,1,idle,,13,no,,15,sad,,2,2,1.0,,,,,
event_overzone2_05_s_11,80304,event_overzone2_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_05_s_11,False,,3,pain,,1,idle,,13,no,,15,sad,,2,2,1.0,,,,,
event_overzone2_05_s_12,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_12,True,,3,pain,,1,idle,,13,no,,15,sad,,2,30,1.0,,,,,
event_overzone2_05_s_13,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_13,True,,3,angry,,1,idle,,13,no,,15,sad,,30,30,1.0,,,,,
event_overzone2_05_s_14,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_14,True,,3,angry,,1,idle,,13,no,,15,sad,,30,30,1.0,,,,,
event_overzone2_05_s_15,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_15,True,,3,angry,,1,idle,,13,no,,15,sad,,30,30,1.0,,,,,
event_overzone2_05_s_16,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_16,True,,3,angry,,1,idle,,13,no,,15,sad,,30,30,1.0,,,,,
event_overzone2_05_s_17,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_17,True,,3,angry,,1,idle,,13,no,,15,sad,,30,30,1.0,,,,,
event_overzone2_05_s_18,80304,event_overzone2_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_05_s_18,True,,3,angry,,1,idle,,13,no,,15,sad,,L_10,L_10,1.0,,,,,
event_overzone2_05_s_19,80304,event_overzone2_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_05_s_19,True,,3,angry,,1,idle,,13,no,,15,sad,,L_10,L_10,1.0,,,,,
event_overzone2_05_s_20,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_20,True,,3,angry,,1,idle,,13,no,,15,sad,,30,30,1.0,,,,,
event_overzone2_05_s_21,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_21,False,,3,pain,,1,idle,,13,no,,15,sad,,30,3,0.7,,,,,
event_overzone2_05_s_22,80304,event_overzone2_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_05_s_22,True,,3,pain,,1,idle,,13,no,,15,sad,,L_10,L_10,1.0,,,,,
event_overzone2_05_s_23,80304,event_overzone2_05_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_05_s_23,True,,3,pain,,1,idle,,13,no,,15,sad,,130,130,1.0,,,,,
event_overzone2_05_s_24,80304,event_overzone2_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_05_s_24,True,,3,pain,,1,idle,,13,no,,15,sad,,150,150,1.0,,,,,
event_overzone2_05_s_25,80304,event_overzone2_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_05_s_25,True,,3,pain,,1,idle,,13,no,,15,sad,,150,150,1.0,,,,,
event_overzone2_05_s_26,80304,event_overzone2_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_05_s_26,True,,3,pain,,1,idle,,13,no,,15,sad,,150,150,1.0,,,,,
event_overzone2_05_s_27,80304,event_overzone2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_05_s_27,False,,3,pain,,1,idle,,13,no,,15,sad,,2,2,1.0,,,,,
event_overzone2_05_s_28,80304,event_overzone2_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_05_s_28,True,,3,pain,,1,pain,,13,no,,15,sad,,2,2,1.0,,,,,
