id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,fade
event_ce004_2_04_s_1,40056,event_ce004_2_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_2_04_s_1,True,rei,2,angry,ce004_03,12,idle,SchoolCorridor_e,1,1,1.0,bgm_story_whosdumber,,,,
event_ce004_2_04_s_2,40056,event_ce004_2_04_s,Speech,rei,rei,Locale_SubScenario:event_ce004_2_04_s_2,True,,2,angry,,12,idle,,1,1,1.0,,,,,
event_ce004_2_04_s_3,40056,event_ce004_2_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_2_04_s_3,True,,2,angry,,12,delight,,1,1,1.0,,,,,
event_ce004_2_04_s_4,40056,event_ce004_2_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_2_04_s_4,True,,2,angry,,12,delight,,1,1,1.0,,,,,
event_ce004_2_04_s_5,40056,event_ce004_2_04_s,Narration,ce004_03,,Locale_SubScenario:event_ce004_2_04_s_5,False,,2,angry,,12,delight,,1,1,1.0,,sfx_scn_button,,,
event_ce004_2_04_s_6,40056,event_ce004_2_04_s,Narration,ce004_03,,Locale_SubScenario:event_ce004_2_04_s_6,False,,2,angry,,12,delight,,1,1,1.0,,sfx_scn_vendingmachine,,,
event_ce004_2_04_s_7,40056,event_ce004_2_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_2_04_s_7,True,,2,angry,,12,idle,,1,120,1.0,,,,,
event_ce004_2_04_s_8,40056,event_ce004_2_04_s,Monologue,ce004_03,,Locale_SubScenario:event_ce004_2_04_s_8,False,,2,angry,,12,idle,,120,XS_20,1.0,,,,,
event_ce004_2_04_s_9,40056,event_ce004_2_04_s,Speech,rei,rei,Locale_SubScenario:event_ce004_2_04_s_9,True,,2,angry,,12,idle,,XS_20,XS_20,1.0,,,,,
event_ce004_2_04_s_10,40056,event_ce004_2_04_s,Speech,rei,rei,Locale_SubScenario:event_ce004_2_04_s_10,True,,2,angry,,12,idle,,XS_20,XS_20,1.0,,,,,
event_ce004_2_04_s_11,40056,event_ce004_2_04_s,Speech,rei,rei,Locale_SubScenario:event_ce004_2_04_s_11,True,,2,angry,,12,idle,,XS_20,1,1.0,,,,,
event_ce004_2_04_s_12,40056,event_ce004_2_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_2_04_s_12,True,,2,angry,,12,idle,,1,1,1.0,,,,,
event_ce004_2_04_s_13,40056,event_ce004_2_04_s,Monologue,rei,,Locale_SubScenario:event_ce004_2_04_s_13,False,,2,angry,,12,idle,,1,XS_20,1.0,,,,,
event_ce004_2_04_s_14,40056,event_ce004_2_04_s,Narration,rei,,Locale_SubScenario:event_ce004_2_04_s_14,False,,2,angry,,12,idle,,XS_20,XS_20,1.0,,sfx_scn_stickstraw,,,
event_ce004_2_04_s_15,40056,event_ce004_2_04_s,Monologue,rei,,Locale_SubScenario:event_ce004_2_04_s_15,False,,2,angry,,12,idle,,XS_20,XS_20,1.0,,,,,
event_ce004_2_04_s_16,40056,event_ce004_2_04_s,Narration,rei,,Locale_SubScenario:event_ce004_2_04_s_16,False,,2,delight,,12,idle,,XS_20,XS_200,1.0,,sfx_scn_strawstart,,,
event_ce004_2_04_s_17,40056,event_ce004_2_04_s,Speech,rei,rei,Locale_SubScenario:event_ce004_2_04_s_17,True,,2,delight,,12,idle,,XS_200,XS_20,1.0,,,,,
event_ce004_2_04_s_18,40056,event_ce004_2_04_s,Speech,rei,rei,Locale_SubScenario:event_ce004_2_04_s_18,True,,2,delight,,12,idle,,XS_20,XS_20,1.0,,,,,
event_ce004_2_04_s_19,40056,event_ce004_2_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_2_04_s_19,True,,2,delight,,12,delight,,XS_20,1,1.0,,,,,
event_ce004_2_04_s_20,40056,event_ce004_2_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_2_04_s_20,True,,2,delight,,12,delight,,1,1,1.0,,,,,
event_ce004_2_04_s_21,40056,event_ce004_2_04_s,Speech,rei,rei,Locale_SubScenario:event_ce004_2_04_s_21,True,,2,angry,,12,delight,,1,1,1.0,,,,,
event_ce004_2_04_s_22,40056,event_ce004_2_04_s,Speech,rei,rei,Locale_SubScenario:event_ce004_2_04_s_22,True,,2,angry,,12,delight,,1,1,1.0,,,,,
event_ce004_2_04_s_23,40056,event_ce004_2_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_2_04_s_23,True,,2,angry,,12,idle,,1,1,1.0,,,,,
event_ce004_2_04_s_24,40056,event_ce004_2_04_s,Speech,rei,rei,Locale_SubScenario:event_ce004_2_04_s_24,True,,2,surprise,,12,idle,,1,XS_20,1.0,,,,,
event_ce004_2_04_s_25,40056,event_ce004_2_04_s,Speech,rei,rei,Locale_SubScenario:event_ce004_2_04_s_25,False,,2,surprise,,12,idle,,XS_20,XS_20,1.0,,,,,
