id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,play_sound
event_oldtales1_01_s_1,40061,event_oldtales1_01_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_01_s_1,True,cinderella,5,idle_blue,redshoes,3,idle,abe,1,idle,hansel,13,void,gretel,15,idle,littlemermaid,17,idle,TechIndoor,10,10,1.0,event_bgm_oldtales_firstpage,,,,,,,
event_oldtales1_01_s_2,40061,event_oldtales1_01_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_01_s_2,True,,5,idle_blue,,3,idle,,1,idle,,13,void,,15,idle,,17,idle,,10,10,1.0,,,,,,,,
event_oldtales1_01_s_3,40061,event_oldtales1_01_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_01_s_3,True,,5,idle_blue,,3,idle,,1,idle,,13,void,,15,idle,,17,idle,,10,2,1.0,,,,,,,,
event_oldtales1_01_s_4,40061,event_oldtales1_01_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_01_s_4,True,,5,idle_blue,,3,idle,,1,idle,,13,void,,15,idle,,17,idle,,2,2,1.0,,,,,,,,
event_oldtales1_01_s_5,40061,event_oldtales1_01_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_01_s_5,True,,5,idle_blue,,3,smile,,1,idle,,13,void,,15,idle,,17,idle,,2,2,1.0,,,,,,,,
event_oldtales1_01_s_6,40061,event_oldtales1_01_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_01_s_6,True,,5,idle_blue,,3,smile,,1,idle,,13,void,,15,idle,,17,idle,,2,1,1.0,,,,,,,,
event_oldtales1_01_s_7,40061,event_oldtales1_01_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_01_s_7,True,,5,idle_blue,,3,smile,,1,idle,,13,void,,15,idle,,17,idle,,1,1,1.0,,,,,,,,
event_oldtales1_01_s_8,40061,event_oldtales1_01_s,Speech,hansel,hansel,Locale_MainScenario:event_oldtales1_01_s_8,True,,5,idle_blue,,3,smile,,1,idle,,13,void,,15,idle,,17,idle,,1,12,1.0,,,,,,,,
event_oldtales1_01_s_9,40061,event_oldtales1_01_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_01_s_9,True,,5,idle_blue,,3,smile,,1,idle,,13,void,,15,idle,,17,idle,,12,12,1.0,,,,,,,,
event_oldtales1_01_s_10,40061,event_oldtales1_01_s,Speech,hansel,hansel,Locale_MainScenario:event_oldtales1_01_s_10,True,,5,idle_blue,,3,smile,,1,idle,,13,void,,15,idle,,17,idle,,12,12,1.0,,,,,,,,
event_oldtales1_01_s_11,40061,event_oldtales1_01_s,Speech,hansel,hansel,Locale_MainScenario:event_oldtales1_01_s_11,True,,5,idle_blue,,3,smile,,1,idle,,13,void,,15,idle,,17,idle,,12,12,1.0,,,,,,,,
event_oldtales1_01_s_12,40061,event_oldtales1_01_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_01_s_12,False,,5,idle_blue,,3,worry,,1,think,,13,void,,15,idle,,17,idle,,12,12,1.0,,,,,,,,
event_oldtales1_01_s_13,40061,event_oldtales1_01_s,Speech,hansel,hansel,Locale_MainScenario:event_oldtales1_01_s_13,True,,5,idle_blue,,3,worry,,1,think,,13,void,,15,idle,,17,idle,,12,12,1.0,,,,,,,,
event_oldtales1_01_s_14,40061,event_oldtales1_01_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_01_s_14,True,,5,idle_blue,,3,worry,,1,think,,13,void,,15,idle,,17,idle,,4,4,1.0,,,,,,,,
event_oldtales1_01_s_15,40061,event_oldtales1_01_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_01_s_15,True,,5,idle_blue,,3,worry,,1,think,,13,void,,15,idle,,17,idle,,4,4,1.0,,,,,,,,
