id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/0/hide_char_id
event_schooloflock_03_s_1,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_1,False,Hotel_n,3,3,1.0,none,,,,,,,,,,,,,,,
event_schooloflock_03_s_2,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_2,False,,3,30,1.0,,,,,,,,,,,,,,,,
event_schooloflock_03_s_3,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_3,False,,30,30,1.0,,,,,,,,,,,,,,,,
event_schooloflock_03_s_4,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_4,False,,black,black,1.0,,,,,,,,,,,,,,,,
event_schooloflock_03_s_5,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_5,False,SchoolCorridor_n,6,6,1.0,,,,,,,,,,,,,,,,
event_schooloflock_03_s_6,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_6,False,,6,3,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,,,
event_schooloflock_03_s_7,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_7,False,,3,3,1.0,,,,,,,,,,,,,,,,
event_schooloflock_03_s_8,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_8,False,,3,3,1.0,,,,,,,,,,,,,,,,
event_schooloflock_03_s_9,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_9,False,,3,3,1.0,,,,,,,,,,,,,,,,
event_schooloflock_03_s_10,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_10,False,,3,XS_30,0.6,,unknown,unknown,Low_2,,,,,,,,,,,,
event_schooloflock_03_s_11,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_11,False,,XS_30,XS_30,1.0,,,,,,,,,,,,,,,,
event_schooloflock_03_s_12,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_12,False,,XS_30,XS_30,1.0,,,,,,,,,,,,,,,,
event_schooloflock_03_s_13,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_13,False,,XS_30,XS_300,1.0,,,,,ether,3,idle,,,,,,,,,
event_schooloflock_03_s_14,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_14,True,,XS_300,XS_300,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_15,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_15,True,,XS_300,XS_300,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_16,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_16,False,,XS_300,XS_300,1.0,,,,,,3,idle,,,,,,,,,
event_schooloflock_03_s_17,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_17,True,,XS_300,XS_30,1.0,,ether,ether,,,3,delight,,,,,,,,,
event_schooloflock_03_s_18,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_18,True,,XS_30,XS_30,1.0,,ether,ether,,,3,delight,,,,,,,,,
event_schooloflock_03_s_19,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_19,False,,XS_30,XS_30,1.0,,,,,,3,delight,,,,,,,,,
event_schooloflock_03_s_20,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_20,True,,XS_30,XS_30,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_21,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_21,True,,XS_30,XS_30,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_22,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_22,True,,XS_30,XS_30,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_23,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_23,False,,XS_30,XS_30,1.0,,,,,,3,idle,,,,,,,,,
event_schooloflock_03_s_24,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_24,True,,XS_30,XS_30,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_25,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_25,True,,XS_30,XS_30,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_26,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_26,True,,XS_30,XS_30,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_27,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_27,False,,XS_30,XS_30,1.0,,,,,,3,idle,,,,,,,,,
event_schooloflock_03_s_28,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_28,True,,XS_30,3,1.0,,ether,ether,,,3,idle,,,,,,,,,
