id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_BunnyX777_05_e_1,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_1,True,CoinRushIndoor,10,10,1.0,event_bgm_bunny777,,,,rouge,1,idle,,sullenman,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_2,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_2,True,,10,100,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_3,40014,event_BunnyX777_05_e,Narration,,,Locale_SubScenario:event_BunnyX777_05_e_3,False,,black,black,1.0,,sfx_scn_button,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_4,40014,event_BunnyX777_05_e,Narration,,,Locale_SubScenario:event_BunnyX777_05_e_4,False,,black,black,1.0,,sfx_scn_screenturn,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_5,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_5,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_6,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_6,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_7,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_7,False,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_8,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_8,False,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_9,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_9,False,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_10,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_10,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
