id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_maidinvalentine_01_e_1,40007,event_maidinvalentine_01_e,Monologue,Locale_SubScenario:event_maidinvalentine_01_e_1,False,Cafe,black,black,1.0,bgm_story_breakaway,,,,,,cocoa,1,serious,soda,13,serious,ade,3,idle
event_maidinvalentine_01_e_2,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_2,True,,XS_10,XS_10,1.0,,cocoa,cocoa,,,,,1,serious,,13,serious,,3,idle
event_maidinvalentine_01_e_3,40007,event_maidinvalentine_01_e,Choice,Locale_SubScenario:event_maidinvalentine_01_e_3,False,,XS_10,XS_10,1.0,,,,event_maidinvalentine_01_e_5,,,,1,serious,,13,serious,,3,idle
event_maidinvalentine_01_e_4,40007,event_maidinvalentine_01_e,Choice,Locale_SubScenario:event_maidinvalentine_01_e_4,False,,XS_10,XS_10,1.0,,,,event_maidinvalentine_01_e_5,,,,1,serious,,13,serious,,3,idle
event_maidinvalentine_01_e_5,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_5,True,,XS_10,S_130,1.0,,soda,soda,,,,,1,serious,,13,idle,,3,idle
event_maidinvalentine_01_e_6,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_6,True,,S_130,S_130,1.0,,soda,soda,,,,,1,serious,,13,idle,,3,idle
event_maidinvalentine_01_e_7,40007,event_maidinvalentine_01_e,Choice,Locale_SubScenario:event_maidinvalentine_01_e_7,False,,S_130,S_130,1.0,,,,event_maidinvalentine_01_e_9,,,,1,serious,,13,idle,,3,idle
event_maidinvalentine_01_e_8,40007,event_maidinvalentine_01_e,Choice,Locale_SubScenario:event_maidinvalentine_01_e_8,False,,S_130,S_130,1.0,,,,event_maidinvalentine_01_e_14,,,,1,serious,,13,idle,,3,idle
event_maidinvalentine_01_e_9,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_9,True,,S_130,XS_10,1.0,,cocoa,cocoa,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_10,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_10,True,,XS_10,113,1.0,,soda,soda,,,,,1,idle,,13,sad,,3,idle
event_maidinvalentine_01_e_11,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_11,True,,113,113,1.0,,soda,soda,,,,,1,idle,,13,sad,,3,idle
event_maidinvalentine_01_e_12,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_12,True,,113,3,1.0,,ade,ade,,,,,1,idle,,13,sad,,3,worried
event_maidinvalentine_01_e_13,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_13,True,,3,3,1.0,,ade,ade,event_maidinvalentine_01_e_15,,,,1,idle,,13,sad,,3,worried
event_maidinvalentine_01_e_14,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_14,True,,3,3,1.0,,ade,ade,event_maidinvalentine_01_e_15,,,,1,idle,,13,sad,,3,idle
event_maidinvalentine_01_e_15,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_15,True,,3,30,1.0,,ade,ade,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_16,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_16,True,,XS_10,XS_10,1.0,,cocoa,cocoa,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_17,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_17,True,,XS_10,XS_10,1.0,,cocoa,cocoa,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_18,40007,event_maidinvalentine_01_e,Choice,Locale_SubScenario:event_maidinvalentine_01_e_18,False,,XS_10,XS_10,1.0,,,,event_maidinvalentine_01_e_21,,,,1,idle,,13,idle,,3,idle
