id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_freezeacpu_04_e_1,40030,event_freezeacpu_04_e,Narration,Locale_SubScenario:event_freezeacpu_04_e_1,False,ToyShop,black,black,1.0,none,,,,neon,1,worry,rapi,3,idle,miranda,13,angry,,,,drake,17,angry
event_freezeacpu_04_e_2,40030,event_freezeacpu_04_e,Narration,Locale_SubScenario:event_freezeacpu_04_e_2,False,,black,black,1.0,,,,,,1,worry,,3,idle,,13,angry,,,,,17,angry
event_freezeacpu_04_e_3,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_3,True,,113,113,1.0,bgm_story_whosdumber,miranda,miranda,,,1,worry,,3,idle,,13,angry,,,,,17,angry
event_freezeacpu_04_e_4,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_4,True,,113,113,1.0,,miranda,miranda,,,1,worry,,3,idle,,13,angry,,,,,17,angry
event_freezeacpu_04_e_5,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_5,True,,113,113,1.0,,neon,neon,,,1,worry,,3,idle,,13,angry,,,,,17,angry
event_freezeacpu_04_e_6,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_6,True,,113,113,1.0,,neon,neon,,,1,worry,,3,idle,,13,angry,,,,,17,angry
event_freezeacpu_04_e_7,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_7,True,,170,170,1.0,,drake,drake,,,1,worry,,3,idle,,13,idle,,,,,17,angry
event_freezeacpu_04_e_8,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_8,True,,170,170,1.0,,drake,drake,,,1,worry,,3,idle,,13,idle,,,,,17,angry
event_freezeacpu_04_e_9,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_9,True,,S_10,S_10,1.0,,neon,neon,,,1,worry,,3,idle,,13,idle,,,,,17,angry
event_freezeacpu_04_e_10,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_10,True,,170,170,1.0,,drake,drake,,,1,worry,,3,idle,,13,idle,,,,,17,idle
event_freezeacpu_04_e_11,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_11,True,,S_130,S_130,1.0,,miranda,miranda,,,1,worry,,3,idle,,13,idle,,,,,17,idle
event_freezeacpu_04_e_12,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_12,True,,S_130,S_130,1.0,,miranda,miranda,,,1,worry,,3,idle,,13,idle,,,,,17,idle
event_freezeacpu_04_e_13,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_13,False,,S_130,S_150,1.0,,novel_h,novel_h,,,1,worry,,3,idle,,13,idle,novel_h,15,think,,17,idle
event_freezeacpu_04_e_14,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_14,True,,S_150,S_150,1.0,,novel_h,novel_h,,,1,worry,,3,idle,,13,idle,,15,think,,17,idle
event_freezeacpu_04_e_15,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_15,True,,S_150,S_150,1.0,,novel_h,novel_h,,,1,worry,,3,idle,,13,idle,,15,think,,17,idle
event_freezeacpu_04_e_16,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_16,True,,S_150,S_150,1.0,,novel_h,novel_h,,,1,worry,,3,idle,,13,idle,,15,think,,17,idle
event_freezeacpu_04_e_17,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_17,True,,S_150,S_1500,0.5,,novel_h,novel_h,,,1,worry,,3,idle,,13,idle,,15,think,,17,idle
event_freezeacpu_04_e_18,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_18,True,,S_100,S_100,1.0,,neon,neon,,,1,angry,,3,idle,,13,idle,,15,think,,17,idle
event_freezeacpu_04_e_19,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_19,True,,S_100,1315,2.0,,miranda,miranda,,,1,angry,,3,idle,,13,idle,,15,think,,17,idle
event_freezeacpu_04_e_20,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_20,True,,1315,1315,1.0,,miranda,miranda,,,1,angry,,3,idle,,13,idle,,15,think,,17,idle
event_freezeacpu_04_e_21,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_21,True,,1315,1315,1.0,,novel_h,novel_h,,,1,angry,,3,idle,,13,idle,,15,idle,,17,idle
event_freezeacpu_04_e_22,40030,event_freezeacpu_04_e,Speech,Locale_SubScenario:event_freezeacpu_04_e_22,True,,1315,1315,1.0,,novel_h,novel_h,,,1,angry,,3,idle,,13,idle,,15,idle,,17,idle
