id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
snowfall_myroom_day10_s_1,80903,snowfall_myroom_day10_s,Narration,Locale_SubScenario:snowfall_myroom_day10_s_1,False,HotSpringInnIn_d,1,1,1.0,sfx_scn_knock,amb_so_inn_in_1,event_bgm_neverland_intermissionjam_day,,,,,,
snowfall_myroom_day10_s_2,80903,snowfall_myroom_day10_s,Monologue,Locale_SubScenario:snowfall_myroom_day10_s_2,False,,1,1,1.0,,,,,,,,,
snowfall_myroom_day10_s_3,80903,snowfall_myroom_day10_s,Self,Locale_SubScenario:snowfall_myroom_day10_s_3,False,,1,1,1.0,,,,,,,,,
snowfall_myroom_day10_s_4,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_4,True,,1,1,1.0,,,,ludmilla_w,ludmilla_w,,,,
snowfall_myroom_day10_s_5,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_5,True,,1,1,1.0,,,,ludmilla_w,ludmilla_w,,,,
snowfall_myroom_day10_s_6,80903,snowfall_myroom_day10_s,Self,Locale_SubScenario:snowfall_myroom_day10_s_6,False,,1,1,1.0,,,,,,,,,
snowfall_myroom_day10_s_7,80903,snowfall_myroom_day10_s,Narration,Locale_SubScenario:snowfall_myroom_day10_s_7,False,,1,10,1.0,sfx_scn_slidingdoor,,,,,ludmilla_w,1,think,
snowfall_myroom_day10_s_8,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_8,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_9,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_9,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_10,80903,snowfall_myroom_day10_s,Self,Locale_SubScenario:snowfall_myroom_day10_s_10,False,,10,10,1.0,,,,ludmilla_w,,,1,think,
snowfall_myroom_day10_s_11,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_11,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_12,80903,snowfall_myroom_day10_s,Self,Locale_SubScenario:snowfall_myroom_day10_s_12,False,,10,10,1.0,,,,ludmilla_w,,,1,think,
snowfall_myroom_day10_s_13,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_13,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,idle,
snowfall_myroom_day10_s_14,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_14,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,idle,
snowfall_myroom_day10_s_15,80903,snowfall_myroom_day10_s,Self,Locale_SubScenario:snowfall_myroom_day10_s_15,False,,10,10,1.0,,,,ludmilla_w,,,1,idle,
snowfall_myroom_day10_s_16,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_16,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_17,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_17,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_18,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_18,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_19,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_19,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_20,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_20,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_21,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_21,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_22,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_22,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_23,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_23,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_24,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_24,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
