id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
event_boomtheghost2_03_e_1,40085,event_boomtheghost2_03_e,Narration,Locale_MainScenario:event_boomtheghost2_03_e_1,False,Hotel_n,black,black,1.0,bgm_story_cottoncandy,,,alfred,5,idle,,frima_s,3,idle,,,,,,elegg_s,7,idle,,rapi_ss,1,delight,,,,,,,,,
event_boomtheghost2_03_e_2,40085,event_boomtheghost2_03_e,Speech,Locale_MainScenario:event_boomtheghost2_03_e_2,True,,S_500,S_50,1.0,,alfred,alfred,,5,idle,,,3,idle,,,,,,,7,idle,,,1,delight,,,,,,,,,
event_boomtheghost2_03_e_3,40085,event_boomtheghost2_03_e,Speech,Locale_MainScenario:event_boomtheghost2_03_e_3,True,,S_50,S_50,1.0,,alfred,alfred,,5,idle,,,3,idle,,,,,,,7,idle,,,1,delight,,,,,,,,,
event_boomtheghost2_03_e_4,40085,event_boomtheghost2_03_e,Speech,Locale_MainScenario:event_boomtheghost2_03_e_4,True,,S_50,S_50,1.0,,alfred,alfred,,5,idle,,,3,idle,,,,,,,7,idle,,,1,delight,,,,,,,,,
event_boomtheghost2_03_e_5,40085,event_boomtheghost2_03_e,Speech,Locale_MainScenario:event_boomtheghost2_03_e_5,True,,S_50,30,1.0,,frima_s,frima_s,,5,idle,,,3,idle,,,,,,,7,idle,,,1,delight,,,,,,,,,
event_boomtheghost2_03_e_6,40085,event_boomtheghost2_03_e,Speech,Locale_MainScenario:event_boomtheghost2_03_e_6,True,,30,30,1.0,,frima_s,frima_s,,5,idle,,,3,idle,,,,,,,7,idle,,,1,delight,,,,,,,,,
event_boomtheghost2_03_e_7,40085,event_boomtheghost2_03_e,Speech,Locale_MainScenario:event_boomtheghost2_03_e_7,True,,30,30,1.0,,frima_s,frima_s,,5,idle,,,3,idle,,,,,,,7,idle,,,1,delight,,,,,,,,,
event_boomtheghost2_03_e_8,40085,event_boomtheghost2_03_e,Speech,Locale_MainScenario:event_boomtheghost2_03_e_8,True,,30,53,1.0,,alfred,alfred,,5,idle,,,3,idle,,,,,,,7,idle,,,1,delight,,,,,,,,,
event_boomtheghost2_03_e_9,40085,event_boomtheghost2_03_e,Speech,Locale_MainScenario:event_boomtheghost2_03_e_9,True,,53,53,1.0,,alfred,alfred,,5,idle,,,3,idle,,,,,,,7,idle,,,1,delight,,,,,,,,,
event_boomtheghost2_03_e_10,40085,event_boomtheghost2_03_e,Speech,Locale_MainScenario:event_boomtheghost2_03_e_10,True,,53,53,1.0,,alfred,alfred,,5,idle,,,3,idle,,,,,,,7,idle,,,1,delight,,,,,,,,,
