id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,fade,play_movie,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_perfectmaid_06_e_1,40039,event_perfectmaid_06_e,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_06_e_1,True,MaidCafe,1,1,1.0,sfx_scn_servingcart,bgm_story_weare,,,,ade,1,idle,,privaty_m,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_2,40039,event_perfectmaid_06_e,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_06_e_2,True,,1,10,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_3,40039,event_perfectmaid_06_e,Narration,ade,,Locale_SubScenario:event_perfectmaid_06_e_3,False,,10,10,1.0,sfx_scn_putdown,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_4,40039,event_perfectmaid_06_e,Monologue,ade,,Locale_SubScenario:event_perfectmaid_06_e_4,False,,10,10,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_5,40039,event_perfectmaid_06_e,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_e_5,True,,10,12,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_6,40039,event_perfectmaid_06_e,Self,ade,,Locale_SubScenario:event_perfectmaid_06_e_6,False,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_7,40039,event_perfectmaid_06_e,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_06_e_7,True,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_8,40039,event_perfectmaid_06_e,Self,ade,,Locale_SubScenario:event_perfectmaid_06_e_8,False,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_9,40039,event_perfectmaid_06_e,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_06_e_9,True,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_10,40039,event_perfectmaid_06_e,Monologue,ade,,Locale_SubScenario:event_perfectmaid_06_e_10,False,,12,12,1.0,sfx_scn_silverware,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_11,40039,event_perfectmaid_06_e,Monologue,ade,,Locale_SubScenario:event_perfectmaid_06_e_11,False,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_12,40039,event_perfectmaid_06_e,Self,ade,,Locale_SubScenario:event_perfectmaid_06_e_12,False,,12,10,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_13,40039,event_perfectmaid_06_e,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_06_e_13,True,,10,10,1.0,,,,,,,1,worried,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_14,40039,event_perfectmaid_06_e,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_06_e_14,True,,10,10,1.0,,,,,,,1,worried,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_15,40039,event_perfectmaid_06_e,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_06_e_15,True,,10,10,1.0,,,,,,,1,worried,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_16,40039,event_perfectmaid_06_e,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_06_e_16,True,,10,100,1.0,,,,,,,1,worried,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_17,40039,event_perfectmaid_06_e,Self,ade,,Locale_SubScenario:event_perfectmaid_06_e_17,False,,100,100,1.0,,,,,,,1,worried,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_18,40039,event_perfectmaid_06_e,Monologue,ade,,Locale_SubScenario:event_perfectmaid_06_e_18,False,,100,100,1.0,,,,,,,1,worried,,,13,idle,,,,,,,,,,,,,,
event_perfectmaid_06_e_19,40039,event_perfectmaid_06_e,Monologue,ade,,Locale_SubScenario:event_perfectmaid_06_e_19,False,,100,100,1.0,,,,,,,1,worried,,,13,idle,,,,,,,,,,,,,,
