id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_redash_04_2_1,80800,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_1,False,TemporaryCamp,black,black,1.0,none,,,,hongryeon_o,5,sad,,,,,,
d_ex_redash_04_2_2,80800,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_2,False,,5,5,1.0,event_bgm_queensorder,sfx_scn_drawingsword,,,,5,sad,,,,,,
d_ex_redash_04_2_3,80800,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_3,False,,5,500,0.5,,sfx_scn_swordcut,Low_2,,,5,angry,,,,,,
d_ex_redash_04_2_4,80800,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_4,False,,500,500,1.0,,sfx_scn_dropshell,,,,5,angry,,,,,,
d_ex_redash_04_2_5,80800,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_5,True,,500,5,0.5,,,,hongryeon_o,,5,sad,,,,,,
d_ex_redash_04_2_6,80800,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_6,False,,5,5,1.0,,,,,,5,sad,,,,,,
d_ex_redash_04_2_7,80800,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_7,True,,3,3,1.0,,,,redhood,,5,idle,redhood,3,idle,,,
d_ex_redash_04_2_8,80800,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_8,True,,3,3,1.0,,,,redhood,,5,idle,,3,idle,,,
d_ex_redash_04_2_9,80800,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_9,False,,4,4,1.0,,,,hongryeon_o,,5,sad,,3,idle,,,
d_ex_redash_04_2_10,80800,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_10,True,,4,4,1.0,,,,redhood,,5,sad,,3,surprise,,,
d_ex_redash_04_2_11,80800,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_11,False,,5,5,1.0,,sfx_scn_drawingsword,,,,5,sad,,3,surprise,,,
d_ex_redash_04_2_12,80800,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_12,False,,5,50,0.5,,sfx_scn_swordswing,Low_2,,,5,angry,,3,idle,,,
d_ex_redash_04_2_13,80800,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_13,True,,30,3,1.0,,,,redhood,,5,angry,,3,surprise,,,
d_ex_redash_04_2_14,80800,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_14,True,,3,3,1.0,,,,redhood,,5,angry,,3,surprise,,,
d_ex_redash_04_2_15,80800,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_15,True,,3,4,1.0,,,,hongryeon_o,,5,angry,,3,idle,,,
d_ex_redash_04_2_16,80800,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_16,True,,4,4,1.0,,,,hongryeon_o,,5,angry,,3,idle,,,
d_ex_redash_04_2_17,80800,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_17,True,,4,4,1.0,,,,redhood,,5,angry,,3,smile,,,
d_ex_redash_04_2_18,80800,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_18,True,,4,4,1.0,,,,hongryeon_o,,5,angry,,3,smile,,,
