id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,set_camera_shake,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_dirtybackyard_01_s_1,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_1,True,moran,5,pain,Hotel_n,5,50,1.0,none,,,,,,
event_dirtybackyard_01_s_2,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_2,True,,5,pain,,50,50,1.0,bgm_blurredvision,,,,,,
event_dirtybackyard_01_s_3,40038,event_dirtybackyard_01_s,Narration,,,Locale_SubScenario:event_dirtybackyard_01_s_3,False,,5,pain,,50,50,1.0,,,,,,,
event_dirtybackyard_01_s_4,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_4,False,,5,pain,,50,50,1.0,,,,,,,
event_dirtybackyard_01_s_5,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_5,True,,5,think,,50,50,1.0,,,,,,,
event_dirtybackyard_01_s_6,40038,event_dirtybackyard_01_s,Narration,,,Locale_SubScenario:event_dirtybackyard_01_s_6,False,,5,think,,black,black,1.0,,m_event_dirtybackyard_01_s,,,,,
event_dirtybackyard_01_s_7,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_7,True,,5,pain,,5,50,0.5,,,Low_2,,,,
event_dirtybackyard_01_s_8,40038,event_dirtybackyard_01_s,Narration,,,Locale_SubScenario:event_dirtybackyard_01_s_8,False,,5,pain,,17,170,0.3,,,Low_2,sfx_scn_headbutt,,,
event_dirtybackyard_01_s_9,40038,event_dirtybackyard_01_s,Narration,,,Locale_SubScenario:event_dirtybackyard_01_s_9,True,,5,pain,,170,170,1.0,,,,,,,
event_dirtybackyard_01_s_10,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_10,True,,5,pain,,4,4,1.0,,,,,jin,3,idle
event_dirtybackyard_01_s_11,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_11,True,,5,pain,,4,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_12,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_12,True,,5,angry,,4,50,1.0,,,Low_2,,,3,idle
event_dirtybackyard_01_s_13,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_13,True,,5,angry,,50,50,1.0,,,Low_2,,,3,idle
event_dirtybackyard_01_s_14,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_14,True,,5,angry,,50,50,1.0,none,,,,,3,idle
event_dirtybackyard_01_s_15,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_15,True,,5,worry,,50,50,1.0,,,,,,3,idle
event_dirtybackyard_01_s_16,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_16,True,,5,worry,,50,4,1.0,bgm_risk,,,,,3,idle
