id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake
event_killthelord_05_s_1,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_1,False,d_w,1,special,Restaurant,10,10,1.0,bgm_mystery,,,
event_killthelord_05_s_2,40043,event_killthelord_05_s,Self,d_w,Locale_SubScenario:event_killthelord_05_s_2,False,,1,special,,10,10,1.0,,,,
event_killthelord_05_s_3,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_3,True,,1,special,,10,10,1.0,,d_w,,
event_killthelord_05_s_4,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_4,True,,1,special,,10,10,1.0,,d_w,,
event_killthelord_05_s_5,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_5,False,,1,special,Corridor,black,black,1.0,,,,
event_killthelord_05_s_6,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_6,False,,1,special,,19,19,1.0,,,,
event_killthelord_05_s_7,40043,event_killthelord_05_s,Self,d_w,Locale_SubScenario:event_killthelord_05_s_7,False,,1,special,,19,190,1.0,,,,
event_killthelord_05_s_8,40043,event_killthelord_05_s,Self,d_w,Locale_SubScenario:event_killthelord_05_s_8,False,,1,special,,190,190,1.0,,,,
event_killthelord_05_s_9,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_9,False,,1,void,,190,10,1.0,,d_w,,
event_killthelord_05_s_10,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_10,False,,1,special,,10,10,1.0,,d_w,,
event_killthelord_05_s_11,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_11,True,,1,special,,10,10,1.0,,d_w,,
event_killthelord_05_s_12,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_12,False,,1,special,,black,black,1.0,,,,
event_killthelord_05_s_13,40043,event_killthelord_05_s,Self,d_w,Locale_SubScenario:event_killthelord_05_s_13,False,,1,special,,10,10,1.0,,,,
event_killthelord_05_s_14,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_14,True,,1,special,,10,10,1.0,,d_w,,
event_killthelord_05_s_15,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_15,True,,1,special,,10,1,1.0,,d_w,,
event_killthelord_05_s_16,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_16,True,,1,special,,1,1,1.0,,d_w,,
event_killthelord_05_s_17,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_17,True,,1,void,,1,1,1.0,none,d_w,,
event_killthelord_05_s_18,40043,event_killthelord_05_s,Narration,d_w,Locale_SubScenario:event_killthelord_05_s_18,False,,1,void,,1,10,0.6,,,sfx_scn_lockbreak,Low_2
event_killthelord_05_s_19,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_19,False,,1,void,,10,10,1.0,bgm_secondhand,,,
event_killthelord_05_s_20,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_20,False,,1,special,Hotel,10,17,1.0,,,sfx_scn_rustydooropen,
event_killthelord_05_s_21,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_21,False,,1,special,,17,17,1.0,,,,
event_killthelord_05_s_22,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_22,True,,1,good,,10,10,1.0,,d_w,,
event_killthelord_05_s_23,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_23,True,,1,good,,10,10,1.0,,d_w,,
event_killthelord_05_s_24,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_24,False,,1,good,,10,10,1.0,,oldman,,
event_killthelord_05_s_25,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_25,True,,1,idle,,10,10,1.0,,d_w,,
event_killthelord_05_s_26,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_26,True,,1,idle,,10,10,1.0,,d_w,,
event_killthelord_05_s_27,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_27,False,,1,idle,,black,black,1.0,,,,
event_killthelord_05_s_28,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_28,False,,1,idle,,10,10,1.0,,oldwoman,,
event_killthelord_05_s_29,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_29,False,,1,idle,,10,10,1.0,,oldman,,
event_killthelord_05_s_30,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_30,False,,1,idle,,10,10,1.0,,oldman,,
event_killthelord_05_s_31,40043,event_killthelord_05_s,Self,d_w,Locale_SubScenario:event_killthelord_05_s_31,False,,1,idle,,10,10,1.0,,,,
event_killthelord_05_s_32,40043,event_killthelord_05_s,Self,d_w,Locale_SubScenario:event_killthelord_05_s_32,False,,1,idle,,10,10,1.0,,,,
event_killthelord_05_s_33,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_33,False,,1,think,,10,10,1.0,,,,
event_killthelord_05_s_34,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_34,True,,1,surprise,,10,10,1.0,,d_w,,
event_killthelord_05_s_35,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_35,False,,1,surprise,,10,10,1.0,,youngwoman,,
event_killthelord_05_s_36,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_36,False,,1,surprise,,10,10,1.0,,youngwoman,,
event_killthelord_05_s_37,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_37,False,,1,surprise,,10,10,1.0,,youngwoman,,
event_killthelord_05_s_38,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_38,False,,1,surprise,,10,10,1.0,,oldwoman,,
event_killthelord_05_s_39,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_39,False,,1,surprise,,10,10,1.0,,oldwoman,,
event_killthelord_05_s_40,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_40,False,,1,surprise,,10,10,1.0,,oldman,,
event_killthelord_05_s_41,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_41,False,,1,surprise,,black,black,1.0,,,,
event_killthelord_05_s_42,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_42,False,,1,surprise,,10,10,1.0,,oldman,,
event_killthelord_05_s_43,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_43,True,,1,sad,,10,10,1.0,,d_w,,
event_killthelord_05_s_44,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_44,False,,1,sad,,10,10,1.0,,youngwoman,,
event_killthelord_05_s_45,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_45,False,,1,sad,,10,10,1.0,,youngwoman,,
event_killthelord_05_s_46,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_46,False,,1,sad,,10,10,1.0,,oldwoman,,
event_killthelord_05_s_47,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_47,False,,1,sad,,10,10,1.0,,youngman,,
event_killthelord_05_s_48,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_48,False,,1,sad,,10,10,1.0,,youngman,,
event_killthelord_05_s_49,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_49,False,,1,sad,,10,10,1.0,,youngman,,
event_killthelord_05_s_50,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_50,True,,1,sad,,10,100,1.0,,d_w,,
event_killthelord_05_s_51,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_51,True,,1,void,,100,100,1.0,,d_w,,
event_killthelord_05_s_52,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_52,False,,1,void,,100,100,1.0,,youngwoman,,
event_killthelord_05_s_53,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_53,True,,1,sad,,100,100,0.6,,d_w,,
event_killthelord_05_s_54,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_54,True,,1,sad,,100,100,1.0,,d_w,,
event_killthelord_05_s_55,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_55,True,,1,sad,,100,100,1.0,,d_w,,
event_killthelord_05_s_56,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_56,False,,1,sad,,100,10,1.0,,oldman,,
event_killthelord_05_s_57,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_57,False,,1,sad,,black,black,1.0,,oldman,,
event_killthelord_05_s_58,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_58,False,,1,sad,,black,black,1.0,,oldman,,
event_killthelord_05_s_59,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_59,False,,1,void,,10,10,1.0,,oldwoman,,
event_killthelord_05_s_60,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_60,False,,1,void,,10,10,1.0,,youngwoman,,
event_killthelord_05_s_61,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_61,False,d_w,1,void,,10,10,1.0,,youngwoman,,
event_killthelord_05_s_62,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_62,False,,1,void,,10,10,1.0,,oldman,,
event_killthelord_05_s_63,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_63,False,,1,void,,10,10,1.0,,oldman,,
event_killthelord_05_s_64,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_64,False,,1,void,,black,black,1.0,,,,
event_killthelord_05_s_65,40043,event_killthelord_05_s,Monologue,d_w,Locale_SubScenario:event_killthelord_05_s_65,False,,1,void,,black,black,1.0,,,,
event_killthelord_05_s_66,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_66,True,,1,void,,10,10,1.0,,d_w,,
event_killthelord_05_s_67,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_67,False,,1,void,,10,10,1.0,,kamila,,
event_killthelord_05_s_68,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_68,False,,1,void,,10,10,1.0,,kamila,,
event_killthelord_05_s_69,40043,event_killthelord_05_s,Speech,d_w,Locale_SubScenario:event_killthelord_05_s_69,True,,1,idle,,10,10,1.0,,d_w,,
