id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/0/hide_char_id,play_sound,characters/1/hide_char_id
event_hightechtoy_06_e_89,40002,event_hightechtoy_epilogue,Speech,tvvoice,tvvoice,Locale_SubScenario:event_hightechtoy_06_e_89,True,MachineRoom,17,17,1.0,bgm_story_leisuretime,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_90,40002,event_hightechtoy_epilogue,Speech,tvvoice,tvvoice,Locale_SubScenario:event_hightechtoy_06_e_90,True,,17,17,1.0,,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_91,40002,event_hightechtoy_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_hightechtoy_06_e_91,True,,17,17,1.0,,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_92,40002,event_hightechtoy_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_hightechtoy_06_e_92,True,,17,17,1.0,,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_93,40002,event_hightechtoy_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_hightechtoy_06_e_93,True,,17,17,1.0,,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_94,40002,event_hightechtoy_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_hightechtoy_06_e_94,True,,17,17,1.0,,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_95,40002,event_hightechtoy_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_hightechtoy_06_e_95,True,,17,17,1.0,,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_96,40002,event_hightechtoy_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_hightechtoy_06_e_96,True,,17,17,1.0,,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_97,40002,event_hightechtoy_epilogue,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_06_e_97,True,,17,17,1.0,,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_98,40002,event_hightechtoy_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_hightechtoy_06_e_98,True,,17,17,1.0,,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_99,40002,event_hightechtoy_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_hightechtoy_06_e_99,True,,17,17,1.0,,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_100,40002,event_hightechtoy_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_hightechtoy_06_e_100,True,,17,17,1.0,,,,,,,,,,,,,,,,,
event_hightechtoy_06_e_101,40002,event_hightechtoy_epilogue,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_06_e_101,True,,17,5,3.0,,laplace,1,idle,drake,3,idle,maxwell_w,5,delight,,,,,,,
event_hightechtoy_06_e_102,40002,event_hightechtoy_epilogue,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_06_e_102,True,,5,5,1.0,,,1,idle,,3,idle,,5,idle,,,,,,,
event_hightechtoy_06_e_103,40002,event_hightechtoy_epilogue,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_06_e_103,True,,5,31,1.0,,,1,angry,,3,idle,,5,idle,,,,,,,
event_hightechtoy_06_e_104,40002,event_hightechtoy_epilogue,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_06_e_104,True,,31,31,1.0,,,1,angry,,3,angry,,5,idle,,,,,,,
event_hightechtoy_06_e_105,40002,event_hightechtoy_epilogue,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_06_e_105,True,,S_10,S_100,0.2,,,1,angry,,3,angry,,5,idle,,,,,,,
event_hightechtoy_06_e_106,40002,event_hightechtoy_epilogue,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_06_e_106,True,,30,300,0.2,,,1,angry,,3,angry,,5,idle,,,,,,,
event_hightechtoy_06_e_107,40002,event_hightechtoy_epilogue,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_06_e_107,True,,50,50,1.0,,,1,angry,,3,angry,,5,angry,,,,,,,
event_hightechtoy_06_e_108,40002,event_hightechtoy_epilogue,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_06_e_108,True,,50,50,1.0,,,1,angry,,3,idle,,5,angry,,,,,,,
