id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_firstaffection_5_1,130002,event_firstaffection_05,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_5_1,True,rapi,7,idle,neon,5,idle,anis,3,void,marian_f,1,delight,CommanderRoom,1,1,1.0,bgm_story_sundayintheark,
event_firstaffection_5_2,130002,event_firstaffection_05,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_5_2,True,,7,idle,,5,idle,,3,void,,1,"expression_01,delight",,1,10,2.0,,
event_firstaffection_5_3,130002,event_firstaffection_05,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_5_3,True,,7,idle,,5,idle,,3,void,,1,delight,,10,10,1.0,,
event_firstaffection_5_4,130002,event_firstaffection_05,Speech,anis,anis,Locale_SubScenario:event_firstaffection_5_4,True,,7,idle,,5,idle,,3,void,,1,delight,,10,53,1.0,,
event_firstaffection_5_5,130002,event_firstaffection_05,Speech,neon,neon,Locale_SubScenario:event_firstaffection_5_5,True,,7,idle,,5,delight,,3,void,,1,delight,,53,53,1.0,,
event_firstaffection_5_6,130002,event_firstaffection_05,Speech,neon,neon,Locale_SubScenario:event_firstaffection_5_6,True,,7,idle,,5,delight,,3,void,,1,delight,,53,53,1.0,,
event_firstaffection_5_7,130002,event_firstaffection_05,Speech,anis,anis,Locale_SubScenario:event_firstaffection_5_7,False,,7,idle,,5,delight,,3,void,,1,delight,,53,30,1.0,,
event_firstaffection_5_8,130002,event_firstaffection_05,Speech,neon,neon,Locale_SubScenario:event_firstaffection_5_8,True,,7,idle,,5,idle,,3,void,,1,delight,,S_50,S_50,1.0,,
event_firstaffection_5_9,130002,event_firstaffection_05,Speech,anis,anis,Locale_SubScenario:event_firstaffection_5_9,True,,7,idle,,5,idle,,3,sad,,1,delight,,30,300,2.0,,
event_firstaffection_5_10,130002,event_firstaffection_05,Speech,neon,neon,Locale_SubScenario:event_firstaffection_5_10,True,,7,idle,,5,surprise,,3,sad,,1,delight,,53,53,1.0,,
event_firstaffection_5_11,130002,event_firstaffection_05,Speech,anis,anis,Locale_SubScenario:event_firstaffection_5_11,True,,7,idle,,5,surprise,,3,void,,1,delight,,53,53,1.0,,
event_firstaffection_5_12,130002,event_firstaffection_05,Speech,anis,anis,Locale_SubScenario:event_firstaffection_5_12,True,,7,idle,,5,idle,,3,void,,1,delight,,53,53,1.0,,
event_firstaffection_5_13,130002,event_firstaffection_05,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_5_13,True,,7,idle,,5,idle,,3,void,,1,delight,,53,75,1.0,,
event_firstaffection_5_14,130002,event_firstaffection_05,Speech,anis,anis,Locale_SubScenario:event_firstaffection_5_14,True,,7,idle,,5,idle,,3,sad,,1,delight,,75,53,1.0,,
event_firstaffection_5_15,130002,event_firstaffection_05,Speech,neon,neon,Locale_SubScenario:event_firstaffection_5_15,True,,7,idle,,5,delight,,3,sad,,1,delight,,53,53,1.0,,
event_firstaffection_5_16,130002,event_firstaffection_05,Speech,anis,anis,Locale_SubScenario:event_firstaffection_5_16,True,,7,idle,,5,delight,,3,no,,1,delight,,53,53,1.0,,
event_firstaffection_5_17,130002,event_firstaffection_05,Narration,Narration,Narration,Locale_SubScenario:event_firstaffection_5_17,False,,7,idle,,5,idle,,3,no,,1,delight,,53,53,1.0,none,sfx_scn_phonevibration
event_firstaffection_5_18,130002,event_firstaffection_05,Self,Self,Self,Locale_SubScenario:event_firstaffection_5_18,False,,7,idle,,5,idle,,3,void,,1,delight,,53,53,1.0,,
event_firstaffection_5_19,130002,event_firstaffection_05,Speech,anis,anis,Locale_SubScenario:event_firstaffection_5_19,False,,7,idle,,5,no,,3,void,,1,delight,,53,3,1.0,,
event_firstaffection_5_20,130002,event_firstaffection_05,Speech,neon,neon,Locale_SubScenario:event_firstaffection_5_20,False,,7,idle,,5,no,,3,void,,1,delight,,3,5,1.0,,
event_firstaffection_5_21,130002,event_firstaffection_05,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_5_21,True,,7,think,,5,no,,3,void,,1,delight,,5,7,1.0,,
event_firstaffection_5_22,130002,event_firstaffection_05,Speech,anis,anis,Locale_SubScenario:event_firstaffection_5_22,True,,7,think,,5,no,,3,angry,,1,delight,,30,30,1.0,,
event_firstaffection_5_23,130002,event_firstaffection_05,Speech,neon,neon,Locale_SubScenario:event_firstaffection_5_23,True,,7,think,,5,no,,3,angry,,1,delight,,S_50,S_50,1.0,,
