id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake
event_beautyfullshot1_04_e_1,40051,event_beautyfullshot1_04_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_04_e_1,True,sakura_s,1,smile,UninhabitedIsland_d,10,10,1.0,event_bgm_beautyfullshot_seasidedance,,,,,,,,,,
event_beautyfullshot1_04_e_2,40051,event_beautyfullshot1_04_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_04_e_2,True,,1,smile,,10,10,1.0,,,,,,,,,,,
event_beautyfullshot1_04_e_3,40051,event_beautyfullshot1_04_e,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot1_04_e_3,False,,1,smile,,10,10,1.0,,,,,,,,,,,
event_beautyfullshot1_04_e_4,40051,event_beautyfullshot1_04_e,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot1_04_e_4,False,,1,smile,,10,10,1.0,,,,,,,,,,,
event_beautyfullshot1_04_e_5,40051,event_beautyfullshot1_04_e,Choice,sakura_s,,Locale_MainScenario:event_beautyfullshot1_04_e_5,False,,1,smile,,10,10,1.0,,event_beautyfullshot1_04_e_7,,,,,,,,,
event_beautyfullshot1_04_e_6,40051,event_beautyfullshot1_04_e,Choice,sakura_s,,Locale_MainScenario:event_beautyfullshot1_04_e_6,False,,1,smile,,10,10,1.0,,event_beautyfullshot1_04_e_7,,,,,,,,,
event_beautyfullshot1_04_e_7,40051,event_beautyfullshot1_04_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_04_e_7,True,,1,void,,10,100,1.0,,,,,,,,,,,
event_beautyfullshot1_04_e_8,40051,event_beautyfullshot1_04_e,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot1_04_e_8,False,,1,void,,100,100,1.0,,,,,,,,,,,
event_beautyfullshot1_04_e_9,40051,event_beautyfullshot1_04_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_04_e_9,True,,1,idle,,100,10,1.0,,,,,,,,,,,
event_beautyfullshot1_04_e_10,40051,event_beautyfullshot1_04_e,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot1_04_e_10,False,,1,idle,,10,10,1.0,,,,,,,,,,,
event_beautyfullshot1_04_e_11,40051,event_beautyfullshot1_04_e,Narration,sakura_s,,Locale_MainScenario:event_beautyfullshot1_04_e_11,False,,1,idle,,10,10,1.0,,,sfx_scn_phonecamera,,,,,,,,
