id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target
event_jinxplayer_01_s_1,40058,event_jinxplayer_01_s,Self,Self,Locale_SubScenario:event_jinxplayer_01_s_1,False,CommanderRoom,1,1,1.0,none,,,,,,,,,
event_jinxplayer_01_s_2,40058,event_jinxplayer_01_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_01_s_2,False,,1,1,1.0,bgm_story_breakaway,,,,,,,,,
event_jinxplayer_01_s_3,40058,event_jinxplayer_01_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_01_s_3,False,,1,10,0.5,,sfx_scn_sofasit,,,,,,,,
event_jinxplayer_01_s_4,40058,event_jinxplayer_01_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_01_s_4,False,,10,10,1.0,,,,,,,,,,
event_jinxplayer_01_s_5,40058,event_jinxplayer_01_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_01_s_5,False,,10,10,1.0,,,,,,,,,,
event_jinxplayer_01_s_6,40058,event_jinxplayer_01_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_01_s_6,False,,10,1,1.0,,sfx_scn_autodooropen,,,,,,,,
event_jinxplayer_01_s_7,40058,event_jinxplayer_01_s,Self,Self,Locale_SubScenario:event_jinxplayer_01_s_7,False,,1,1,1.0,,,,,,,,,,
event_jinxplayer_01_s_8,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_8,True,,1,6,1.5,,,noir,noir,7,idle,blanc,5,think,
event_jinxplayer_01_s_9,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_9,True,,6,6,1.0,,,blanc,,7,idle,,5,think,
event_jinxplayer_01_s_10,40058,event_jinxplayer_01_s,Self,Self,Locale_SubScenario:event_jinxplayer_01_s_10,False,,6,6,1.0,,,blanc,,7,idle,,5,think,
event_jinxplayer_01_s_11,40058,event_jinxplayer_01_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_01_s_11,False,,black,black,1.0,,,blanc,,7,idle,,5,think,
event_jinxplayer_01_s_12,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_12,True,,6,6,1.0,,,noir,,7,surprise,,5,think,
event_jinxplayer_01_s_13,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_13,True,,6,6,1.0,,,noir,,7,surprise,,5,think,
event_jinxplayer_01_s_14,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_14,True,,6,6,1.0,,,blanc,,7,surprise,,5,think,
event_jinxplayer_01_s_15,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_15,True,,6,6,1.0,,,blanc,,7,surprise,,5,think,
event_jinxplayer_01_s_16,40058,event_jinxplayer_01_s,Self,Self,Locale_SubScenario:event_jinxplayer_01_s_16,False,,6,6,1.0,,,blanc,,7,surprise,,5,think,
event_jinxplayer_01_s_17,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_17,True,,6,6,1.0,,,noir,,7,idle,,5,think,
event_jinxplayer_01_s_18,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_18,True,,6,6,1.0,,,noir,,7,idle,,5,think,
event_jinxplayer_01_s_19,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_19,True,,6,6,1.0,,,blanc,,7,idle,,5,think,
event_jinxplayer_01_s_20,40058,event_jinxplayer_01_s,Choice,,Locale_SubScenario:event_jinxplayer_01_s_20,False,,6,6,1.0,,,blanc,,7,idle,,5,think,event_jinxplayer_01_s_22
event_jinxplayer_01_s_21,40058,event_jinxplayer_01_s,Choice,,Locale_SubScenario:event_jinxplayer_01_s_21,False,,6,6,1.0,,,blanc,,7,idle,,5,think,event_jinxplayer_01_s_25
event_jinxplayer_01_s_22,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_22,True,,6,6,1.0,,,noir,,7,idle,,5,think,
event_jinxplayer_01_s_23,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_23,True,,6,6,1.0,,,blanc,,7,idle,,5,think,
event_jinxplayer_01_s_24,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_24,True,,6,6,1.0,,,blanc,,7,idle,,5,think,event_jinxplayer_01_s_29
event_jinxplayer_01_s_25,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_25,True,,6,6,1.0,,,blanc,,7,idle,,5,think,
event_jinxplayer_01_s_26,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_26,True,,6,6,1.0,,,blanc,,7,idle,,5,think,
event_jinxplayer_01_s_27,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_27,True,,6,6,1.0,,,noir,,7,idle,,5,think,
event_jinxplayer_01_s_28,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_28,True,,6,6,1.0,,,noir,,7,idle,,5,think,event_jinxplayer_01_s_29
event_jinxplayer_01_s_29,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_29,True,,6,L_50,1.0,,,blanc,,7,idle,,5,think,
event_jinxplayer_01_s_30,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_30,True,,L_50,L_50,1.0,,,blanc,,7,idle,,5,think,
event_jinxplayer_01_s_31,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_31,True,,L_50,L_50,1.0,,,blanc,,7,idle,,5,think,
event_jinxplayer_01_s_32,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_32,True,,L_50,L_50,1.0,,,blanc,,7,idle,,5,think,
event_jinxplayer_01_s_33,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_33,True,,L_50,L_70,1.0,,,noir,,7,idle,,5,think,
event_jinxplayer_01_s_34,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_34,True,,L_70,L_70,1.0,,,noir,,7,idle,,5,think,
event_jinxplayer_01_s_35,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_35,True,,L_70,L_70,1.0,,,noir,,7,idle,,5,think,
event_jinxplayer_01_s_36,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_36,True,,L_70,L_70,1.0,,,noir,,7,surprise,,5,think,
event_jinxplayer_01_s_37,40058,event_jinxplayer_01_s,Speech,noir,Locale_SubScenario:event_jinxplayer_01_s_37,True,,L_70,L_70,1.0,,,noir,,7,surprise,,5,think,
event_jinxplayer_01_s_38,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_38,True,,L_70,L_50,1.0,,,blanc,,7,surprise,,5,think,
event_jinxplayer_01_s_39,40058,event_jinxplayer_01_s,Speech,blanc,Locale_SubScenario:event_jinxplayer_01_s_39,True,,L_50,L_50,1.0,,,blanc,,7,surprise,,5,think,
