id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_neverland1_01_e_1,40034,event_neverland1_01_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_01_e_1,True,BriefingRoom,3,XS_30,1.0,none,,,,signal,3,delight,,delta,5,idle,,,,,
event_neverland1_01_e_2,40034,event_neverland1_01_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_01_e_2,True,,XS_30,XS_30,1.0,bgm_story_orangepop,,,,,3,delight,,,5,idle,,,,,
event_neverland1_01_e_3,40034,event_neverland1_01_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_01_e_3,True,,XS_30,XS_30,1.0,,,,,,3,delight,,,5,idle,,,,,
event_neverland1_01_e_4,40034,event_neverland1_01_e,Self,,,Locale_MainScenario:event_neverland1_01_e_4,False,,XS_30,XS_30,1.0,,,,,,3,delight,,,5,idle,,,,,
event_neverland1_01_e_5,40034,event_neverland1_01_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_01_e_5,True,,XS_30,XS_30,1.0,,,,,,3,delight,,,5,idle,,,,,
event_neverland1_01_e_6,40034,event_neverland1_01_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_01_e_6,True,,XS_30,XS_30,1.0,,,,,,3,delight,,,5,idle,,,,,
event_neverland1_01_e_7,40034,event_neverland1_01_e,Speech,delta,delta,Locale_MainScenario:event_neverland1_01_e_7,True,,S_50,S_50,1.0,,,,,,3,delight,,,5,idle,,,,,
event_neverland1_01_e_8,40034,event_neverland1_01_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_01_e_8,True,,S_50,4,1.0,,,,,,3,idle,,,5,idle,,,,,
event_neverland1_01_e_9,40034,event_neverland1_01_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_01_e_9,True,,4,4,1.0,,,,,,3,idle,,,5,idle,,,,,
event_neverland1_01_e_10,40034,event_neverland1_01_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_01_e_10,True,,4,4,1.0,,,,,,3,sad,,,5,idle,,,,,
event_neverland1_01_e_11,40034,event_neverland1_01_e,Speech,delta,delta,Locale_MainScenario:event_neverland1_01_e_11,True,,4,4,1.0,,,,,,3,sad,,,5,delight,,,,,
event_neverland1_01_e_12,40034,event_neverland1_01_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_01_e_12,True,,4,4,1.0,,,,,,3,delight,,,5,delight,,,,,
event_neverland1_01_e_13,40034,event_neverland1_01_e,Self,,,Locale_MainScenario:event_neverland1_01_e_13,False,,4,4,1.0,,,,,,3,delight,,,5,idle,,,,,
event_neverland1_01_e_14,40034,event_neverland1_01_e,Speech,delta,delta,Locale_MainScenario:event_neverland1_01_e_14,True,,5,S_50,1.0,,,,,,3,idle,,,5,idle,,,,,
event_neverland1_01_e_15,40034,event_neverland1_01_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_01_e_15,True,,3,XS_30,1.0,,,,,,3,idle,,,5,idle,,,,,
event_neverland1_01_e_16,40034,event_neverland1_01_e,Narration,,,Locale_MainScenario:event_neverland1_01_e_16,False,OutpostOut,XS_30,9,1.0,,sfx_scn_autodooropen,,,,3,idle,,,5,idle,,,,,
event_neverland1_01_e_17,40034,event_neverland1_01_e,Monologue,,,Locale_MainScenario:event_neverland1_01_e_17,False,,black,black,1.0,,,,,,3,idle,signal,,5,idle,delta,,,,
event_neverland1_01_e_18,40034,event_neverland1_01_e,Narration,,,Locale_MainScenario:event_neverland1_01_e_18,False,Armory,19,13,0.3,,sfx_scn_autodooropen,black,,,,,,,,,,,,,
