id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_outofuniform_02_1,130006,event_outofuniform_02,Narration,cocoa,cocoa,Locale_SubScenario:event_outofuniform_02_1,False,MaidCafe,5,5,1.0,sfx_scn_toyshopbell,bgm_story_apricot,,cocoa,5,idle,ein_k,3,delight,zwei_k,1,idle,,,,,,
event_outofuniform_02_2,130006,event_outofuniform_02,Speech,cocoa,cocoa,Locale_SubScenario:event_outofuniform_02_2,True,,5,5,1.0,,,,,5,idle,,3,delight,,1,idle,,,,,,
event_outofuniform_02_3,130006,event_outofuniform_02,Speech,cocoa,cocoa,Locale_SubScenario:event_outofuniform_02_3,True,,5,5,1.0,,,,,5,idle,,3,delight,,1,idle,,,,,,
event_outofuniform_02_4,130006,event_outofuniform_02,Self,cocoa,,Locale_SubScenario:event_outofuniform_02_4,False,,5,5,1.0,,,,,5,idle,,3,delight,,1,idle,,,,,,
event_outofuniform_02_5,130006,event_outofuniform_02,Speech,cocoa,cocoa,Locale_SubScenario:event_outofuniform_02_5,True,,5,XS_50,1.0,,,,,5,delight,,3,delight,,1,idle,,,,,,
event_outofuniform_02_6,130006,event_outofuniform_02,Speech,cocoa,cocoa,Locale_SubScenario:event_outofuniform_02_6,True,,XS_50,XS_50,1.0,,,,,5,delight,,3,delight,,1,idle,,,,,,
event_outofuniform_02_7,130006,event_outofuniform_02,Speech,cocoa,cocoa,Locale_SubScenario:event_outofuniform_02_7,True,,XS_50,XS_50,1.0,,,,,5,delight,,3,delight,,1,idle,,,,,,
event_outofuniform_02_8,130006,event_outofuniform_02,Speech,cocoa,cocoa,Locale_SubScenario:event_outofuniform_02_8,True,,XS_50,XS_50,1.0,,,,,5,delight,,3,delight,,1,idle,,,,,,
event_outofuniform_02_9,130006,event_outofuniform_02,Speech,cocoa,cocoa,Locale_SubScenario:event_outofuniform_02_9,True,,XS_50,XS_50,1.0,,,,,5,delight,,3,delight,,1,idle,,,,,,
event_outofuniform_02_10,130006,event_outofuniform_02,Monologue,cocoa,,Locale_SubScenario:event_outofuniform_02_10,False,,XS_50,XS_50,1.0,,,,,5,delight,,3,delight,,1,idle,,,,,,
event_outofuniform_02_11,130006,event_outofuniform_02,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_02_11,True,,2,2,1.0,,,,,5,idle,,3,surprise,,1,idle,,,,,,
event_outofuniform_02_12,130006,event_outofuniform_02,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_02_12,True,,2,2,1.0,,,,,5,idle,,3,delight,,1,idle,,,,,,
event_outofuniform_02_13,130006,event_outofuniform_02,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_02_13,True,,2,2,1.0,,,,,5,idle,,3,delight,,1,idle,,,,,,
event_outofuniform_02_14,130006,event_outofuniform_02,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_02_14,True,,2,2,1.0,,,,,5,idle,,3,delight,,1,idle,,,,,,
event_outofuniform_02_15,130006,event_outofuniform_02,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_02_15,True,,2,2,1.0,,,,,5,idle,,3,delight,,1,idle,,,,,,
event_outofuniform_02_16,130006,event_outofuniform_02,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_02_16,True,,2,2,1.0,,,,,5,idle,,3,surprise,,1,idle,,,,,,
event_outofuniform_02_17,130006,event_outofuniform_02,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_02_17,True,,2,2,1.0,,,,,5,idle,,3,surprise,,1,shy,,,,,,
event_outofuniform_02_18,130006,event_outofuniform_02,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_02_18,True,,2,10,1.3,,,,,5,idle,,3,surprise,,1,idle,,,,,,
event_outofuniform_02_19,130006,event_outofuniform_02,Choice,zwei_k,,Locale_SubScenario:event_outofuniform_02_19,False,,10,10,1.0,,,event_outofuniform_02_21,,5,idle,,3,surprise,,1,idle,,,,,,
event_outofuniform_02_20,130006,event_outofuniform_02,Choice,zwei_k,,Locale_SubScenario:event_outofuniform_02_20,False,,10,10,1.0,,,event_outofuniform_02_35,,5,idle,,3,surprise,,1,idle,,,,,,
event_outofuniform_02_21,130006,event_outofuniform_02,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_02_21,True,,10,10,1.0,,,,,5,idle,,3,surprise,,1,good,,,,,,
event_outofuniform_02_22,130006,event_outofuniform_02,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_02_22,True,,10,2,1.3,,,,,5,idle,,3,idle,,1,good,,,,,,
event_outofuniform_02_23,130006,event_outofuniform_02,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_02_23,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,good,,,,,,
event_outofuniform_02_24,130006,event_outofuniform_02,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_02_24,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,good,,,,,,
event_outofuniform_02_25,130006,event_outofuniform_02,Monologue,ein_k,,Locale_SubScenario:event_outofuniform_02_25,False,,black,black,1.0,sfx_scn_dishdebris,,,,5,idle,,3,idle,,1,good,,,,,,
event_outofuniform_02_26,130006,event_outofuniform_02,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_02_26,True,,2,2,1.0,,,,,5,idle,,3,shy,,1,good,,,,,,
event_outofuniform_02_27,130006,event_outofuniform_02,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_02_27,True,,2,2,1.0,,,,,5,idle,,3,shy,,1,good,,,,,,
event_outofuniform_02_28,130006,event_outofuniform_02,Self,zwei_k,,Locale_SubScenario:event_outofuniform_02_28,False,,2,2,1.0,,,,,5,idle,,3,shy,,1,good,,,,,,
