id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,fade,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_filter_01,set_filter_02
snowfall_global_09_default_1,80903,snowfall_global_09,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_09_default_2,80903,snowfall_global_09,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_09_1,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_09_default_3,80903,snowfall_global_09,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,
snowfall_global_09_1,80903,snowfall_global_09,Monologue,Locale_SubScenario:snowfall_global_09_1,False,HotSpringInnOut_s,1,1,1.0,amb_so_inn_out_2,event_bgm_neverland_intermissionjam_day,,,white,,,,,,,,,,,,,,,,,,,,
snowfall_global_09_2,80903,snowfall_global_09,Monologue,Locale_SubScenario:snowfall_global_09_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_09_3,80903,snowfall_global_09,Narration,Locale_SubScenario:snowfall_global_09_3,False,,1,1,1.0,,,,,,sfx_scn_slidingdoor,,,,,,,,,,,,,,,,,,,
snowfall_global_09_4,80903,snowfall_global_09,Speech,Locale_SubScenario:snowfall_global_09_4,True,EventScene_snowfalloasis_12,1,snowfalloasis_12_1,1.0,,,,,,,blanc_c,blanc_c,,,,,,,,,,,,,,,,,
snowfall_global_09_5,80903,snowfall_global_09,Speech,Locale_SubScenario:snowfall_global_09_5,True,,snowfalloasis_12_1,snowfalloasis_12_2,1.0,,,,,,,noir_c,noir_c,,,,,,,,,,,,,,,,,
snowfall_global_09_6,80903,snowfall_global_09,Speech,Locale_SubScenario:snowfall_global_09_6,True,,snowfalloasis_12_2,snowfalloasis_12_3,1.0,,,,,,,blanc_c,blanc_c,,,,,,,,,,,,,,,,,
snowfall_global_09_7,80903,snowfall_global_09,Speech,Locale_SubScenario:snowfall_global_09_7,True,,snowfalloasis_12_3,snowfalloasis_12_3,1.0,,,,,,,noir_c,noir_c,,,,,,,,,,,,,,,,,
