id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id
snowfall_global_11_default_1,80903,snowfall_global_11,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_11_default_2,80903,snowfall_global_11,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_11_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_11_default_3,80903,snowfall_global_11,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_11_1,80903,snowfall_global_11,Monologue,Locale_SubScenario:snowfall_global_11_1,False,HotSpringInnOut_s,1,1,1.0,amb_so_inn_out_2,event_bgm_neverland_snowflakes_sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_11_2,80903,snowfall_global_11,Monologue,Locale_SubScenario:snowfall_global_11_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_11_3,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_3,True,,1,6,1.0,,,,,emma,emma,emma,7,worry,noir_c,5,surprise,blanc_c,3,think,ludmilla_w,1,think,mica_w,13,idle,anne,15,idle,angelina,17,idle,rupee_w,19,idle,,,,,,,,
snowfall_global_11_4,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_4,True,,6,6,1.0,,,,,emma,emma,,7,worry,,5,surprise,,3,think,,1,think,,13,idle,,15,idle,,17,idle,,19,idle,,,,,,,,
snowfall_global_11_5,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_5,True,,6,4,1.0,,,,,blanc_c,blanc_c,,7,worry,,5,surprise,,3,think,,1,think,,13,idle,,15,idle,,17,idle,,19,idle,,,,,,,,
snowfall_global_11_6,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_6,True,,4,4,1.0,,,,,blanc_c,blanc_c,,7,worry,,5,surprise,,3,think,,1,think,,13,idle,,15,idle,,17,idle,,19,idle,,,,,,,,
snowfall_global_11_7,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_7,True,,4,4,1.0,,,,,noir_c,noir_c,,7,worry,,5,surprise,,3,think,,1,think,,13,idle,,15,idle,,17,idle,,19,idle,,,,,,,,
snowfall_global_11_8,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_8,True,,L_190,L_190,1.0,,,,,rupee_w,rupee_w,,7,worry,,5,surprise,,3,think,,1,think,,13,idle,,15,idle,,17,idle,,19,sad,,,,,,,,
snowfall_global_11_9,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_9,True,,L_190,L_190,1.0,,,,,rupee_w,rupee_w,,7,worry,,5,surprise,,3,think,,1,think,,13,cry,,15,idle,,17,idle,,19,sad,,,,,,,,
snowfall_global_11_10,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_10,True,,L_190,L_190,1.0,,,,,rupee_w,rupee_w,,7,worry,,5,surprise,,3,think,,1,think,,13,cry,,15,idle,,17,idle,,19,sad,,,,,,,,
snowfall_global_11_11,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_11,True,,12,12,1.0,,,,,mica_w,mica_w,,7,worry,,5,surprise,,3,think,,1,think,,13,cry,,15,idle,,17,idle,,19,sad,,,,,,,,
snowfall_global_11_12,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_12,True,,12,12,1.0,,,,,ludmilla_w,ludmilla_w,,7,worry,,5,surprise,,3,think,,1,idle,,13,cry,,15,idle,,17,idle,,19,sad,,,,,,,,
snowfall_global_11_13,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_13,True,,12,16,1.0,,,,,angelina,angelina,,7,worry,,5,surprise,,3,think,,1,idle,,13,cry,,15,idle,,17,smile,,19,idle,,,,,,,,
snowfall_global_11_14,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_14,True,,16,16,1.0,,,,,angelina,angelina,,7,worry,,5,surprise,,3,think,,1,idle,,13,cry,,15,idle,,17,smile,,19,idle,,,,,,,,
snowfall_global_11_15,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_15,True,,16,16,1.0,,,,,angelina,angelina,,7,worry,,5,surprise,,3,think,,1,idle,,13,cry,,15,idle,,17,smile,,19,idle,,,,,,,,
snowfall_global_11_16,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_16,True,,16,16,1.0,,,,,anne,anne,,7,worry,,5,surprise,,3,think,,1,idle,,13,idle,,15,idle,,17,smile,,19,idle,,,,,,,,
snowfall_global_11_17,80903,snowfall_global_11,Speech,Locale_SubScenario:snowfall_global_11_17,True,,16,16,1.0,,,,,anne,anne,,7,worry,,5,surprise,,3,think,,1,idle,,13,idle,,15,idle,,17,smile,,19,idle,,,,,,,,
