id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/0/hide_char_id
event_BunnyX777_04_e_1,40014,event_BunnyX777_04_e,Speech,mustang,mustang,Locale_SubScenario:event_BunnyX777_04_e_1,True,mustang,5,delight,CoinRushIndoor,5,L_50,1.0,event_bgm_bunny777,,,,,,,,,,,,,
event_BunnyX777_04_e_2,40014,event_BunnyX777_04_e,Speech,mustang,mustang,Locale_SubScenario:event_BunnyX777_04_e_2,True,,5,delight,,L_50,L_50,1.0,,,,,,,,,,,,,,
event_BunnyX777_04_e_3,40014,event_BunnyX777_04_e,Speech,mustang,mustang,Locale_SubScenario:event_BunnyX777_04_e_3,True,,5,delight,,L_50,L_50,1.0,,,,,,,,,,,,,,
event_BunnyX777_04_e_4,40014,event_BunnyX777_04_e,Speech,mustang,mustang,Locale_SubScenario:event_BunnyX777_04_e_4,True,,5,delight,,L_50,L_50,1.0,,,,,,,,,,,,,,
event_BunnyX777_04_e_5,40014,event_BunnyX777_04_e,Speech,mustang,mustang,Locale_SubScenario:event_BunnyX777_04_e_5,True,,5,idle,,L_50,L_50,1.0,,,,,,,,,,,,,,
event_BunnyX777_04_e_6,40014,event_BunnyX777_04_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_04_e_6,True,,5,idle,,L_50,L_50,1.0,,noir,1,idle,sullenman,15,idle,,,,,,,
event_BunnyX777_04_e_7,40014,event_BunnyX777_04_e,Narration,,,Locale_SubScenario:event_BunnyX777_04_e_7,False,,5,idle,,L_50,L_10,2.0,,,1,idle,,15,idle,,,,,,,
event_BunnyX777_04_e_8,40014,event_BunnyX777_04_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_04_e_8,True,,5,idle,,L_10,L_10,1.0,,,1,idle,,15,idle,mustang,,,,,,
event_BunnyX777_04_e_9,40014,event_BunnyX777_04_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_04_e_9,True,,,,,L_10,L_10,1.0,,,1,idle,,15,idle,,,,,,,
event_BunnyX777_04_e_10,40014,event_BunnyX777_04_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_04_e_10,True,,,,,L_10,L_10,1.0,,,1,idle,,15,idle,,,,,,,
event_BunnyX777_04_e_11,40014,event_BunnyX777_04_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_04_e_11,True,,,,,L_10,L_100,1.0,,,1,idle,,15,idle,,,,,,,
event_BunnyX777_04_e_12,40014,event_BunnyX777_04_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_04_e_12,True,,,,,L_100,L_100,1.0,,,1,idle,,15,idle,,,,,,,
event_BunnyX777_04_e_13,40014,event_BunnyX777_04_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_04_e_13,True,,,,,L_100,L_100,1.0,,,1,idle,,15,idle,,,,,,,
event_BunnyX777_04_e_14,40014,event_BunnyX777_04_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_04_e_14,True,,,,,L_100,L_10,1.0,,,1,idle,,15,idle,,,,,,,
