id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_newflavor_06_s_1,40073,event_newflavor_06_s,Self,Locale_SubScenario:event_newflavor_06_s_1,False,CityForest_03_d,S_20,S_20,1.0,bgm_intotheswarm,,,,bready,2,no,crust,12,sad
event_newflavor_06_s_2,40073,event_newflavor_06_s,Speech,Locale_SubScenario:event_newflavor_06_s_2,True,,S_20,S_200,1.3,,bready,bready,,,2,no,,12,sad
event_newflavor_06_s_3,40073,event_newflavor_06_s,Choice,Locale_SubScenario:event_newflavor_06_s_3,False,,S_200,S_200,1.0,,bready,,event_newflavor_06_s_5,,2,no,,12,sad
event_newflavor_06_s_4,40073,event_newflavor_06_s,Choice,Locale_SubScenario:event_newflavor_06_s_4,False,,S_200,S_200,1.0,,bready,,event_newflavor_06_s_9,,2,no,,12,sad
event_newflavor_06_s_5,40073,event_newflavor_06_s,Monologue,Locale_SubScenario:event_newflavor_06_s_5,False,,S_200,S_200,1.0,,bready,,,,2,no,,12,sad
event_newflavor_06_s_6,40073,event_newflavor_06_s,Monologue,Locale_SubScenario:event_newflavor_06_s_6,False,,S_200,S_200,1.0,,bready,,,,2,no,,12,sad
event_newflavor_06_s_7,40073,event_newflavor_06_s,Speech,Locale_SubScenario:event_newflavor_06_s_7,True,,S_200,S_20,1.3,,bready,bready,,,2,no,,12,sad
event_newflavor_06_s_8,40073,event_newflavor_06_s,Speech,Locale_SubScenario:event_newflavor_06_s_8,True,,S_20,S_20,1.0,,bready,bready,event_newflavor_06_s_11,,2,no,,12,sad
event_newflavor_06_s_9,40073,event_newflavor_06_s,Speech,Locale_SubScenario:event_newflavor_06_s_9,True,,S_200,S_20,1.3,,bready,bready,,,2,no,,12,sad
event_newflavor_06_s_10,40073,event_newflavor_06_s,Speech,Locale_SubScenario:event_newflavor_06_s_10,True,,S_20,S_20,1.0,,bready,bready,event_newflavor_06_s_11,,2,no,,12,sad
event_newflavor_06_s_11,40073,event_newflavor_06_s,Speech,Locale_SubScenario:event_newflavor_06_s_11,True,,S_20,S_20,1.0,,bready,bready,,,2,no,,12,sad
event_newflavor_06_s_12,40073,event_newflavor_06_s,Speech,Locale_SubScenario:event_newflavor_06_s_12,True,,S_20,S_20,1.0,,bready,bready,,,2,no,,12,sad
event_newflavor_06_s_13,40073,event_newflavor_06_s,Self,Locale_SubScenario:event_newflavor_06_s_13,False,,S_20,S_20,1.0,,bready,,,,2,no,,12,sad
event_newflavor_06_s_14,40073,event_newflavor_06_s,Speech,Locale_SubScenario:event_newflavor_06_s_14,True,,S_20,1,1.3,,crust,crust,,,2,no,,12,sad
event_newflavor_06_s_15,40073,event_newflavor_06_s,Speech,Locale_SubScenario:event_newflavor_06_s_15,True,,1,1,1.0,,crust,crust,,,2,no,,12,sad
event_newflavor_06_s_16,40073,event_newflavor_06_s,Speech,Locale_SubScenario:event_newflavor_06_s_16,True,,1,1,1.0,,crust,crust,,,2,no,,12,sad
