id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,fade,play_ambient,play_sound,set_camera_shake,set_filter_02
event_footstepwalkrun1_02_e_1,40066,event_footstepwalkrun1_02_e,Speech,rapi_h,rapi_h,Locale_MainScenario:event_footstepwalkrun1_02_e_1,True,EventScene_footstepwalkrun_01,19,rapiwalk_01,1.5,bgm_areah,,,,,,,,,
event_footstepwalkrun1_02_e_2,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_2,False,,rapiwalk_01,rapiwalk_01,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_3,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_3,False,,rapiwalk_01,rapiwalk_01,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_4,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_4,False,,rapiwalk_01,rapiwalk_01,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_5,40066,event_footstepwalkrun1_02_e,Speech,rapi_h,rapi_h,Locale_MainScenario:event_footstepwalkrun1_02_e_5,True,,rapiwalk_01,rapiwalk_03,1.5,,,,,,,,,,
event_footstepwalkrun1_02_e_6,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_6,False,,rapiwalk_03,rapiwalk_03,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_7,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_7,False,,rapiwalk_03,rapiwalk_03,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_8,40066,event_footstepwalkrun1_02_e,Speech,rapi_h,rapi_h,Locale_MainScenario:event_footstepwalkrun1_02_e_8,True,,rapiwalk_03,rapiwalk_03,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_9,40066,event_footstepwalkrun1_02_e,Speech,rapi_h,rapi_h,Locale_MainScenario:event_footstepwalkrun1_02_e_9,True,,rapiwalk_03,rapiwalk_03,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_10,40066,event_footstepwalkrun1_02_e,Speech,rapi_h,rapi_h,Locale_MainScenario:event_footstepwalkrun1_02_e_10,True,,rapiwalk_03,rapiwalk_03,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_11,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_11,False,,rapiwalk_03,rapiwalk_01,1.5,,,,,,,,,,
event_footstepwalkrun1_02_e_12,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_12,False,,rapiwalk_01,rapiwalk_01,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_13,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_13,False,,rapiwalk_01,rapiwalk_01,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_14,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_14,False,,rapiwalk_01,rapiwalk_01,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_15,40066,event_footstepwalkrun1_02_e,Speech,rapi_h,rapi_h,Locale_MainScenario:event_footstepwalkrun1_02_e_15,True,,rapiwalk_01,rapiwalk_02,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_16,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_16,False,,rapiwalk_02,rapiwalk_02,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_17,40066,event_footstepwalkrun1_02_e,Speech,rapi_h,rapi_h,Locale_MainScenario:event_footstepwalkrun1_02_e_17,True,,rapiwalk_02,rapiwalk_02,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_18,40066,event_footstepwalkrun1_02_e,Speech,rapi_h,rapi_h,Locale_MainScenario:event_footstepwalkrun1_02_e_18,True,,rapiwalk_02,rapiwalk_02,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_19,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_19,False,,rapiwalk_02,rapiwalk_02,1.0,,,,,,,,,,
event_footstepwalkrun1_02_e_20,40066,event_footstepwalkrun1_02_e,Narration,,,Locale_MainScenario:event_footstepwalkrun1_02_e_20,False,,rapiwalk_02,rapiwalk_01,1.0,,,,,,,,,,
