id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,jump_target
d_ex_seayouagain_17_1,80600,d_ex_seayouagain_17,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_17_1,False,helm_s,1,idle,Beach_n,17,17,1.0,sfx_scn_splash,bgm_story_voicesofthesea,,
d_ex_seayouagain_17_2,80600,d_ex_seayouagain_17,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_17_2,False,,1,idle,,17,17,1.0,,,,
d_ex_seayouagain_17_3,80600,d_ex_seayouagain_17,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_17_3,False,,1,idle,,17,1,1.0,sfx_scn_splash,,,
d_ex_seayouagain_17_4,80600,d_ex_seayouagain_17,Self,Self,Locale_SuddenStory:d_ex_seayouagain_17_4,False,,1,idle,,1,1,1.0,,,,
d_ex_seayouagain_17_5,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_5,True,,1,surprise,,1,10,0.7,,,helm_s,
d_ex_seayouagain_17_6,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_6,True,,1,surprise,,10,10,1.0,,,helm_s,
d_ex_seayouagain_17_7,80600,d_ex_seayouagain_17,Choice,,Locale_SuddenStory:d_ex_seayouagain_17_7,False,,1,surprise,,10,10,1.0,,,,d_ex_seayouagain_17_9
d_ex_seayouagain_17_8,80600,d_ex_seayouagain_17,Choice,,Locale_SuddenStory:d_ex_seayouagain_17_8,False,,1,surprise,,10,10,1.0,,,,d_ex_seayouagain_17_11
d_ex_seayouagain_17_9,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_9,True,,1,sad,,10,10,1.0,,,helm_s,
d_ex_seayouagain_17_10,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_10,True,,1,sad,,10,10,1.0,,,helm_s,d_ex_seayouagain_17_14
d_ex_seayouagain_17_11,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_11,True,,1,sad,,10,10,1.0,,,helm_s,
d_ex_seayouagain_17_12,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_12,True,,1,sad,,10,10,1.0,,,helm_s,
d_ex_seayouagain_17_13,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_13,True,,1,sad,,10,10,1.0,,,helm_s,
d_ex_seayouagain_17_14,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_14,True,,1,sad,,10,10,1.0,,,helm_s,
d_ex_seayouagain_17_15,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_15,True,,1,sad,,10,10,1.0,,,helm_s,
d_ex_seayouagain_17_16,80600,d_ex_seayouagain_17,Self,Self,Locale_SuddenStory:d_ex_seayouagain_17_16,False,,1,sad,,10,10,1.0,,,,
d_ex_seayouagain_17_17,80600,d_ex_seayouagain_17,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_17_17,False,,1,sad,,10,10,1.0,sfx_scn_wavebreak,,,
d_ex_seayouagain_17_18,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_18,True,,1,sad,,10,10,1.0,,,helm_s,
d_ex_seayouagain_17_19,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_19,True,,1,delight,,10,100,1.0,,,helm_s,
d_ex_seayouagain_17_20,80600,d_ex_seayouagain_17,Self,Self,Locale_SuddenStory:d_ex_seayouagain_17_20,False,,1,delight,,100,100,1.0,,,,
d_ex_seayouagain_17_21,80600,d_ex_seayouagain_17,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_17_21,False,,1,sad,,100,10,1.0,,,,
d_ex_seayouagain_17_22,80600,d_ex_seayouagain_17,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_17_22,False,,1,sad,,10,10,1.0,,,,
d_ex_seayouagain_17_23,80600,d_ex_seayouagain_17,Choice,,Locale_SuddenStory:d_ex_seayouagain_17_23,False,,1,sad,,10,10,1.0,,,,d_ex_seayouagain_17_25
d_ex_seayouagain_17_24,80600,d_ex_seayouagain_17,Choice,,Locale_SuddenStory:d_ex_seayouagain_17_24,False,,1,sad,,10,10,1.0,,,,d_ex_seayouagain_17_27
d_ex_seayouagain_17_25,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_25,False,,1,surprise,,10,10,1.0,,,helm_s,
d_ex_seayouagain_17_26,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_26,True,,1,sad,,10,10,1.0,,,helm_s,d_ex_seayouagain_17_28
d_ex_seayouagain_17_27,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_27,True,,1,sad,,10,10,1.0,,,helm_s,
d_ex_seayouagain_17_28,80600,d_ex_seayouagain_17,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_17_28,False,,1,sad,,10,10,1.0,,,,
d_ex_seayouagain_17_29,80600,d_ex_seayouagain_17,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_17_29,False,,1,sad,,10,19,0.7,sfx_scn_splash,,,
