id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
re_event_ce02_3_01_e_1,40082,re_event_ce02_3_01_e,Narration,Locale_SubScenario:event_ce02_3_01_e_1,False,Factory,black,black,1.0,sfx_scn_rapturelanding,event_bgm_ce002_story_3,,,product12,13,idle,ce_02_02,1,idle
re_event_ce02_3_01_e_2,40082,re_event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_2,True,,12,12,1.0,,,product12,product12,,13,idle,,1,idle
re_event_ce02_3_01_e_3,40082,re_event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_3,True,,12,12,1.0,,,ce_02_02,ce_02_02,,13,idle,,1,idle
re_event_ce02_3_01_e_4,40082,re_event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_4,True,,12,130,1.0,,,product12,product12,,13,idle,,1,idle
re_event_ce02_3_01_e_5,40082,re_event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_5,True,,130,130,1.0,,,product12,product12,,13,idle,,1,idle
re_event_ce02_3_01_e_6,40082,re_event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_6,True,,130,130,1.0,,,product12,product12,,13,idle,,1,idle
re_event_ce02_3_01_e_7,40082,re_event_ce02_3_01_e,Narration,Locale_SubScenario:event_ce02_3_01_e_7,False,,130,16,1.0,,,,,,13,idle,,1,idle
re_event_ce02_3_01_e_8,40082,re_event_ce02_3_01_e,Monologue,Locale_SubScenario:event_ce02_3_01_e_8,False,,16,16,1.0,,,,,,13,idle,,1,idle
re_event_ce02_3_01_e_9,40082,re_event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_9,True,,16,12,1.0,,,ce_02_02,ce_02_02,,13,idle,,1,think
re_event_ce02_3_01_e_10,40082,re_event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_10,True,,12,12,1.0,,,product12,product12,,13,idle,,1,think
re_event_ce02_3_01_e_11,40082,re_event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_11,True,,12,12,1.0,,,ce_02_02,ce_02_02,,13,idle,,1,idle
