id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,is_exit_scenario,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_ambient,fade,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
snowfall_global_02_default_1,80903,snowfall_global_02,Narration,Locale_SubScenario:snowfall_global_00_1,False,BambooForest_d,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,
snowfall_global_02_default_2,80903,snowfall_global_02,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,snowfall_global_02_1,,,,,,,,,,,,,,,,,,,,
snowfall_global_02_default_3,80903,snowfall_global_02,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,True,,,,,,,,,,,,,,,,,,,
snowfall_global_02_1,80903,snowfall_global_02,Speech,Locale_SubScenario:snowfall_global_02_1,True,,3,3,1.0,event_bgm_neverland_snowflakes_day,,,ludmilla_w,ludmilla_w,ludmilla_w,3,idle,mica_w,1,idle,noir_c,7,idle,blanc_c,5,idle,amb_so_bambooforest_1,white,,,
snowfall_global_02_2,80903,snowfall_global_02,Speech,Locale_SubScenario:snowfall_global_02_2,True,,3,3,1.0,,,,ludmilla_w,ludmilla_w,,3,idle,,1,idle,,7,idle,,5,idle,,,,,
snowfall_global_02_3,80903,snowfall_global_02,Monologue,Locale_SubScenario:snowfall_global_02_3,False,,3,16,1.0,,,,ludmilla_w,,,3,idle,,1,idle,,7,idle,,5,idle,,,,,
snowfall_global_02_4,80903,snowfall_global_02,Monologue,Locale_SubScenario:snowfall_global_02_4,False,,16,16,1.0,,,,ludmilla_w,,,3,idle,,1,idle,,7,idle,,5,idle,,,,,
snowfall_global_02_5,80903,snowfall_global_02,Monologue,Locale_SubScenario:snowfall_global_02_5,False,,16,16,1.0,,,,ludmilla_w,,,3,idle,,1,idle,,7,idle,,5,idle,,,,,
snowfall_global_02_6,80903,snowfall_global_02,Speech,Locale_SubScenario:snowfall_global_02_6,True,,2,2,1.0,,,,mica_w,mica_w,,3,idle,,1,idle,,7,idle,,5,idle,,,emma,13,idle
snowfall_global_02_7,80903,snowfall_global_02,Speech,Locale_SubScenario:snowfall_global_02_7,True,,2,2,1.0,,,,ludmilla_w,ludmilla_w,,3,idle,,1,idle,,7,idle,,5,idle,,,,13,idle
snowfall_global_02_8,80903,snowfall_global_02,Speech,Locale_SubScenario:snowfall_global_02_8,True,,2,2,1.0,,,,mica_w,mica_w,,3,idle,,1,idle,,7,idle,,5,idle,,,,13,idle
