id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,speaker,fade,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/0/hide_char_id
event_newyearnewsword_02_e_1,40036,event_newyearnewsword_02_e,Monologue,Locale_SubScenario:event_newyearnewsword_02_e_1,False,hongryeon_o,1,think,janghwa,13,void,nearbattlenikke1,15,idle,nearbattlenikke2,17,idle,nearbattlenikke3,3,idle,nearbattlenikke4,5,idle,nearbattlenikke5,7,idle,MachineRoom,black,black,1.0,none,,,,,,,,,,,,
event_newyearnewsword_02_e_2,40036,event_newyearnewsword_02_e,Narration,Locale_SubScenario:event_newyearnewsword_02_e_2,False,,1,think,,13,void,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,15,12,2.0,bgm_intotheswarm,sfx_scn_poclain,Low_2,,,,,,,,,,
event_newyearnewsword_02_e_3,40036,event_newyearnewsword_02_e,Monologue,Locale_SubScenario:event_newyearnewsword_02_e_3,False,,1,think,,13,void,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,12,12,1.0,,,,,,,,,,,,,
event_newyearnewsword_02_e_4,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_4,False,,1,think,,13,void,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,12,S_10,1.0,,,,hongryeon_o,hongryeon_o,,,,,,,,
event_newyearnewsword_02_e_5,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_5,True,,1,think,,13,void,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,S_10,S_130,1.0,,,,janghwa,janghwa,,,,,,,,
event_newyearnewsword_02_e_6,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_6,True,,1,idle,,13,void,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,S_10,S_10,1.0,,,,hongryeon_o,hongryeon_o,,,,,,,,
event_newyearnewsword_02_e_7,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_7,True,,1,idle,,13,idle,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,S_130,S_130,1.0,,,,janghwa,janghwa,,,,,,,,
event_newyearnewsword_02_e_8,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_8,True,,1,idle,,13,idle,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,S_130,S_130,1.0,,,,janghwa,janghwa,,,,,,,,
event_newyearnewsword_02_e_9,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_9,True,,1,think,,13,idle,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,S_130,12,1.0,,,,hongryeon_o,hongryeon_o,,,,,,,,
event_newyearnewsword_02_e_10,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_10,True,,1,think,,13,idle,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,12,12,1.0,,,,hongryeon_o,hongryeon_o,,,,,,,,
event_newyearnewsword_02_e_11,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_11,True,,1,think,,13,special,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,12,12,1.0,,,,janghwa,janghwa,,,,,,,,
event_newyearnewsword_02_e_12,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_12,True,,1,think,,13,idle,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,12,12,1.0,,,,janghwa,janghwa,,,,,,,,
event_newyearnewsword_02_e_13,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_13,False,,1,think,,13,idle,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,12,12,1.0,,,,hongryeon_o,hongryeon_o,,,,,,,,
event_newyearnewsword_02_e_14,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_14,False,,1,think,,13,idle,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,12,12,1.0,,,,janghwa,janghwa,,,,,,,,
event_newyearnewsword_02_e_15,40036,event_newyearnewsword_02_e,Speech,Locale_SubScenario:event_newyearnewsword_02_e_15,True,,1,idle,,13,idle,,15,idle,,17,idle,,3,idle,,5,idle,,7,idle,,12,12,1.0,,,,janghwa,janghwa,,,,,,,,
