id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_camera_shake,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_queensorder_02_e_1,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_1,True,Elevator,1,1,1.0,bgm_story_fairytalesend_if,,,,,rosanna,1,idle
event_queensorder_02_e_2,40015,event_queensorder_02_e,Self,,,Locale_SubScenario:event_queensorder_02_e_2,False,,1,1,1.0,,,,,,,1,idle
event_queensorder_02_e_3,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_3,True,,1,10,1.0,,,,,,,1,idle
event_queensorder_02_e_4,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_4,True,,10,10,1.0,,,,,,,1,idle
event_queensorder_02_e_5,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_5,True,,10,10,1.0,,,,,,,1,idle
event_queensorder_02_e_6,40015,event_queensorder_02_e,Self,,,Locale_SubScenario:event_queensorder_02_e_6,False,,10,10,1.0,,,,,,,1,idle
event_queensorder_02_e_7,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_7,True,,10,10,1.0,,,,,,,1,idle
event_queensorder_02_e_8,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_8,True,,10,10,1.0,,,,,,,1,idle
event_queensorder_02_e_9,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_9,True,,10,10,1.0,,,,,,,1,idle
event_queensorder_02_e_10,40015,event_queensorder_02_e,Self,,,Locale_SubScenario:event_queensorder_02_e_10,False,,10,10,1.0,,,,,,,1,idle
event_queensorder_02_e_11,40015,event_queensorder_02_e,Choice,,,Locale_SubScenario:event_queensorder_02_e_11,False,,10,10,1.0,,event_queensorder_02_e_14,,,,,1,idle
event_queensorder_02_e_12,40015,event_queensorder_02_e,Choice,,,Locale_SubScenario:event_queensorder_02_e_12,False,,10,10,1.0,,event_queensorder_02_e_17,,,,,1,idle
event_queensorder_02_e_13,40015,event_queensorder_02_e,Choice,,,Locale_SubScenario:event_queensorder_02_e_13,False,,10,10,1.0,,event_queensorder_02_e_20,,,,,1,idle
event_queensorder_02_e_14,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_14,True,,10,10,1.0,,,,,,,1,good
event_queensorder_02_e_15,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_15,True,,10,10,1.0,,,,,,,1,good
event_queensorder_02_e_16,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_16,True,,10,10,1.0,,event_queensorder_02_e_23,,,,,1,good
event_queensorder_02_e_17,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_17,True,,10,10,1.0,,,,,,,1,idle
event_queensorder_02_e_18,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_18,True,,10,10,1.0,,,,,,,1,good
event_queensorder_02_e_19,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_19,True,,10,10,1.0,,event_queensorder_02_e_23,,,,,1,good
event_queensorder_02_e_20,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_20,True,,10,10,1.0,,,,,,,1,good
event_queensorder_02_e_21,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_21,True,,10,10,1.0,,,,,,,1,good
event_queensorder_02_e_22,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_22,True,,10,10,1.0,,event_queensorder_02_e_23,,,,,1,good
event_queensorder_02_e_23,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_23,True,,10,1,1.0,,,,,,,1,idle
event_queensorder_02_e_24,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_24,True,,1,1,1.0,,,,,,,1,idle
event_queensorder_02_e_25,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_25,True,,1,1,1.0,,,,,,,1,idle
event_queensorder_02_e_26,40015,event_queensorder_02_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_02_e_26,True,,1,1,1.0,,,,,,,1,idle
