id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_seayouagain1_01_s_1,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_1,False,CommanderRoom,1,1,1.0,bgm_story_backtonormal,,,,,,,,,
event_seayouagain1_01_s_2,40024,event_seayouagain1_01_s,Self,Locale_MainScenario:event_seayouagain1_01_s_2,False,,1,1,1.0,,,,,,,,,,
event_seayouagain1_01_s_3,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_3,False,,1,1,1.0,,,,,,,,,,
event_seayouagain1_01_s_4,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_4,False,,1,1,1.0,,,,,,,,,,
event_seayouagain1_01_s_5,40024,event_seayouagain1_01_s,Self,Locale_MainScenario:event_seayouagain1_01_s_5,False,,1,1,1.0,,,,,,,,,,
event_seayouagain1_01_s_6,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_6,False,,1,1,1.0,,,,,,,,,,
event_seayouagain1_01_s_7,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_7,False,,1,1,1.0,,,,,,,,,,
event_seayouagain1_01_s_8,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_8,False,,1,1,1.0,,,,,,,,,,
event_seayouagain1_01_s_9,40024,event_seayouagain1_01_s,Narration,Locale_MainScenario:event_seayouagain1_01_s_9,False,,1,1,1.0,none,m_event_seayouagain1_01_s_01,sfx_scn_phonevibration,,,,,,,
event_seayouagain1_01_s_10,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_10,False,Corridor,black,black,1.0,,,,,,,,,,
event_seayouagain1_01_s_11,40024,event_seayouagain1_01_s,Narration,Locale_MainScenario:event_seayouagain1_01_s_11,False,,7,7,1.0,,,sfx_scn_knock,black,,,,,,
event_seayouagain1_01_s_12,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_12,True,,7,7,1.0,,,,,andersen,andersen,,,,
event_seayouagain1_01_s_13,40024,event_seayouagain1_01_s,Narration,Locale_MainScenario:event_seayouagain1_01_s_13,False,Office,7,1,1.0,,,sfx_scn_autodooropen,,,,andersen,1,idle,
event_seayouagain1_01_s_14,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_14,True,,1,1,1.0,bgm_story_fairytalesend_if,,,,andersen,andersen,,1,idle,
