id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,jump_target,characters/3/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
event_exnii2_01_s_1,40071,event_exnii2_01_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii2_01_s_1,True,rapi,7,idle,anis,5,idle,neon,3,idle,helm,1,idle,anchor,13,idle,mast,15,idle2,ce005_01,17,idle,EzsUp,6,6,1.0,bgm_story_leisuretime,,,,,,,,,,,
event_exnii2_01_s_2,40071,event_exnii2_01_s,Speech,anis,anis,Locale_SubScenario:event_exnii2_01_s_2,True,,7,idle,,5,delight,,3,idle,,1,idle,,13,idle,,15,idle2,,17,idle,,6,6,1.0,,,,,,,,,,,,
event_exnii2_01_s_3,40071,event_exnii2_01_s,Speech,neon,neon,Locale_SubScenario:event_exnii2_01_s_3,True,,7,idle,,5,delight,,3,delight,,1,idle,,13,idle,,15,idle2,,17,idle,,6,event_exnii_talk_06,1.0,,,,,,,,,,,,
event_exnii2_01_s_4,40071,event_exnii2_01_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_01_s_4,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle2,,17,idle,,event_exnii_talk_06,event_exnii_talk_06,1.0,,,,,,,,,,,,
event_exnii2_01_s_5,40071,event_exnii2_01_s,Speech,anchor,anchor,Locale_SubScenario:event_exnii2_01_s_5,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle2,,17,idle,,event_exnii_talk_06,event_exnii_talk_10,1.0,,,,,,,,,,,,
event_exnii2_01_s_6,40071,event_exnii2_01_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_01_s_6,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle2,,17,idle,,event_exnii_talk_10,event_exnii_talk_10,1.0,,,,,,,,,,,,
event_exnii2_01_s_7,40071,event_exnii2_01_s,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii2_01_s_7,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle2,,17,surprise,,event_exnii_talk_10,16,1.0,,,,,,,,,,,,
event_exnii2_01_s_8,40071,event_exnii2_01_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_01_s_8,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight2,,17,surprise,,16,16,1.0,,,,,,,,,,,,
event_exnii2_01_s_9,40071,event_exnii2_01_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_01_s_9,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight2,,17,surprise,,16,16,1.0,,,,,,,,,,,,
event_exnii2_01_s_10,40071,event_exnii2_01_s,Narration,mast,,Locale_SubScenario:event_exnii2_01_s_10,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,idle,,16,16,1.0,,sfx_scn_fishing,Low_2,white,,,,,,,,
