id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,play_sound,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/0/hide_char_id,fade,jump_target
event_secretgarden_06_s_1,40063,event_secretgarden_06_s,Narration,Locale_SubScenario:event_secretgarden_06_s_1,False,Park,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_2,40063,event_secretgarden_06_s,Monologue,Locale_SubScenario:event_secretgarden_06_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_3,40063,event_secretgarden_06_s,Self,Locale_SubScenario:event_secretgarden_06_s_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_4,40063,event_secretgarden_06_s,Monologue,Locale_SubScenario:event_secretgarden_06_s_4,False,,1,100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_5,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_5,True,,100,1500,1.0,event_bgm_neverland_hugme_day,hairpinwoman,hairpinwoman,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_6,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_6,True,,1500,1500,1.0,,hairpinwoman,hairpinwoman,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_7,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_7,True,,1500,1500,1.0,,glasseswoman,glasseswoman,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_8,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_8,True,,1500,150,1.0,,glasseswoman,glasseswoman,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_9,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_9,True,,150,130,1.0,,cameraman,cameraman,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_10,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_10,True,,130,130,1.0,,cameraman,cameraman,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_11,40063,event_secretgarden_06_s,Monologue,Locale_SubScenario:event_secretgarden_06_s_11,False,,black,black,1.0,,flora,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_12,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_12,True,,300,30,1.0,,flora,flora,flora,3,delight,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_13,40063,event_secretgarden_06_s,Self,Locale_SubScenario:event_secretgarden_06_s_13,False,,30,30,1.0,,flora,,,3,delight,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_14,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_14,True,,30,30,1.0,,flora,flora,,3,delight,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_15,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_15,True,,30,30,1.0,,flora,flora,,3,delight,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_16,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_16,True,,30,30,1.0,,flora,flora,,3,delight,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_17,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_17,True,,30,30,1.0,,flora,flora,,3,delight,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_18,40063,event_secretgarden_06_s,Self,Locale_SubScenario:event_secretgarden_06_s_18,False,,30,30,1.0,,flora,,,3,delight,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_s_19,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_19,True,,30,XS_10,1.0,,biscuit,biscuit,,3,delight,biscuit,1,idle,nero,13,idle,leona_no,15,idle,timi,17,idle,,,,,,,,
event_secretgarden_06_s_20,40063,event_secretgarden_06_s,Monologue,Locale_SubScenario:event_secretgarden_06_s_20,False,,XS_10,XS_10,1.0,,biscuit,,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,sfx_scn_footstepmany,,,,,,,
event_secretgarden_06_s_21,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_21,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_secretgarden_06_s_22,40063,event_secretgarden_06_s,Self,Locale_SubScenario:event_secretgarden_06_s_22,False,,XS_10,XS_10,1.0,,biscuit,,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_secretgarden_06_s_23,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_23,True,,Leo_150,Leo_150,1.0,,leona_no,leona_no,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_secretgarden_06_s_24,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_24,True,,Leo_150,Leo_150,1.0,,leona_no,leona_no,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_secretgarden_06_s_25,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_25,True,,Leo_150,L_130,1.0,,nero,nero,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_secretgarden_06_s_26,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_26,True,,L_130,XS_10,1.0,,biscuit,biscuit,,3,delight,,1,delight,,13,idle,,15,idle,,17,idle,,,,,,,,
event_secretgarden_06_s_27,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_27,True,,XS_10,31,1.0,,biscuit,biscuit,,3,delight,,1,delight,,13,idle,,15,idle,,17,idle,,,,,,,,
event_secretgarden_06_s_28,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_28,True,,31,31,1.0,,flora,flora,,3,delight,,1,delight,,13,idle,,15,idle,,17,idle,,,,,,,,
event_secretgarden_06_s_29,40063,event_secretgarden_06_s,Speech,Locale_SubScenario:event_secretgarden_06_s_29,True,,31,31,1.0,,biscuit,biscuit,,3,delight,,1,sad,,13,idle,,15,idle,,17,idle,,,,,,,,
