id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/2/hide_char_id,characters/3/hide_char_id,play_sound
event_onemoretime_02_e_1,40044,event_onemoretime_02_e,Self,clay,Locale_SubScenario:event_onemoretime_02_e_1,False,bay,1,idle,clay,3,idle,OutpostOut,2,2,1.0,none,,,,,,,,,,,,
event_onemoretime_02_e_2,40044,event_onemoretime_02_e,Speech,clay,Locale_SubScenario:event_onemoretime_02_e_2,True,,1,idle,,3,delight,,2,30,1.0,bgm_story_epicjazzymoods,clay,,,,,,,,,,,
event_onemoretime_02_e_3,40044,event_onemoretime_02_e,Speech,clay,Locale_SubScenario:event_onemoretime_02_e_3,True,,1,idle,,3,idle,,30,30,1.0,,clay,,,,,,,,,,,
event_onemoretime_02_e_4,40044,event_onemoretime_02_e,Speech,clay,Locale_SubScenario:event_onemoretime_02_e_4,True,,1,idle,,3,special,,30,30,1.0,,clay,,,,,,,,,,,
event_onemoretime_02_e_5,40044,event_onemoretime_02_e,Speech,bay,Locale_SubScenario:event_onemoretime_02_e_5,True,,1,idle,,3,special,,30,10,1.0,,bay,,,,,,,,,,,
event_onemoretime_02_e_6,40044,event_onemoretime_02_e,Self,bay,Locale_SubScenario:event_onemoretime_02_e_6,False,,1,idle,,3,special,,10,10,1.0,,,,,,,,,,,,,
event_onemoretime_02_e_7,40044,event_onemoretime_02_e,Speech,bay,Locale_SubScenario:event_onemoretime_02_e_7,True,,1,worry,,3,idle,,10,10,1.0,,bay,,,,,,,,,,,
event_onemoretime_02_e_8,40044,event_onemoretime_02_e,Speech,bay,Locale_SubScenario:event_onemoretime_02_e_8,True,,1,worry,,3,idle,,10,10,1.0,,bay,,,,,,,,,,,
event_onemoretime_02_e_9,40044,event_onemoretime_02_e,Self,bay,Locale_SubScenario:event_onemoretime_02_e_9,False,,1,worry,,3,idle,,10,10,1.0,,,,,,,,,,,,,
event_onemoretime_02_e_10,40044,event_onemoretime_02_e,Speech,bay,Locale_SubScenario:event_onemoretime_02_e_10,True,,1,worry,,3,idle,,10,10,1.0,,bay,,,,,,,,,,,
event_onemoretime_02_e_11,40044,event_onemoretime_02_e,Speech,bay,Locale_SubScenario:event_onemoretime_02_e_11,True,,1,sad,,3,idle,,10,10,1.0,,bay,,,,,,,,,,,
event_onemoretime_02_e_12,40044,event_onemoretime_02_e,Speech,bay,Locale_SubScenario:event_onemoretime_02_e_12,True,,1,sad,,3,idle,,10,10,1.0,,bay,,,,,,,,,,,
