id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,jump_target,characters/3/hide_char_id
event_bluewaterisland2_intermission_01_1,40021,event_bluewaterisland2_intermission_01,Narration,Narration,Locale_SubScenario:event_bluewaterisland2_intermission_01_1,False,LogHouseOut_s,black,black,1.0,bgm_story_girlstalk,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_intermission_01_2,40021,event_bluewaterisland2_intermission_01,Speech,liter_s,Locale_SubScenario:event_bluewaterisland2_intermission_01_2,True,,XS_20,XS_20,1.0,,liter_s,pepper_s,8,idle,yan_s,6,idle,liter_s,2,delight,mary_s,12,think,neon_s,15,idle,frima_s,4,idle,,,
event_bluewaterisland2_intermission_01_3,40021,event_bluewaterisland2_intermission_01,Speech,liter_s,Locale_SubScenario:event_bluewaterisland2_intermission_01_3,True,,XS_20,XS_20,1.0,,liter_s,,8,idle,,6,idle,,2,delight,,12,think,,15,idle,,4,idle,,,
event_bluewaterisland2_intermission_01_4,40021,event_bluewaterisland2_intermission_01,Speech,liter_s,Locale_SubScenario:event_bluewaterisland2_intermission_01_4,True,,XS_20,XS_20,1.0,,liter_s,,8,idle,,6,idle,,2,delight,,12,think,,15,idle,,4,idle,,,
event_bluewaterisland2_intermission_01_5,40021,event_bluewaterisland2_intermission_01,Speech,volt,Locale_SubScenario:event_bluewaterisland2_intermission_01_5,True,,XS_20,XS_20,1.0,,volt,,8,idle,,6,idle,,2,delight,,12,think,,15,idle,,4,idle,sfx_scn_dogbark,,
event_bluewaterisland2_intermission_01_6,40021,event_bluewaterisland2_intermission_01,Speech,frima_s,Locale_SubScenario:event_bluewaterisland2_intermission_01_6,True,,XS_20,3,1.0,,frima_s,,8,idle,,6,idle,,2,delight,,12,think,,15,idle,,4,idle,,,
event_bluewaterisland2_intermission_01_7,40021,event_bluewaterisland2_intermission_01,Speech,liter_s,Locale_SubScenario:event_bluewaterisland2_intermission_01_7,True,,3,3,1.0,,liter_s,,8,idle,,6,idle,,2,angry,,12,think,,15,idle,,4,idle,,,
event_bluewaterisland2_intermission_01_8,40021,event_bluewaterisland2_intermission_01,Speech,frima_s,Locale_SubScenario:event_bluewaterisland2_intermission_01_8,True,,3,40,0.3,,frima_s,,8,idle,,6,idle,,2,angry,,12,think,,15,idle,,4,idle,,,
event_bluewaterisland2_intermission_01_9,40021,event_bluewaterisland2_intermission_01,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_intermission_01_9,True,,S_60,S_60,1.0,,yan_s,,8,idle,,6,idle,,2,idle,,12,think,,15,idle,,4,idle,,,
event_bluewaterisland2_intermission_01_10,40021,event_bluewaterisland2_intermission_01,Speech,pepper_s,Locale_SubScenario:event_bluewaterisland2_intermission_01_10,True,,XS_80,XS_80,1.0,,pepper_s,,8,idle,,6,idle,,2,idle,,12,think,,15,idle,,4,idle,,,
