id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_sound
event_outofuniform_04_1,130006,event_outofuniform_04,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_04_1,True,naga_k,14,idle,ein_k,2,surprise,zwei_k,12,idle,Station,20,20,1.0,bgm_story_apricot,,,,,
event_outofuniform_04_2,130006,event_outofuniform_04,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_04_2,True,,14,idle,,2,shy,,12,idle,,20,20,1.0,,,,,,
event_outofuniform_04_3,130006,event_outofuniform_04,Speech,diesel_d,diesel_d,Locale_SubScenario:event_outofuniform_04_3,True,,14,idle,,2,shy,,12,idle,,20,3,1.0,,diesel_d,4,delight,,
event_outofuniform_04_4,130006,event_outofuniform_04,Speech,diesel_d,diesel_d,Locale_SubScenario:event_outofuniform_04_4,True,,14,idle,,2,shy,,12,idle,,3,3,1.0,,,4,idle,,
event_outofuniform_04_5,130006,event_outofuniform_04,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_04_5,True,,14,delight,,2,delight,,12,idle,,L_140,L_140,1.0,,,4,idle,,
event_outofuniform_04_6,130006,event_outofuniform_04,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_04_6,True,,14,delight,,2,delight,,12,idle,,L_140,L_140,1.0,,,4,idle,,
event_outofuniform_04_7,130006,event_outofuniform_04,Speech,diesel_d,diesel_d,Locale_SubScenario:event_outofuniform_04_7,True,,14,delight,,2,delight,,12,idle,,40,40,1.0,,,4,idle,,
event_outofuniform_04_8,130006,event_outofuniform_04,Speech,diesel_d,diesel_d,Locale_SubScenario:event_outofuniform_04_8,True,,14,delight,,2,delight,,12,idle,,40,40,1.0,,,4,idle,,
event_outofuniform_04_9,130006,event_outofuniform_04,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_04_9,True,,14,idle,,2,delight,,12,idle,,1,1,1.0,,,4,idle,,
event_outofuniform_04_10,130006,event_outofuniform_04,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_04_10,True,,14,idle,,2,delight,,12,idle,,1,1,1.0,,,4,idle,,
