id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,jump_target,is_exit_scenario,characters/0/hide_char_id,fade
snowfall_episode_mica_01_1,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_1,False,WaterFall_d,6,6,1.0,amb_so_waterfall_1,event_bgm_neverland_snowflakes_day,,,,,,,,,,
snowfall_episode_mica_01_2,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_2,False,,6,6,1.0,,,,,,,,,,,,
snowfall_episode_mica_01_3,80903,snowfall_episode_mica_01,Monologue,Locale_SubScenario:snowfall_episode_mica_01_3,False,,6,6,1.0,,,,,,,,,,,,
snowfall_episode_mica_01_4,80903,snowfall_episode_mica_01,Narration,Locale_SubScenario:snowfall_episode_mica_01_4,False,,6,6,1.0,,,sfx_scn_1skippingstones,,,,,,,,,
snowfall_episode_mica_01_5,80903,snowfall_episode_mica_01,Narration,Locale_SubScenario:snowfall_episode_mica_01_5,False,,6,6,1.0,,,sfx_scn_1skippingstones,,,,,,,,,
snowfall_episode_mica_01_6,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_6,False,,6,6,1.0,,,,,,,,,,,,
snowfall_episode_mica_01_7,80903,snowfall_episode_mica_01,Monologue,Locale_SubScenario:snowfall_episode_mica_01_7,False,,6,1,1.0,,,,,,,,,,,,
snowfall_episode_mica_01_8,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_8,False,,1,1,1.0,,,,,,,,,,,,
snowfall_episode_mica_01_9,80903,snowfall_episode_mica_01,Monologue,Locale_SubScenario:snowfall_episode_mica_01_9,False,,1,1,1.0,,,,,,,,,,,,
snowfall_episode_mica_01_10,80903,snowfall_episode_mica_01,Narration,Locale_SubScenario:snowfall_episode_mica_01_10,False,,1,S_10,1.0,,,sfx_scn_waterstonefall,mica_w,mica_w,1,no,,,,,
snowfall_episode_mica_01_11,80903,snowfall_episode_mica_01,Narration,Locale_SubScenario:snowfall_episode_mica_01_11,False,,S_10,S_10,1.0,,,sfx_scn_1skippingstones,mica_w,,1,no,,,,,
snowfall_episode_mica_01_12,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_12,True,,S_10,S_10,1.0,,,,mica_w,,1,cry,mica_w,,,,
snowfall_episode_mica_01_13,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_13,True,,S_10,S_10,1.0,,,,mica_w,,1,cry,mica_w,,,,
snowfall_episode_mica_01_14,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_14,True,,S_10,S_10,1.0,,,,mica_w,,1,no,mica_w,,,,
snowfall_episode_mica_01_15,80903,snowfall_episode_mica_01,Monologue,Locale_SubScenario:snowfall_episode_mica_01_15,False,,S_10,S_10,1.0,,,,mica_w,,1,no,,,,,
snowfall_episode_mica_01_16,80903,snowfall_episode_mica_01,Choice,Locale_SubScenario:snowfall_episode_mica_01_16,False,,S_10,S_10,1.0,,,,mica_w,,1,no,,snowfall_episode_mica_01_18,,,
snowfall_episode_mica_01_17,80903,snowfall_episode_mica_01,Choice,Locale_SubScenario:snowfall_episode_mica_01_17,False,,S_10,S_10,1.0,,,,mica_w,,1,no,,snowfall_episode_mica_01_19,,,
snowfall_episode_mica_01_18,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_18,False,,S_10,S_10,1.0,,,,mica_w,,1,no,,snowfall_episode_mica_01_20,,,
snowfall_episode_mica_01_19,80903,snowfall_episode_mica_01,Monologue,Locale_SubScenario:snowfall_episode_mica_01_19,False,,black,black,1.0,,,,mica_w,,1,no,,,True,,
snowfall_episode_mica_01_20,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_20,True,,S_10,S_10,1.0,,,,mica_w,,1,surprise,mica_w,,,,
snowfall_episode_mica_01_21,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_21,False,,S_10,S_10,1.0,,,,mica_w,,1,surprise,,,,,
snowfall_episode_mica_01_22,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_22,True,,S_10,S_10,1.0,,,,mica_w,,1,idle,mica_w,,,,
snowfall_episode_mica_01_23,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_23,False,,S_10,S_10,1.0,,,,mica_w,,1,idle,,,,,
snowfall_episode_mica_01_24,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_24,True,,S_10,S_10,1.0,,,,mica_w,,1,idle,mica_w,,,,
snowfall_episode_mica_01_25,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_25,True,,S_10,S_10,1.0,,,,mica_w,,1,idle,mica_w,,,,
snowfall_episode_mica_01_26,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_26,True,,S_10,S_10,1.0,,,,mica_w,,1,idle,mica_w,,,,
snowfall_episode_mica_01_27,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_27,True,,S_10,S_10,1.0,,,,mica_w,,1,idle,mica_w,,,,
snowfall_episode_mica_01_28,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_28,False,,S_10,S_10,1.0,,,,mica_w,,1,idle,,,,,
snowfall_episode_mica_01_29,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_29,True,,S_10,S_10,1.0,,,,mica_w,,1,cry,mica_w,,,,
snowfall_episode_mica_01_30,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_30,True,,S_10,S_10,1.0,,,,mica_w,,1,cry,mica_w,,,,
snowfall_episode_mica_01_31,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_31,True,,S_10,S_10,1.0,,,,mica_w,,1,cry,mica_w,,,,
snowfall_episode_mica_01_32,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_32,True,,S_10,S_10,1.0,,,,mica_w,,1,cry,mica_w,,,,
snowfall_episode_mica_01_33,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_33,False,,S_10,S_10,1.0,,,,mica_w,,1,cry,,,,,
snowfall_episode_mica_01_34,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_34,False,,S_10,S_10,1.0,,,,mica_w,,1,cry,,,,,
snowfall_episode_mica_01_35,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_35,True,,S_10,S_10,1.0,,,,mica_w,,1,idle,mica_w,,,,
snowfall_episode_mica_01_36,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_36,True,,S_10,S_10,1.0,,,,mica_w,,1,idle,mica_w,,,,
snowfall_episode_mica_01_37,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_37,True,,S_10,S_10,1.0,,,,mica_w,,1,idle,mica_w,,,,
snowfall_episode_mica_01_38,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_38,False,,S_10,S_10,1.0,,,,mica_w,,1,idle,,,,,
snowfall_episode_mica_01_39,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_39,False,,S_10,S_10,1.0,,,,mica_w,,1,idle,,,,,
snowfall_episode_mica_01_40,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_40,True,,S_10,S_10,1.0,,,,mica_w,,1,delight,mica_w,,,,
snowfall_episode_mica_01_41,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_41,True,,S_10,S_10,1.0,,,,mica_w,,1,delight,mica_w,,,,
snowfall_episode_mica_01_42,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_42,True,,S_10,S_10,1.0,,,,mica_w,,1,delight,mica_w,,,,
snowfall_episode_mica_01_43,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_43,False,,S_10,S_10,1.0,,,,mica_w,,1,delight,,,,,
snowfall_episode_mica_01_44,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_44,True,,S_10,S_10,1.0,,,,mica_w,,1,cry,mica_w,,,,
snowfall_episode_mica_01_45,80903,snowfall_episode_mica_01,Self,Locale_SubScenario:snowfall_episode_mica_01_45,False,,S_10,S_10,1.0,,,,mica_w,,1,cry,,,,,
snowfall_episode_mica_01_46,80903,snowfall_episode_mica_01,Speech,Locale_SubScenario:snowfall_episode_mica_01_46,True,,S_10,S_10,1.0,,,,mica_w,,1,idle,mica_w,,,,
snowfall_episode_mica_01_47,80903,snowfall_episode_mica_01,Monologue,Locale_SubScenario:snowfall_episode_mica_01_47,False,,S_10,1,1.0,,,,mica_w,,1,idle,,,,,
snowfall_episode_mica_01_48,80903,snowfall_episode_mica_01,Narration,Locale_SubScenario:snowfall_episode_mica_01_48,False,,1,1,1.0,,,sfx_scn_1skippingstones,mica_w,,1,no,,,,,
snowfall_episode_mica_01_49,80903,snowfall_episode_mica_01,Narration,Locale_SubScenario:snowfall_episode_mica_01_49,False,,1,1,1.0,,,sfx_scn_1skippingstones,mica_w,,1,no,,,,,
snowfall_episode_mica_01_50,80903,snowfall_episode_mica_01,Monologue,Locale_SubScenario:snowfall_episode_mica_01_50,False,,1,1,1.0,,,,mica_w,,1,no,,,,,
snowfall_episode_mica_01_51,80903,snowfall_episode_mica_01,Monologue,Locale_SubScenario:snowfall_episode_mica_01_51,False,,6,6,1.0,,,,,,1,no,,,,mica_w,black
snowfall_episode_mica_01_52,80903,snowfall_episode_mica_01,Monologue,Locale_SubScenario:snowfall_episode_mica_01_52,False,,6,6,1.0,,,,,,,,,,,,
