id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target
event_fullfoolday_08_1,130001,event_fullfoolday_08,Monologue,Locale_SubScenario:event_fullfoolday_08_1,False,Cafe,1,1,1.0,none,,,,,,,,,,
event_fullfoolday_08_2,130001,event_fullfoolday_08,Monologue,Locale_SubScenario:event_fullfoolday_08_2,False,,1,1,1.0,,,,,,,,,,,
event_fullfoolday_08_3,130001,event_fullfoolday_08,Narration,Locale_SubScenario:event_fullfoolday_08_3,False,,1,1,1.0,,sfx_scn_toyshopbell,,,,,,,,,
event_fullfoolday_08_4,130001,event_fullfoolday_08,Speech,Locale_SubScenario:event_fullfoolday_08_4,True,,31,31,1.0,,,belorta,belorta,belorta,3,worry,mica,1,sad,
event_fullfoolday_08_5,130001,event_fullfoolday_08,Speech,Locale_SubScenario:event_fullfoolday_08_5,True,,31,31,1.0,,,belorta,belorta,,3,worry,,1,sad,
event_fullfoolday_08_6,130001,event_fullfoolday_08,Speech,Locale_SubScenario:event_fullfoolday_08_6,True,,31,31,1.0,,,mica,mica,,3,worry,,1,sad,
event_fullfoolday_08_7,130001,event_fullfoolday_08,Self,Locale_SubScenario:event_fullfoolday_08_7,False,,31,31,1.0,,,,,,3,worry,,1,sad,
event_fullfoolday_08_8,130001,event_fullfoolday_08,Choice,Locale_SubScenario:event_fullfoolday_08_8,False,,31,31,1.0,,,,,,3,worry,,1,sad,event_fullfoolday_08_10
event_fullfoolday_08_9,130001,event_fullfoolday_08,Choice,Locale_SubScenario:event_fullfoolday_08_9,False,,31,31,1.0,,,,,,3,worry,,1,sad,event_fullfoolday_08_12
event_fullfoolday_08_10,130001,event_fullfoolday_08,Speech,Locale_SubScenario:event_fullfoolday_08_10,True,,31,31,1.0,bgm_story_sunshinesorrow,,belorta,belorta,,3,worry,,1,sad,
event_fullfoolday_08_11,130001,event_fullfoolday_08,Self,Locale_SubScenario:event_fullfoolday_08_11,False,,31,31,1.0,,,,,,3,worry,,1,sad,event_fullfoolday_08_12
event_fullfoolday_08_12,130001,event_fullfoolday_08,Speech,Locale_SubScenario:event_fullfoolday_08_12,True,,31,XS_10,1.0,,,mica,mica,,3,worry,,1,sad,
