id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_contents_voltroad_01_1,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_1,True,LogHouseOut_d,31,31,1.0,event_bgm_bluewater_minigame,,volt,3,idle,,rapi_s,1,idle,frima_s,13,sleep_02
d_contents_voltroad_01_2,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_2,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_3,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_3,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_4,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_4,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_5,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_5,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_6,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_6,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_7,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_7,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_8,80403,d_contents_voltroad_01,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_01_8,False,,31,XS_30,0.5,,sfx_scn_dogbark,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_9,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_9,False,,XS_30,31,2.0,,,,3,idle,,,1,think,,13,sleep_02
d_contents_voltroad_01_10,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_10,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_11,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_11,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_12,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_12,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_13,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_13,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_14,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_14,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_15,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_15,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_16,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_16,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_17,80403,d_contents_voltroad_01,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_01_17,False,,31,XS_30,0.5,,sfx_scn_dogbark,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_18,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_18,True,,XS_30,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_19,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_19,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_20,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_20,True,,31,31,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_21,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_21,False,,31,10,2.0,,,,3,idle,,,1,think,,13,sleep_02
d_contents_voltroad_01_22,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_22,True,,10,10,1.0,,,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_23,80403,d_contents_voltroad_01,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_01_23,False,,XS_30,XS_30,1.0,,sfx_scn_dogbark,,3,idle,,,1,idle,,13,sleep_02
d_contents_voltroad_01_24,80403,d_contents_voltroad_01,Monologue,,,Locale_SubScenario:d_contents_voltroad_01_24,False,,XS_30,31,2.0,,,,3,idle,volt,,1,idle,,13,sleep_02
d_contents_voltroad_01_25,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_25,False,,31,1,1.0,,,,,,,,1,think,,13,sleep_02
d_contents_voltroad_01_26,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_26,True,,1,1,1.0,,,,,,,,1,think,,13,sleep_02
d_contents_voltroad_01_27,80403,d_contents_voltroad_01,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_01_27,True,,1,10,1.0,,,,,,,,1,think,,13,sleep_02
d_contents_voltroad_01_28,80403,d_contents_voltroad_01,Speech,frima,frima,Locale_SubScenario:d_contents_voltroad_01_28,False,,10,130,2.0,,,,,,,,1,think,,13,sleep_02
