id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,fade,set_camera_shake
event_newflavor_04_e_1,40073,event_newflavor_04_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_04_e_1,True,bready,2,idle,crust,12,idle,CityForest_03_d,12,XS_120,1.3,bgm_secondhand,,,,,
event_newflavor_04_e_2,40073,event_newflavor_04_e,Narration,bready,,Locale_SubScenario:event_newflavor_04_e_2,False,,2,idle,,12,idle,,S_20,S_20,1.0,,,,,,
event_newflavor_04_e_3,40073,event_newflavor_04_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_04_e_3,True,,2,no,,12,idle,,S_20,S_20,1.0,,,,,,
event_newflavor_04_e_4,40073,event_newflavor_04_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_04_e_4,True,,2,no,,12,idle,,S_20,S_20,1.0,,,,,,
event_newflavor_04_e_5,40073,event_newflavor_04_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_04_e_5,True,,2,no,,12,idle,,S_20,S_20,1.0,,,,,,
event_newflavor_04_e_6,40073,event_newflavor_04_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_04_e_6,True,,2,idle,,12,delight,,XS_120,XS_120,1.0,,,,,,
event_newflavor_04_e_7,40073,event_newflavor_04_e,Narration,crust,,Locale_SubScenario:event_newflavor_04_e_7,False,,2,idle,,12,delight,,XS_120,1,1.3,,,,,,
event_newflavor_04_e_8,40073,event_newflavor_04_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_04_e_8,True,,2,no,,12,delight,,1,1,1.0,,,,,,
event_newflavor_04_e_9,40073,event_newflavor_04_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_04_e_9,True,,2,no,,12,delight,,1,1,1.0,,,,,,
event_newflavor_04_e_10,40073,event_newflavor_04_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_04_e_10,True,,2,no,,12,sad,,1,1,1.0,,,,,,
event_newflavor_04_e_11,40073,event_newflavor_04_e,Self,crust,,Locale_SubScenario:event_newflavor_04_e_11,False,,2,no,,12,sad,,1,1,1.0,,,,,,
event_newflavor_04_e_12,40073,event_newflavor_04_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_04_e_12,True,,2,no,,12,idle,,1,1,1.3,,,,,,
event_newflavor_04_e_13,40073,event_newflavor_04_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_04_e_13,True,,2,no,,12,idle,,1,1,1.0,,,,,,
event_newflavor_04_e_14,40073,event_newflavor_04_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_04_e_14,True,,2,no,,12,idle,,1,1,1.0,,,,,,
event_newflavor_04_e_15,40073,event_newflavor_04_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_04_e_15,True,,2,no,,12,idle,,1,1,1.0,,,,,,
event_newflavor_04_e_16,40073,event_newflavor_04_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_04_e_16,True,,2,idle,,12,idle,,1,S_20,1.3,,,,,,
event_newflavor_04_e_17,40073,event_newflavor_04_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_04_e_17,True,,2,idle,,12,idle,,S_20,S_20,1.0,,,,,,
event_newflavor_04_e_18,40073,event_newflavor_04_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_04_e_18,True,,2,idle,,12,idle,,S_20,S_20,1.0,,,,,,
event_newflavor_04_e_19,40073,event_newflavor_04_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_04_e_19,True,,2,idle,,12,think,,S_20,XS_120,1.3,,,,,,
