id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_lordforjustice_01_s_1,40078,event_lordforjustice_01_s,Narration,Locale_SubScenario:event_lordforjustice_01_s_1,False,CommanderRoom_n,1,1,1.0,sfx_scn_autodooropen,none,,,,,
event_lordforjustice_01_s_2,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_2,False,,1,1,1.0,,,,,,,
event_lordforjustice_01_s_3,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_3,False,,1,1,1.0,,,,,,,
event_lordforjustice_01_s_4,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_4,False,,1,1,1.0,,,,,,,
event_lordforjustice_01_s_5,40078,event_lordforjustice_01_s,Narration,Locale_SubScenario:event_lordforjustice_01_s_5,False,,1,10,1.3,sfx_scn_remotesignal,,,,,,
event_lordforjustice_01_s_6,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_6,False,,10,10,1.0,,,announcer,,,,
event_lordforjustice_01_s_7,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_7,False,,10,10,1.0,,,announcer,,,,
event_lordforjustice_01_s_8,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_8,False,,10,10,1.0,,,announcer,,,,
event_lordforjustice_01_s_9,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_9,False,,10,10,1.0,,,,,,,
event_lordforjustice_01_s_10,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_10,False,,black,black,1.0,,,,,,,
event_lordforjustice_01_s_11,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_11,False,,black,black,1.0,,,,,,,
event_lordforjustice_01_s_12,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_12,False,,1,1,1.0,,,,,,,
event_lordforjustice_01_s_13,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_13,False,,1,1,1.0,,,,,,,
event_lordforjustice_01_s_14,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_14,False,,1,1,1.0,,,,,,,
event_lordforjustice_01_s_15,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_15,False,,1,100,1.3,,,,,,,
event_lordforjustice_01_s_16,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_16,False,,black,black,1.0,,,,,,,
event_lordforjustice_01_s_17,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_17,True,,black,black,1.0,,,k,k,lordforjustice_event,1,idle
event_lordforjustice_01_s_18,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_18,False,,lordforjustice_01,lordforjustice_02,1.3,,bgm_risk,,,,1,idle
event_lordforjustice_01_s_19,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_19,True,,lordforjustice_02,lordforjustice_02,1.0,,,k,k,,1,idle
event_lordforjustice_01_s_20,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_20,True,,lordforjustice_02,lordforjustice_02,1.0,,,k,k,,1,idle
event_lordforjustice_01_s_21,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_21,False,,lordforjustice_02,lordforjustice_03,1.5,,,,,,1,idle
event_lordforjustice_01_s_22,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_22,False,,lordforjustice_03,lordforjustice_03,1.0,,,,,,1,idle
event_lordforjustice_01_s_23,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_23,False,,black,black,1.0,,,,,,1,idle
event_lordforjustice_01_s_24,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_24,True,,lordforjustice_04,lordforjustice_01,1.3,,,k,k,,1,idle
event_lordforjustice_01_s_25,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_25,False,,lordforjustice_01,lordforjustice_01,1.0,,,,,,1,idle
event_lordforjustice_01_s_26,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_26,False,,lordforjustice_01,lordforjustice_01,1.0,,,,,,1,idle
event_lordforjustice_01_s_27,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_27,False,,lordforjustice_01,lordforjustice_01,1.0,,,,,,1,idle
event_lordforjustice_01_s_28,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_28,True,,lordforjustice_01,lordforjustice_01,1.0,,,k,k,,1,idle
event_lordforjustice_01_s_29,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_29,False,,lordforjustice_01,lordforjustice_01,1.0,,,,,,1,idle
event_lordforjustice_01_s_30,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_30,True,,lordforjustice_01,lordforjustice_01,1.0,,,k,k,,1,idle
event_lordforjustice_01_s_31,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_31,False,,lordforjustice_01,lordforjustice_01,1.0,,,,,,1,idle
event_lordforjustice_01_s_32,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_32,True,,lordforjustice_01,lordforjustice_01,1.0,,,k,k,,1,idle
event_lordforjustice_01_s_33,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_33,True,,lordforjustice_01,lordforjustice_01,1.0,,,k,k,,1,idle
event_lordforjustice_01_s_34,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_34,True,,lordforjustice_01,lordforjustice_04,1.5,,,k,k,,1,idle
event_lordforjustice_01_s_35,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_35,False,,black,black,1.0,,,,,,1,idle
event_lordforjustice_01_s_36,40078,event_lordforjustice_01_s,Narration,Locale_SubScenario:event_lordforjustice_01_s_36,False,,black,black,1.0,sfx_scn_feetwater,,,,,1,idle
event_lordforjustice_01_s_37,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_37,False,,black,black,1.0,,,,,,1,idle
event_lordforjustice_01_s_38,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_38,False,,black,black,1.0,,,,,,1,idle
event_lordforjustice_01_s_39,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_39,False,,black,black,1.0,,,,,,1,idle
event_lordforjustice_01_s_40,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_40,False,,black,black,1.0,,,,,,1,idle
event_lordforjustice_01_s_41,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_41,False,,black,black,1.0,,,,,,1,idle
event_lordforjustice_01_s_42,40078,event_lordforjustice_01_s,Narration,Locale_SubScenario:event_lordforjustice_01_s_42,False,,lordforjustice_02,lordforjustice_01,1.3,sfx_scn_watersurface,,,,,1,idle
event_lordforjustice_01_s_43,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_43,True,,lordforjustice_01,lordforjustice_01,1.0,,,k,k,,1,idle
event_lordforjustice_01_s_44,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_44,True,,lordforjustice_01,lordforjustice_01,1.0,,,k,k,,1,idle
event_lordforjustice_01_s_45,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_45,True,,lordforjustice_01,lordforjustice_01,1.0,,,k,k,,1,idle
event_lordforjustice_01_s_46,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_46,True,,lordforjustice_01,lordforjustice_01,1.0,,,k,k,,1,idle
event_lordforjustice_01_s_47,40078,event_lordforjustice_01_s,Self,Locale_SubScenario:event_lordforjustice_01_s_47,False,,lordforjustice_01,lordforjustice_04,1.5,,,,,,1,idle
event_lordforjustice_01_s_48,40078,event_lordforjustice_01_s,Monologue,Locale_SubScenario:event_lordforjustice_01_s_48,False,,lordforjustice_04,lordforjustice_04,1.0,,,,,,1,idle
event_lordforjustice_01_s_49,40078,event_lordforjustice_01_s,Speech,Locale_SubScenario:event_lordforjustice_01_s_49,True,,lordforjustice_04,lordforjustice_04,1.0,,,k,k,,1,idle
