id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_forrest_02_e_1,40072,event_forrest_02_e,Narration,Locale_SubScenario:event_forrest_02_e_1,False,CommanderRoom,160,160,1.0,bgm_story_breakaway,,,,,,,,,,,
event_forrest_02_e_2,40072,event_forrest_02_e,Narration,Locale_SubScenario:event_forrest_02_e_2,False,,160,160,1.0,,,,,,,,,,,,
event_forrest_02_e_3,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_3,False,,160,160,1.0,,,,,,,,,,,,
event_forrest_02_e_4,40072,event_forrest_02_e,Monologue,Locale_SubScenario:event_forrest_02_e_4,False,,160,160,1.0,,,,,,,,,,,,
event_forrest_02_e_5,40072,event_forrest_02_e,Narration,Locale_SubScenario:event_forrest_02_e_5,False,,160,160,1.0,,sfx_scn_papercrumple,,,,,,,,,,
event_forrest_02_e_6,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_6,False,,160,160,1.0,,,,,,,,,,,,
event_forrest_02_e_7,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_7,False,,160,160,1.0,,,,,,,,,,,,
event_forrest_02_e_8,40072,event_forrest_02_e,Narration,Locale_SubScenario:event_forrest_02_e_8,False,,160,3,1.0,,sfx_scn_autodooropen,,,,,,,,,,
event_forrest_02_e_9,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_9,True,,3,L_30,1.0,,,centi,centi,centi,3,delight,,,,,
event_forrest_02_e_10,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_10,True,,L_30,L_30,1.0,,,centi,centi,,3,delight,,,,,
event_forrest_02_e_11,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_11,False,,L_30,L_30,1.0,,,centi,,,3,delight,,,,,
event_forrest_02_e_12,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_12,True,,L_30,L_30,1.0,,,centi,centi,,3,surprise,,,,,
event_forrest_02_e_13,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_13,False,,L_30,L_30,1.0,,,centi,,,3,surprise,,,,,
event_forrest_02_e_14,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_14,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_15,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_15,True,,L_30,L_30,1.0,,,centi,centi,,3,delight,,,,,
event_forrest_02_e_16,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_16,False,,L_30,L_30,1.0,,,centi,,,3,delight,,,,,
event_forrest_02_e_17,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_17,True,,L_30,L_30,1.0,,,centi,centi,,3,delight,,,,,
event_forrest_02_e_18,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_18,True,,L_30,L_30,1.0,,,centi,centi,,3,delight,,,,,
event_forrest_02_e_19,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_19,True,,L_30,L_30,1.0,,,centi,centi,,3,delight,,,,,
event_forrest_02_e_20,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_20,True,,L_30,L_30,1.0,,,centi,centi,,3,delight,,,,,
event_forrest_02_e_21,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_21,True,,L_30,L_30,1.0,,,centi,centi,,3,delight,centi,,,,
event_forrest_02_e_22,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_22,False,,L_30,L_30,1.0,,,,,,,,,,,,
event_forrest_02_e_23,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_23,True,,L_30,L_30,1.0,,,centi,centi,centi,3,idle,,,,,
event_forrest_02_e_24,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_24,False,,L_30,L_30,1.0,,,centi,,,3,idle,,,,,
event_forrest_02_e_25,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_25,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_26,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_26,False,,L_30,L_30,1.0,,,centi,,,3,idle,,,,,
event_forrest_02_e_27,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_27,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_28,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_28,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_29,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_29,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_30,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_30,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_31,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_31,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_32,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_32,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_33,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_33,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_34,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_34,True,,L_30,L_30,1.0,,,centi,centi,,3,angry,,,,,
event_forrest_02_e_35,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_35,True,,L_30,L_30,1.0,,,centi,centi,,3,angry,,,,,
event_forrest_02_e_36,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_36,True,,L_30,L_30,1.0,,,centi,centi,,3,angry,,,,,
event_forrest_02_e_37,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_37,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_38,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_38,False,,L_30,L_30,1.0,,,centi,,,3,idle,,,,,
event_forrest_02_e_39,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_39,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_40,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_40,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_41,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_41,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_42,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_42,False,,L_30,L_30,1.0,,,centi,,,3,idle,,,,,
event_forrest_02_e_43,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_43,False,,L_30,L_30,1.0,,,centi,,,3,idle,,,,,
event_forrest_02_e_44,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_44,True,,L_30,L_30,1.0,,,centi,centi,,3,delight,,,,,
event_forrest_02_e_45,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_45,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_46,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_46,False,,L_30,L_30,1.0,,,centi,,,3,idle,,,,,
event_forrest_02_e_47,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_47,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_48,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_48,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_49,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_49,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_50,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_50,True,,L_30,L_30,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_51,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_51,False,,L_30,L_30,1.0,,,centi,,,3,idle,,,,,
