id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,play_sound,characters/2/hide_char_id,characters/5/hide_char_id
event_lastkingdom1_b03_e_1,40045,event_lastkingdom1_b03_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_b03_e_1,True,marian_q,13,void,snowwhite,1,idle,talos,3,idle,hongryeon,15,no,rapunzel,17,sad,CrownCasltePanorama_n,113,113,1.0,,,,,,,,,,
event_lastkingdom1_b03_e_2,40045,event_lastkingdom1_b03_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom1_b03_e_2,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,113,113,1.0,,,,,,,,,,
event_lastkingdom1_b03_e_3,40045,event_lastkingdom1_b03_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_lastkingdom1_b03_e_3,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,113,1517,1.0,,,,,,,,,,
event_lastkingdom1_b03_e_4,40045,event_lastkingdom1_b03_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_lastkingdom1_b03_e_4,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,1517,1517,1.0,,,,,,,,,,
event_lastkingdom1_b03_e_5,40045,event_lastkingdom1_b03_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_b03_e_5,False,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,130,130,1.0,,,,,,,,,,
event_lastkingdom1_b03_e_6,40045,event_lastkingdom1_b03_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_lastkingdom1_b03_e_6,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,170,170,1.0,,,,,,,,,,
event_lastkingdom1_b03_e_7,40045,event_lastkingdom1_b03_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_b03_e_7,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,130,130,1.0,,,,,,,,,,
event_lastkingdom1_b03_e_8,40045,event_lastkingdom1_b03_e,Speech,talos,kilo_op_c,Locale_MainScenario:event_lastkingdom1_b03_e_8,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,31,31,1.0,,,,,,,,,,
event_lastkingdom1_b03_e_9,40045,event_lastkingdom1_b03_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom1_b03_e_9,False,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,31,31,1.0,,,,,,,,,,
event_lastkingdom1_b03_e_10,40045,event_lastkingdom1_b03_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom1_b03_e_10,True,,13,void,,1,angry,,3,idle,,15,no,,17,sad,,31,31,1.0,,,,,,,,,,
event_lastkingdom1_b03_e_11,40045,event_lastkingdom1_b03_e,Speech,kilo_op_c,kilo_op_c,Locale_MainScenario:event_lastkingdom1_b03_e_11,True,,13,void,,1,angry,,3,idle,,15,no,,17,sad,,31,31,1.0,kilo_op_c,OP_kilo_center,idle,,,,,,,
event_lastkingdom1_b03_e_12,40045,event_lastkingdom1_b03_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom1_b03_e_12,False,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,31,31,1.0,,OP_kilo_center,idle,,,,,,,
event_lastkingdom1_b03_e_13,40045,event_lastkingdom1_b03_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom1_b03_e_13,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,31,31,1.0,,OP_kilo_center,idle,,,,,,,
event_lastkingdom1_b03_e_14,40045,event_lastkingdom1_b03_e,Speech,kilo_op_c,kilo_op_c,Locale_MainScenario:event_lastkingdom1_b03_e_14,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,31,31,1.0,,OP_kilo_center,idle,,,,,,,
event_lastkingdom1_b03_e_15,40045,event_lastkingdom1_b03_e,Narration,crown,,Locale_MainScenario:event_lastkingdom1_b03_e_15,False,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,black,black,1.0,,OP_kilo_center,idle,kilo_op_c,crown,7,idle,sfx_scn_mechanichorse,,
event_lastkingdom1_b03_e_16,40045,event_lastkingdom1_b03_e,Narration,crown,,Locale_MainScenario:event_lastkingdom1_b03_e_16,False,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,black,black,1.0,,,,,,7,idle,,,
event_lastkingdom1_b03_e_17,40045,event_lastkingdom1_b03_e,Narration,crown,,Locale_MainScenario:event_lastkingdom1_b03_e_17,False,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,black,black,1.0,,,,,,7,idle,,,
event_lastkingdom1_b03_e_18,40045,event_lastkingdom1_b03_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_b03_e_18,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,70,70,1.0,,,,,,7,idle,,,
event_lastkingdom1_b03_e_19,40045,event_lastkingdom1_b03_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_lastkingdom1_b03_e_19,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,170,1700,1.0,,,,,,7,idle,,,
event_lastkingdom1_b03_e_20,40045,event_lastkingdom1_b03_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_lastkingdom1_b03_e_20,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,1500,1500,1.0,,,,,,7,idle,,,
event_lastkingdom1_b03_e_21,40045,event_lastkingdom1_b03_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom1_b03_e_21,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,100,100,1.0,,,,,,7,idle,,,
event_lastkingdom1_b03_e_22,40045,event_lastkingdom1_b03_e,Speech,talos,kilo_op_c,Locale_MainScenario:event_lastkingdom1_b03_e_22,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,30,30,1.0,,,,,,7,idle,,,
event_lastkingdom1_b03_e_23,40045,event_lastkingdom1_b03_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_b03_e_23,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,70,70,1.0,,,,,,7,idle,,,
event_lastkingdom1_b03_e_24,40045,event_lastkingdom1_b03_e,Speech,talos,kilo_op_c,Locale_MainScenario:event_lastkingdom1_b03_e_24,True,,13,void,,1,idle,,3,idle,,15,no,,17,sad,,30,30,1.0,,,,,,7,idle,,,
