id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,characters/4/hide_char_id,characters/5/hide_char_id,characters/3/hide_char_id
event_ce003_2_03_s_1,40042,event_ce003_2_03_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_03_s_1,True,ce_003_01,1,worry,ce_003_02,13,worry,ce_003_03,15,idle,CityForest_02,150,150,1.0,bgm_frostpillar,,,,,,,,,,,,,
event_ce003_2_03_s_2,40042,event_ce003_2_03_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_03_s_2,True,,1,worry,,13,worry,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_3,40042,event_ce003_2_03_s,Self,ce_003_01,,Locale_SubScenario:event_ce003_2_03_s_3,False,,1,worry,,13,worry,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_4,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_4,True,,1,worry,,13,worry,,15,idle,,S_10,130,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_5,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_5,True,,1,worry,,13,worry,,15,idle,,130,130,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_6,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_6,True,,1,worry,,13,worry,,15,idle,,130,130,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_7,40042,event_ce003_2_03_s,Self,ce_003_02,,Locale_SubScenario:event_ce003_2_03_s_7,False,,1,worry,,13,worry,,15,idle,,130,130,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_8,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_8,True,,1,worry,,13,worry,,15,idle,,130,130,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_9,40042,event_ce003_2_03_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_03_s_9,True,,1,worry,,13,worry,,15,idle,,130,150,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_10,40042,event_ce003_2_03_s,Self,ce_003_03,,Locale_SubScenario:event_ce003_2_03_s_10,False,,1,worry,,13,worry,,15,idle,,150,150,1.0,,,,,,,,,,,,,,
