id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/2/hide_char_id,play_sound,fade,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,set_camera_shake,characters/4/hide_char_id,characters/3/hide_char_id
event_perfectmaid_01_e_1,40039,event_perfectmaid_01_e,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_e_1,True,cocoa,3,serious,Hospital,3,3,1.0,bgm_story_tuffguys,,,,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_01_e_2,40039,event_perfectmaid_01_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_01_e_2,False,,3,serious,,3,12,1.0,,privaty,1,idle,drake,13,no,,,,,,,,,,,,,,,,,,
event_perfectmaid_01_e_3,40039,event_perfectmaid_01_e,Speech,drake,drake,Locale_SubScenario:event_perfectmaid_01_e_3,False,,3,serious,,12,12,1.0,,,1,idle,,13,no,,,,,,,,,,,,,,,,,,
event_perfectmaid_01_e_4,40039,event_perfectmaid_01_e,Self,,,Locale_SubScenario:event_perfectmaid_01_e_4,False,,3,serious,,12,12,1.0,,,1,idle,,13,no,,,,,,,,,,,,,,,,,,
event_perfectmaid_01_e_5,40039,event_perfectmaid_01_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_01_e_5,True,,3,idle,,12,12,1.0,,,1,surprise,,13,no,,,,,,,,,,,,,,,,,,
event_perfectmaid_01_e_6,40039,event_perfectmaid_01_e,Speech,drake,drake,Locale_SubScenario:event_perfectmaid_01_e_6,True,,3,idle,,12,12,1.0,,,1,surprise,,13,delight,,,,,,,,,,,,,,,,,,
event_perfectmaid_01_e_7,40039,event_perfectmaid_01_e,Self,drake,,Locale_SubScenario:event_perfectmaid_01_e_7,False,,3,idle,,12,12,1.0,,,1,surprise,,13,delight,,,,,,,,,,,,,,,,,,
event_perfectmaid_01_e_8,40039,event_perfectmaid_01_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_01_e_8,True,,3,idle,,12,1,1.0,,,1,sad,,13,idle,,,,,,,,,,,,,,,,,,
event_perfectmaid_01_e_9,40039,event_perfectmaid_01_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_01_e_9,True,,3,idle,,1,1,1.0,,,1,shy,,13,idle,,,,,,,,,,,,,,,,,,
event_perfectmaid_01_e_10,40039,event_perfectmaid_01_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_01_e_10,True,,3,idle,,1,S_10,1.0,,,1,angry,,13,idle,,,,,,,,,,,,,,,,,,
