id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake,characters/2/hide_char_id,play_sound,characters/0/hide_char_id,characters/1/hide_char_id
event_footstepwalkrun1_06_s_1,40066,event_footstepwalkrun1_06_s,Speech,wendi,wendi,Locale_MainScenario:event_footstepwalkrun1_06_s_1,True,rapi_m,1,idle,wendi,15,surprise,rio,13,surprise,Desert_01,150,1500,0.5,bgm_spot_bulletstorm_b,,,,,,
event_footstepwalkrun1_06_s_2,40066,event_footstepwalkrun1_06_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun1_06_s_2,True,,1,idle,,15,surprise,,13,surprise,,100,100,0.5,,,,,,,
event_footstepwalkrun1_06_s_3,40066,event_footstepwalkrun1_06_s,Speech,wendi,wendi,Locale_MainScenario:event_footstepwalkrun1_06_s_3,True,,1,idle,,15,surprise,,13,surprise,,1315,1315,1.0,,,,,,,
event_footstepwalkrun1_06_s_4,40066,event_footstepwalkrun1_06_s,Speech,rio,rio,Locale_MainScenario:event_footstepwalkrun1_06_s_4,True,,1,idle,,15,surprise,,13,surprise,,1315,1315,1.0,,,,,,,
event_footstepwalkrun1_06_s_5,40066,event_footstepwalkrun1_06_s,Speech,wendi,wendi,Locale_MainScenario:event_footstepwalkrun1_06_s_5,True,,1,idle,,15,surprise,,13,surprise,,1315,1315,1.0,,,,,,,
event_footstepwalkrun1_06_s_6,40066,event_footstepwalkrun1_06_s,Speech,wendi,wendi,Locale_MainScenario:event_footstepwalkrun1_06_s_6,True,,1,idle,,15,surprise,,13,surprise,,1500,1500,1.0,,,,,,,
event_footstepwalkrun1_06_s_7,40066,event_footstepwalkrun1_06_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun1_06_s_7,True,,1,idle,,15,surprise,,13,surprise,,100,100,1.0,,,,,,,
event_footstepwalkrun1_06_s_8,40066,event_footstepwalkrun1_06_s,Speech,wendi,wendi,Locale_MainScenario:event_footstepwalkrun1_06_s_8,True,,1,idle,,15,surprise,,13,surprise,,1500,150,0.5,,,,,,,
event_footstepwalkrun1_06_s_9,40066,event_footstepwalkrun1_06_s,Speech,rio,rio,Locale_MainScenario:event_footstepwalkrun1_06_s_9,True,,1,idle,,15,surprise,,13,delight,,150,1315,1.0,,,,,,,
event_footstepwalkrun1_06_s_10,40066,event_footstepwalkrun1_06_s,Speech,wendi,wendi,Locale_MainScenario:event_footstepwalkrun1_06_s_10,True,,1,idle,,15,smile,,13,delight,,1315,1315,1.0,,,,,,,
