id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_phantomthiefvsdetective_02_s_1,40059,event_phantomthiefvsdetective_02_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_s_1,True,CommanderRoom_n,14,S_140,1.0,bgm_story_orangepop,,phantom,2,idle,quency_e,12,idle,miranda_c,14,idle
event_phantomthiefvsdetective_02_s_2,40059,event_phantomthiefvsdetective_02_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_s_2,True,,S_140,S_140,1.0,,,,2,idle,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_3,40059,event_phantomthiefvsdetective_02_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_s_3,True,,L_20,L_20,1.0,,,,2,smile,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_4,40059,event_phantomthiefvsdetective_02_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_s_4,True,,S_140,S_140,1.0,,,,2,smile,,12,idle,,14,delight
event_phantomthiefvsdetective_02_s_5,40059,event_phantomthiefvsdetective_02_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_s_5,True,,S_140,S_140,1.0,,,,2,smile,,12,idle,,14,delight
event_phantomthiefvsdetective_02_s_6,40059,event_phantomthiefvsdetective_02_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_s_6,True,,S_140,S_140,1.0,,,,2,smile,,12,idle,,14,delight
event_phantomthiefvsdetective_02_s_7,40059,event_phantomthiefvsdetective_02_s,Self,miranda_c,,Locale_SubScenario:event_phantomthiefvsdetective_02_s_7,False,,S_140,S_140,1.0,,,,2,smile,,12,idle,,14,delight
event_phantomthiefvsdetective_02_s_8,40059,event_phantomthiefvsdetective_02_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_s_8,True,,S_140,S_1400,1.0,,,,2,smile,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_9,40059,event_phantomthiefvsdetective_02_s,Self,miranda_c,,Locale_SubScenario:event_phantomthiefvsdetective_02_s_9,False,,S_1400,S_1400,1.0,,,,2,smile,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_10,40059,event_phantomthiefvsdetective_02_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_s_10,True,,S_1400,S_140,1.0,,,,2,smile,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_11,40059,event_phantomthiefvsdetective_02_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_s_11,True,,S_140,S_140,1.0,,,,2,smile,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_12,40059,event_phantomthiefvsdetective_02_s,Self,miranda_c,,Locale_SubScenario:event_phantomthiefvsdetective_02_s_12,False,,S_140,S_140,1.0,,,,2,smile,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_13,40059,event_phantomthiefvsdetective_02_s,Speech,quency_e,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_02_s_13,True,,S_140,S_120,1.0,,,,2,smile,,12,delight,,14,idle
event_phantomthiefvsdetective_02_s_14,40059,event_phantomthiefvsdetective_02_s,Speech,quency_e,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_02_s_14,True,,S_120,S_120,1.0,,,,2,smile,,12,delight,,14,idle
event_phantomthiefvsdetective_02_s_15,40059,event_phantomthiefvsdetective_02_s,Speech,quency_e,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_02_s_15,True,,S_120,S_120,1.0,,,,2,smile,,12,delight,,14,idle
event_phantomthiefvsdetective_02_s_16,40059,event_phantomthiefvsdetective_02_s,Speech,quency_e,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_02_s_16,True,,S_120,S_120,1.0,,,,2,smile,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_17,40059,event_phantomthiefvsdetective_02_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_s_17,True,,S_120,1,1.0,,,,2,sad,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_18,40059,event_phantomthiefvsdetective_02_s,Speech,quency_e,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_02_s_18,True,,1,1,1.0,,,,2,sad,,12,sad,,14,idle
event_phantomthiefvsdetective_02_s_19,40059,event_phantomthiefvsdetective_02_s,Speech,quency_e,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_02_s_19,True,,1,1,1.0,,,,2,sad,,12,sad,,14,idle
event_phantomthiefvsdetective_02_s_20,40059,event_phantomthiefvsdetective_02_s,Speech,quency_e,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_02_s_20,True,,1,1,1.0,,,,2,sad,,12,delight,,14,idle
event_phantomthiefvsdetective_02_s_21,40059,event_phantomthiefvsdetective_02_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_s_21,True,,1,S_140,1.0,,,,2,sad,,12,delight,,14,delight
event_phantomthiefvsdetective_02_s_22,40059,event_phantomthiefvsdetective_02_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_s_22,True,,S_140,S_140,1.0,,,,2,sad,,12,delight,,14,delight
event_phantomthiefvsdetective_02_s_23,40059,event_phantomthiefvsdetective_02_s,Monologue,miranda_c,,Locale_SubScenario:event_phantomthiefvsdetective_02_s_23,False,,S_140,S_140,1.0,,,,2,sad,,12,idle,,14,delight
event_phantomthiefvsdetective_02_s_24,40059,event_phantomthiefvsdetective_02_s,Monologue,miranda_c,,Locale_SubScenario:event_phantomthiefvsdetective_02_s_24,False,,S_140,1,2.0,,,,2,sad,,12,idle,,14,delight
event_phantomthiefvsdetective_02_s_25,40059,event_phantomthiefvsdetective_02_s,Monologue,quency_e,,Locale_SubScenario:event_phantomthiefvsdetective_02_s_25,False,,1,1,1.0,,,,2,sad,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_26,40059,event_phantomthiefvsdetective_02_s,Monologue,quency_e,,Locale_SubScenario:event_phantomthiefvsdetective_02_s_26,False,,1,1,1.0,,,,2,sad,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_27,40059,event_phantomthiefvsdetective_02_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_s_27,True,,1,L_20,1.0,,,,2,no,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_28,40059,event_phantomthiefvsdetective_02_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_s_28,True,,L_20,L_20,1.0,,,,2,no,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_29,40059,event_phantomthiefvsdetective_02_s,Self,phantom,,Locale_SubScenario:event_phantomthiefvsdetective_02_s_29,False,,L_20,L_20,1.0,,,,2,no,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_30,40059,event_phantomthiefvsdetective_02_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_s_30,True,,L_20,L_200,1.0,,,,2,smile,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_31,40059,event_phantomthiefvsdetective_02_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_s_31,True,,L_200,L_200,1.0,,,,2,smile,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_32,40059,event_phantomthiefvsdetective_02_s,Monologue,phantom,,Locale_SubScenario:event_phantomthiefvsdetective_02_s_32,False,,L_200,L_200,1.0,,,,2,smile,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_33,40059,event_phantomthiefvsdetective_02_s,Self,phantom,,Locale_SubScenario:event_phantomthiefvsdetective_02_s_33,False,,L_200,L_200,1.0,,,,2,smile,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_34,40059,event_phantomthiefvsdetective_02_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_s_34,True,,L_200,L_20,1.0,,,,2,surprise,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_35,40059,event_phantomthiefvsdetective_02_s,Self,phantom,,Locale_SubScenario:event_phantomthiefvsdetective_02_s_35,False,,L_20,L_20,1.0,,,,2,surprise,,12,idle,,14,idle
event_phantomthiefvsdetective_02_s_36,40059,event_phantomthiefvsdetective_02_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_s_36,True,Backstreet_n,2,L_20,1.0,,black,,2,no,,12,idle,,14,idle
