id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,highlight,speaker
snowfall_speech_noirblanc_13_1,80903,snowfall_speech_noirblanc_13,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_13_1,False,noir_c,1,idle,blanc_c,13,idle,HotSpringInnIn_s,12,12,1.0,amb_so_inn_in_2,event_bgm_neverland_hugme_sunset,,,,
snowfall_speech_noirblanc_13_2,80903,snowfall_speech_noirblanc_13,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_13_2,False,,1,idle,,13,idle,,12,12,1.0,,,,,,
snowfall_speech_noirblanc_13_3,80903,snowfall_speech_noirblanc_13,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_13_3,False,,1,idle,,13,idle,,12,12,1.0,,,,,,
snowfall_speech_noirblanc_13_4,80903,snowfall_speech_noirblanc_13,Choice,Locale_SubScenario:snowfall_speech_noirblanc_13_4,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_13_7,,,
snowfall_speech_noirblanc_13_5,80903,snowfall_speech_noirblanc_13,Choice,Locale_SubScenario:snowfall_speech_noirblanc_13_5,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_13_6,,,
snowfall_speech_noirblanc_13_6,80903,snowfall_speech_noirblanc_13,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_13_6,False,,1,idle,,13,idle,,black,black,1.0,,,,True,,
snowfall_speech_noirblanc_13_7,80903,snowfall_speech_noirblanc_13,Speech,Locale_SubScenario:snowfall_speech_noirblanc_13_7,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_13_8,80903,snowfall_speech_noirblanc_13,Speech,Locale_SubScenario:snowfall_speech_noirblanc_13_8,True,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,noir_c
snowfall_speech_noirblanc_13_9,80903,snowfall_speech_noirblanc_13,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_13_9,False,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,
snowfall_speech_noirblanc_13_10,80903,snowfall_speech_noirblanc_13,Choice,Locale_SubScenario:snowfall_speech_noirblanc_13_10,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_13_12,,noir_c,
snowfall_speech_noirblanc_13_11,80903,snowfall_speech_noirblanc_13,Choice,Locale_SubScenario:snowfall_speech_noirblanc_13_11,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_13_15,,noir_c,
snowfall_speech_noirblanc_13_12,80903,snowfall_speech_noirblanc_13,Speech,Locale_SubScenario:snowfall_speech_noirblanc_13_12,True,,1,idle,,13,no,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_13_13,80903,snowfall_speech_noirblanc_13,Speech,Locale_SubScenario:snowfall_speech_noirblanc_13_13,True,,1,idle,,13,no,,12,12,1.0,,,,,noir_c,noir_c
snowfall_speech_noirblanc_13_14,80903,snowfall_speech_noirblanc_13,Speech,Locale_SubScenario:snowfall_speech_noirblanc_13_14,True,,1,idle,,13,no,,12,12,1.0,,,snowfall_speech_noirblanc_13_21,,noir_c,noir_c
