id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
event_alonesurvivor_03_s_1,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_1,True,alice,5,idle,ludmilla,3,idle,tove,1,idle,neve,7,idle,RuinIndoor,30,30,1.0,none,
event_alonesurvivor_03_s_2,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_2,True,,5,idle,,3,idle,,1,idle,,7,idle,,30,30,1.0,bgm_frostpillar,
event_alonesurvivor_03_s_3,40033,event_alonesurvivor_03_s,Speech,alice,alice,Locale_SubScenario:event_alonesurvivor_03_s_3,True,,5,idle,,3,idle,,1,idle,,7,idle,,S_50,S_50,1.0,,
event_alonesurvivor_03_s_4,40033,event_alonesurvivor_03_s,Speech,alice,alice,Locale_SubScenario:event_alonesurvivor_03_s_4,True,,5,idle,,3,idle,,1,idle,,7,idle,,S_50,S_50,1.0,,
event_alonesurvivor_03_s_5,40033,event_alonesurvivor_03_s,Narration,,Narration,Locale_SubScenario:event_alonesurvivor_03_s_5,False,,5,idle,,3,idle,,1,idle,,7,idle,,black,black,1.0,,
event_alonesurvivor_03_s_6,40033,event_alonesurvivor_03_s,Monologue,,Monologue,Locale_SubScenario:event_alonesurvivor_03_s_6,False,,5,idle,,3,idle,,1,idle,,7,idle,,black,black,1.0,,
event_alonesurvivor_03_s_7,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_7,True,,5,idle,,3,think,,1,idle,,7,idle,,4,4,1.0,,
event_alonesurvivor_03_s_8,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_8,True,,5,idle,,3,think,,1,idle,,7,idle,,4,4,1.0,,
event_alonesurvivor_03_s_9,40033,event_alonesurvivor_03_s,Speech,alice,alice,Locale_SubScenario:event_alonesurvivor_03_s_9,True,,5,idle,,3,think,,1,idle,,7,idle,,4,4,1.0,,
event_alonesurvivor_03_s_10,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_10,True,,5,idle,,3,think,,1,idle,,7,idle,,4,4,1.0,,
event_alonesurvivor_03_s_11,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_11,True,,5,idle,,3,think,,1,idle,,7,idle,,4,4,1.0,,
event_alonesurvivor_03_s_12,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_12,True,,5,idle,,3,idle,,1,idle,,7,idle,,4,4,1.0,,
event_alonesurvivor_03_s_13,40033,event_alonesurvivor_03_s,Speech,alice,alice,Locale_SubScenario:event_alonesurvivor_03_s_13,True,,5,delight,,3,idle,,1,idle,,7,idle,,4,4,1.0,,
event_alonesurvivor_03_s_14,40033,event_alonesurvivor_03_s,Speech,neve,neve,Locale_SubScenario:event_alonesurvivor_03_s_14,True,,5,delight,,3,idle,,1,idle,,7,idle,,7,7,1.0,,
event_alonesurvivor_03_s_15,40033,event_alonesurvivor_03_s,Speech,neve,neve,Locale_SubScenario:event_alonesurvivor_03_s_15,True,,5,idle,,3,idle,,1,idle,,7,idle,,7,7,1.0,,
event_alonesurvivor_03_s_16,40033,event_alonesurvivor_03_s,Speech,neve,neve,Locale_SubScenario:event_alonesurvivor_03_s_16,True,,5,idle,,3,idle,,1,idle,,7,idle,,7,7,1.0,,
event_alonesurvivor_03_s_17,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_17,True,,5,idle,,3,think,,1,idle,,7,idle,,3,3,1.0,,
event_alonesurvivor_03_s_18,40033,event_alonesurvivor_03_s,Speech,neve,neve,Locale_SubScenario:event_alonesurvivor_03_s_18,True,,5,idle,,3,think,,1,idle,,7,idle,,7,7,1.0,,
event_alonesurvivor_03_s_19,40033,event_alonesurvivor_03_s,Speech,neve,neve,Locale_SubScenario:event_alonesurvivor_03_s_19,True,,5,idle,,3,think,,1,idle,,7,idle,,7,7,1.0,,
event_alonesurvivor_03_s_20,40033,event_alonesurvivor_03_s,Speech,neve,neve,Locale_SubScenario:event_alonesurvivor_03_s_20,True,,5,idle,,3,idle,,1,idle,,7,idle,,7,7,1.0,,
event_alonesurvivor_03_s_21,40033,event_alonesurvivor_03_s,Speech,neve,neve,Locale_SubScenario:event_alonesurvivor_03_s_21,True,,5,idle,,3,idle,,1,idle,,7,idle,,7,7,1.0,,
event_alonesurvivor_03_s_22,40033,event_alonesurvivor_03_s,Speech,neve,neve,Locale_SubScenario:event_alonesurvivor_03_s_22,True,,5,idle,,3,idle,,1,idle,,7,idle,,7,7,1.0,,
event_alonesurvivor_03_s_23,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_23,True,,5,idle,,3,think,,1,idle,,7,idle,,3,3,1.0,,
event_alonesurvivor_03_s_24,40033,event_alonesurvivor_03_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_03_s_24,False,,5,idle,,3,think,,1,idle,,7,idle,,3,3,1.0,,
event_alonesurvivor_03_s_25,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_25,True,,5,idle,,3,think,,1,idle,,7,idle,,3,30,1.0,,
